line	pos	group	conf	note
mssDE108A_p1_L01	1	436	H	agree
mssDE108A_p1_L01	2	895	H	agree
mssDE108A_p1_L01	3	880	H	agree
mssDE108A_p1_L01	4	86	H	agree
mssDE108A_p1_L01	5	1188	H	agree
mssDE108A_p1_L01	6	6	H	agree
mssDE108A_p1_L01	7	947	H	agree
mssDE108A_p1_L01	8	443	H	agree
mssDE108A_p1_L01	9	961	H	agree
mssDE108A_p1_L01	10	744	H	A 44: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p1_L02	1	878	H	agree
mssDE108A_p1_L02	2	428	H	agree
mssDE108A_p1_L02	3	72	H	A 2: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p1_L02	4	444	H	agree
mssDE108A_p1_L02	5	1022	H	agree
mssDE108A_p1_L02	6	677	M	agree-flagged
mssDE108A_p1_L02	7	266	H	agree
mssDE108A_p1_L02	8	1068	H	agree
mssDE108A_p1_L02	9	765	H	A 65: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p1_L02	10	931	H	agree
mssDE108A_p1_L03	1	72	H	A 2: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p1_L03	2	932	H	agree
mssDE108A_p1_L03	3	617	H	agree
mssDE108A_p1_L03	4	1151	H	agree
mssDE108A_p1_L03	5	355	H	agree
mssDE108A_p1_L03	6	64	H	agree
mssDE108A_p1_L03	7	915	H	agree
mssDE108A_p1_L03	8	940	H	agree
mssDE108A_p1_L03	9	655	H	agree
mssDE108A_p1_L03	10	947	H	agree
mssDE108A_p1_L03	11	166	H	agree
mssDE108A_p1_L04	1	217	H	agree
mssDE108A_p1_L04	2	456	H	agree
mssDE108A_p1_L04	3	961	H	agree
mssDE108A_p1_L04	4	555	H	agree
mssDE108A_p1_L04	5	789	H	A 89: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p1_L04	6	444	H	agree
mssDE108A_p1_L04	7	890	H	agree
mssDE108A_p1_L04	8	480	H	agree
mssDE108A_p1_L04	9	832	H	agree
mssDE108A_p1_L04	10	991	H	agree
mssDE108A_p1_L05	1	80	H	agree
mssDE108A_p1_L05	2	10	H	agree
mssDE108A_p1_L05	3	1157	H	agree
mssDE108A_p1_L05	4	387	H	agree
mssDE108A_p1_L05	5	96	H	agree
mssDE108A_p1_L05	6	10	H	agree
mssDE108A_p1_L05	7	165	H	agree
mssDE108A_p1_L05	8	626	H	agree
mssDE108A_p1_L05	9	884	H	agree
mssDE108A_p1_L05	10	125	H	agree
mssDE108A_p1_L05	11	66	H	agree
mssDE108A_p1_L06	1	366	H	agree
mssDE108A_p1_L06	2	1111	M	agree-flagged
mssDE108A_p1_L06	3	1145	H	agree
mssDE108A_p1_L06	4	301	H	agree
mssDE108A_p1_L06	5	10	H	agree
mssDE108A_p1_L06	6	521	H	agree
mssDE108A_p1_L06	7	1086	H	agree
mssDE108A_p1_L06	8	480	H	agree
mssDE108A_p1_L06	9	656	H	agree
mssDE108A_p1_L06	10	789	H	A 89: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p1_L07	1	976	H	agree
