line	pos	group	conf	alt
mssDE108A_p1_L01	1	436	H	
mssDE108A_p1_L01	2	895	H	
mssDE108A_p1_L01	3	880	H	
mssDE108A_p1_L01	4	86	H	
mssDE108A_p1_L01	5	1188	H	
mssDE108A_p1_L01	6	6	H	
mssDE108A_p1_L01	7	947	H	
mssDE108A_p1_L01	8	443	H	
mssDE108A_p1_L01	9	961	H	
mssDE108A_p1_L01	10	44	H	
mssDE108A_p1_L02	1	878	H	
mssDE108A_p1_L02	2	428	H	
mssDE108A_p1_L02	3	2	H	
mssDE108A_p1_L02	4	444	H	
mssDE108A_p1_L02	5	1022	H	
mssDE108A_p1_L02	6	677	M	622
mssDE108A_p1_L02	7	266	H	
mssDE108A_p1_L02	8	1068	H	
mssDE108A_p1_L02	9	65	H	
mssDE108A_p1_L02	10	931	H	
mssDE108A_p1_L03	1	2	H	
mssDE108A_p1_L03	2	932	H	
mssDE108A_p1_L03	3	617	H	
mssDE108A_p1_L03	4	1151	H	
mssDE108A_p1_L03	5	355	H	
mssDE108A_p1_L03	6	64	H	
mssDE108A_p1_L03	7	915	H	
mssDE108A_p1_L03	8	940	H	
mssDE108A_p1_L03	9	655	H	
mssDE108A_p1_L03	10	947	H	
mssDE108A_p1_L03	11	166	H	
mssDE108A_p1_L04	1	217	H	
mssDE108A_p1_L04	2	456	H	
mssDE108A_p1_L04	3	961	H	
mssDE108A_p1_L04	4	555	H	
mssDE108A_p1_L04	5	89	H	
mssDE108A_p1_L04	6	444	H	
mssDE108A_p1_L04	7	890	H	
mssDE108A_p1_L04	8	480	H	
mssDE108A_p1_L04	9	832	H	
mssDE108A_p1_L04	10	991	H	
mssDE108A_p1_L05	1	80	H	
mssDE108A_p1_L05	2	10	H	
mssDE108A_p1_L05	3	1157	H	
mssDE108A_p1_L05	4	387	H	
mssDE108A_p1_L05	5	96	H	
mssDE108A_p1_L05	6	10	H	
mssDE108A_p1_L05	7	165	H	
mssDE108A_p1_L05	8	626	H	
mssDE108A_p1_L05	9	884	H	
mssDE108A_p1_L05	10	125	H	
mssDE108A_p1_L05	11	66	H	
mssDE108A_p1_L06	1	366	H	
mssDE108A_p1_L06	2	1111	M	1177
mssDE108A_p1_L06	3	1145	H	
mssDE108A_p1_L06	4	301	H	
mssDE108A_p1_L06	5	10	H	
mssDE108A_p1_L06	6	521	H	
mssDE108A_p1_L06	7	1086	H	
mssDE108A_p1_L06	8	480	H	
mssDE108A_p1_L06	9	656	H	
mssDE108A_p1_L06	10	89	H	
mssDE108A_p1_L07	1	976	H	
mssDE108A_p1_L07	2	1052	H	
mssDE108A_p1_L07	3	1195	H	
mssDE108A_p1_L07	4	527	H	
mssDE108A_p1_L07	5	997	H	
mssDE108A_p1_L07	6	4	H	
mssDE108A_p1_L07	7	4	H	
mssDE108A_p1_L07	8	1068	H	
mssDE108A_p1_L07	9	587	H	
mssDE108A_p1_L07	10	175	H	
mssDE108A_p1_L07	11	808	H	
mssDE108A_p1_L08	1	101	H	
mssDE108A_p1_L08	2	818	H	
mssDE108A_p1_L08	3	961	H	
mssDE108A_p1_L08	4	579	H	
mssDE108A_p1_L08	5	110	H	
mssDE108A_p1_L08	6	1125	H	
mssDE108A_p1_L08	7	446	H	
mssDE108A_p1_L08	8	620	H	
mssDE108A_p1_L08	9	381	H	
mssDE108A_p1_L08	10	321	H	
mssDE108A_p1_L08	11	109	H	
mssDE108A_p1_L09	1	124	H	
mssDE108A_p1_L09	2	10	H	
mssDE108A_p1_L09	3	677	M	622
mssDE108A_p1_L09	4	628	H	
mssDE108A_p1_L09	5	52	H	
mssDE108A_p1_L09	6	1167	H	
mssDE108A_p1_L09	7	620	H	
mssDE108A_p1_L09	8	1123	H	
mssDE108A_p1_L09	9	1151	H	
mssDE108A_p1_L09	10	1158	H	
mssDE108A_p1_L10	1	363	H	
mssDE108A_p1_L10	2	947	H	
mssDE108A_p1_L10	3	838	H	
mssDE108A_p1_L10	4	462	H	
mssDE108A_p1_L10	5	802	H	
mssDE108A_p1_L10	6	909	H	
mssDE108A_p1_L10	7	410	H	
mssDE108A_p1_L10	8	402	H	
mssDE108A_p1_L10	9	880	H	
mssDE108A_p1_L10	10	1025	H	
mssDE108A_p1_L10	11	519	H	
mssDE108A_p1_L11	1	1129	H	
mssDE108A_p1_L11	2	868	H	
mssDE108A_p1_L11	3	599	H	
mssDE108A_p1_L11	4	947	H	
mssDE108A_p1_L11	5	375	H	
mssDE108A_p1_L11	6	480	H	
mssDE108A_p1_L11	7	291	H	
mssDE108A_p1_L11	8	460	H	
mssDE108A_p1_L11	9	940	H	
mssDE108A_p1_L11	10	1185	H	
mssDE108A_p2_L01	1	608	H	
mssDE108A_p2_L01	2	34	H	
mssDE108A_p2_L01	3	1153	H	
mssDE108A_p2_L01	4	1074	H	
mssDE108A_p2_L01	5	585	H	
mssDE108A_p2_L01	6	913	H	
mssDE108A_p2_L01	7	824	H	
mssDE108A_p2_L01	8	10	H	
mssDE108A_p2_L01	9	165	H	
mssDE108A_p2_L01	10	85	H	
mssDE108A_p2_L01	11	1193	H	
mssDE108A_p2_L01	12	678	H	
mssDE108A_p2_L02	1	149	H	
mssDE108A_p2_L02	2	1181	H	
mssDE108A_p2_L02	3	643	H	
mssDE108A_p2_L02	4	52	H	
mssDE108A_p2_L02	5	80	H	
mssDE108A_p2_L02	6	135	H	
mssDE108A_p2_L02	7	80	H	
mssDE108A_p2_L02	8	620	H	
mssDE108A_p2_L02	9	1022	H	
mssDE108A_p2_L02	10	169	H	
mssDE108A_p2_L02	11	38	H	
mssDE108A_p2_L02	12	363	H	
mssDE108A_p2_L03	1	386	H	
mssDE108A_p2_L03	2	389	H	
mssDE108A_p2_L03	3	680	H	
mssDE108A_p2_L03	4	517	H	
mssDE108A_p2_L03	5	628	H	
mssDE108A_p2_L03	6	38	H	
mssDE108A_p2_L03	7	202	H	
mssDE108A_p2_L03	8	888	H	
mssDE108A_p2_L03	9	1158	H	
mssDE108A_p2_L03	10	6	H	
mssDE108A_p2_L03	11	301	H	
mssDE108A_p2_L03	12	128	H	
mssDE108A_p2_L04	1	1151	H	
mssDE108A_p2_L04	2	177	H	
mssDE108A_p2_L04	3	60	H	
mssDE108A_p2_L04	4	1070	H	
mssDE108A_p2_L04	5	888	H	
mssDE108A_p2_L04	6	536	H	
mssDE108A_p2_L04	7	169	H	
mssDE108A_p2_L04	8	434	H	
mssDE108A_p2_L04	9	264	H	
mssDE108A_p2_L04	10	80	H	
mssDE108A_p2_L04	11	480	H	
mssDE108A_p2_L05	1	666	H	
mssDE108A_p2_L05	2	1123	H	
mssDE108A_p2_L05	3	337	H	
mssDE108A_p2_L05	4	385	H	
mssDE108A_p2_L05	5	80	H	
mssDE108A_p2_L05	6	10	H	
mssDE108A_p2_L05	7	672	H	
mssDE108A_p2_L05	8	645	H	
mssDE108A_p2_L05	9	940	H	
mssDE108A_p2_L05	10	1185	H	
mssDE108A_p2_L05	11	983	H	
mssDE108A_p2_L05	12	628	H	
mssDE108A_p2_L06	1	655	H	
mssDE108A_p2_L06	2	947	H	
mssDE108A_p2_L06	3	355	H	
mssDE108A_p2_L06	4	385	H	
mssDE108A_p2_L06	5	947	H	
mssDE108A_p2_L06	6	830	H	
mssDE108A_p2_L06	7	378	H	
mssDE108A_p2_L06	8	824	H	
mssDE108A_p2_L06	9	655	H	
mssDE108A_p2_L06	10	1185	H	
mssDE108A_p2_L06	11	109	H	
mssDE108A_p2_L07	1	1015	H	
mssDE108A_p2_L07	2	301	H	
mssDE108A_p2_L07	3	141	H	
mssDE108A_p2_L07	4	648	H	
mssDE108A_p2_L07	5	10	H	
mssDE108A_p2_L07	6	422	H	
mssDE108A_p2_L07	7	202	H	
mssDE108A_p2_L07	8	70	M	0
mssDE108A_p2_L07	9	1103	H	
mssDE108A_p2_L07	10	1131	H	
mssDE108A_p2_L07	11	363	H	
mssDE108A_p2_L08	1	1129	H	
mssDE108A_p2_L08	2	712	H	
mssDE108A_p2_L08	3	30	H	
mssDE108A_p2_L08	4	941	H	
mssDE108A_p2_L08	5	628	H	
mssDE108A_p2_L08	6	244	H	
mssDE108A_p2_L08	7	367	H	
mssDE108A_p2_L08	8	354	H	
mssDE108A_p2_L08	9	997	H	
mssDE108A_p2_L08	10	145	H	
mssDE108A_p2_L08	11	878	H	
mssDE108A_p2_L09	1	199	H	
mssDE108A_p2_L09	2	349	H	
mssDE108A_p2_L09	3	991	H	
mssDE108A_p2_L09	4	444	H	
mssDE108A_p2_L09	5	905	H	
mssDE108A_p2_L09	6	903	H	
mssDE108A_p2_L09	7	165	H	
mssDE108A_p2_L09	8	1193	H	
mssDE108A_p2_L09	9	620	H	
mssDE108A_p2_L09	10	10	H	
mssDE108A_p2_L09	11	123	H	
mssDE108A_p2_L10	1	903	H	
mssDE108A_p2_L10	2	63	H	
mssDE108A_p2_L10	3	86	H	
mssDE108A_p2_L10	4	976	H	
mssDE108A_p2_L10	5	169	H	
mssDE108A_p2_L10	6	1032	H	
mssDE108A_p2_L10	7	487	H	
mssDE108A_p2_L10	8	947	H	
mssDE108A_p2_L10	9	1151	H	
mssDE108A_p2_L10	10	381	H	
mssDE108A_p2_L10	11	377	M	327
mssDE108A_p2_L10	12	428	H	
mssDE108A_p2_L11	1	507	H	
mssDE108A_p2_L11	2	1022	H	
mssDE108A_p2_L11	3	64	H	
mssDE108A_p2_L11	4	137	H	
mssDE108A_p2_L11	5	442	H	
mssDE108A_p2_L11	6	266	H	
mssDE108A_p2_L11	7	216	H	
mssDE108A_p2_L11	8	1153	H	
mssDE108A_p2_L11	9	666	H	
mssDE108A_p2_L11	10	628	H	
mssDE108A_p2_L11	11	153	H	
