value	chunk	count	total
1	d	2	8
1	r	1	8
1	u	1	8
1	h	1	8
1	f	1	8
1	n	1	8
1	e	1	8
2	-	3	9
2	r	2	9
2	l	1	9
2	a	1	9
2	e	1	9
2	lo	1	9
3	-	2	8
3	a	2	8
3	u	2	8
3	c	1	8
3	m	1	8
4	-	2	6
4	s	1	6
4	r	1	6
4	e	1	6
4	rsq	1	6
5	f	1	4
5	u	1	4
5	-	1	4
5	a	1	4
6	o	1	1
7	-	1	1
9	e	1	4
9	n	1	4
9	nir	1	4
9	u	1	4
10	-	2	5
10	u	1	5
10	i	1	5
10	r	1	5
11	u	1	4
11	n	1	4
11	-	1	4
11	e	1	4
12	-	1	5
12	e	1	5
12	a	1	5
12	l	1	5
12	d	1	5
13	-	3	6
13	n	1	6
13	d	1	6
13	t	1	6
18	s	1	2
18	p	1	2
19	-	2	3
19	ont	1	3
20	e	2	3
20	o	1	3
21	-	1	1
22	a	1	3
22	-	1	3
22	u	1	3
23	e	1	2
23	l	1	2
24	u	2	3
24	d	1	3
25	a	1	2
25	-	1	2
26	r	3	9
26	l	2	9
26	ede	1	9
26	a	1	9
26	g	1	9
26	e	1	9
27	t	2	11
27	f	1	11
27	s	1	11
27	-	1	11
27	e	1	11
27	o	1	11
27	n	1	11
27	rsl	1	11
27	g	1	11
27	p	1	11
28	-	3	16
28	e	3	16
28	s	2	16
28	o	2	16
28	i	1	16
28	n	1	16
28	y	1	16
28	m	1	16
28	t	1	16
28	c	1	16
29	c	2	14
29	e	2	14
29	u	1	14
29	n	1	14
29	t	1	14
29	m	1	14
29	p	1	14
29	h	1	14
29	s	1	14
29	r	1	14
29	y	1	14
29	l	1	14
30	o	1	2
30	n	1	2
31	t	1	1
33	a	1	1
34	o	1	2
34	d	1	2
39	e	1	1
41	-	1	1
42	y	1	3
42	c	1	3
42	u	1	3
43	z	1	2
43	t	1	2
44	-	2	4
44	x	1	4
44	uuo	1	4
45	-	2	4
45	s	1	4
45	n	1	4
50	e	1	2
50	u	1	2
51	d	1	3
51	-	1	3
51	t	1	3
52	r	1	4
52	l	1	4
52	i	1	4
52	c	1	4
53	e	2	4
53	meu	1	4
53	-	1	4
55	s	1	3
55	a	1	3
55	e	1	3
56	e	2	2
57	n	1	1
58	bue	1	4
58	t	1	4
58	f	1	4
58	o	1	4
59	-	1	4
59	s	1	4
59	h	1	4
59	a	1	4
60	e	3	7
60	-	2	7
60	u	1	7
60	n	1	7
61	o	1	4
61	e	1	4
61	r	1	4
61	-	1	4
62	s	1	3
62	-	1	3
62	e	1	3
63	e	1	5
63	s	1	5
63	l	1	5
63	d	1	5
63	n	1	5
64	n	1	2
64	-	1	2
65	-	1	1
66	-	1	2
66	a	1	2
67	-	1	1
68	e	2	4
68	l	1	4
68	-	1	4
70	-	1	1
71	-	1	1
74	s	1	2
74	-	1	2
75	u	2	6
75	-	1	6
75	c	1	6
75	e	1	6
75	s	1	6
76	p	1	3
76	t	1	3
76	e	1	3
77	a	1	6
77	s	1	6
77	o	1	6
77	-	1	6
77	u	1	6
77	c	1	6
78	p	1	3
78	s	1	3
78	a	1	3
79	-	2	2
80	i	2	6
80	f	1	6
80	a	1	6
80	e	1	6
80	l	1	6
81	e	3	5
81	-	2	5
82	z	1	1
83	e	2	5
83	-	1	5
83	n	1	5
83	s	1	5
84	n	2	4
84	a	1	4
84	s	1	4
85	-	3	7
85	e	2	7
85	s	1	7
85	a	1	7
86	-	1	3
86	r	1	3
86	l	1	3
87	i	1	2
87	-	1	2
88	q	1	5
88	e	1	5
88	r	1	5
88	-	1	5
88	duc	1	5
89	o	2	7
89	t	1	7
89	g	1	7
89	i	1	7
89	c	1	7
89	-	1	7
90	-	1	1
94	u	1	1
96	e	1	1
97	e	1	1
99	-	1	3
99	e	1	3
99	x	1	3
100	r	1	3
100	-	1	3
100	t	1	3
103	-	1	1
105	-	1	1
111	-	1	3
111	a	1	3
111	e	1	3
112	e	1	2
112	ue	1	2
113	-	1	1
114	m	1	2
114	x	1	2
116	-	1	1
117	u	1	1
118	-	1	2
118	e	1	2
119	ell	1	2
119	l	1	2
120	t	1	1
121	x	1	1
122	-	1	2
122	q	1	2
123	-	1	1
125	a	1	2
125	r	1	2
126	a	1	1
128	e	1	1
129	-	1	3
129	d	1	3
129	e	1	3
130	u	1	1
134	e	1	1
158	h	1	1
