line	pos	group	conf	note
5207p1L01	1	w:Monsieur mon frere, Je vous avoys escript le 6e jour du mois present sur	M	clear text, approximate reading
5207p1L02	1	w:ample de toutes choses, de laquelle j'espere que par le moyen du sr Vandenbrouck	M	clear text, approximate reading; placename uncertain
5207p1L03	1	w:vous aurez veu le double. Mais feray que je suis seurement adverty l'original est tombé	M	clear text, approximate reading
5207p1L04	1	w:entre les mains des ennemys,	M	clear text, approximate reading
5207p1L04	2	50	H	
5207p1L04	3	49	H	
5207p1L04	4	47	H	sep. written as period before next group
5207p1L04	5	7	H	
5207p1L04	6	27	H	
5207p1L04	7	26	H	
5207p1L04	8	37	H	
5207p1L04	9	27	H	
5207p1L04	10	15	H	
5207p1L04	11	35	H	
5207p1L04	12	59	H	
5207p1L04	13	18	H	
5207p1L04	14	53	H	
5207p1L04	15	31	H	
5207p1L04	16	3	H	
5207p1L04	17	17	H	
5207p1L05	1	9	H	
5207p1L05	2	26	H	
5207p1L05	3	24	H	
5207p1L05	4	1	H	
5207p1L05	5	50	H	
5207p1L05	6	33	H	
5207p1L05	7	18	H	
5207p1L05	8	3	H	
5207p1L05	9	9	H	
5207p1L05	10	26	H	
5207p1L05	11	2	H	
5207p1L05	12	46	H	
5207p1L05	13	3	H	
5207p1L05	14	39	H	
5207p1L05	15	38	H	
5207p1L05	16	1	H	
5207p1L05	17	21	H	
5207p1L05	18	1	M	possible repeat/miswrite before next group
5207p1L05	19	22	H	preceded by a stray period mark
5207p1L05	20	10	H	
5207p1L05	21	56	H	
5207p1L05	22	37	H	
5207p1L05	23	50	H	
5207p1L05	24	9	H	
5207p1L06	1	15	H	
5207p1L06	2	36	H	
5207p1L06	3	38	H	
5207p1L06	4	10	H	
5207p1L06	5	41	H	
5207p1L06	6	9	H	sep. written as period
5207p1L06	7	33	H	sep. written as period
5207p1L06	8	6	H	
5207p1L06	9	33	H	
5207p1L06	10	18	H	
5207p1L06	11	44	H	
5207p1L06	12	37	H	
5207p1L06	13	10	H	
5207p1L06	14	11	H	
5207p1L06	15	15	H	
5207p1L06	16	39	H	
5207p1L06	17	17	H	
5207p1L06	18	9	H	
5207p1L06	19	66	H	
5207p1L06	20	11	H	
5207p1L06	21	12	H	sep. written as period
5207p1L06	22	50	H	
5207p1L06	23	9	H	
5207p1L06	24	41	H	
5207p1L07	1	30	H	
5207p1L07	2	1	H	
5207p1L07	3	29	H	
5207p1L07	4	37	H	
5207p1L07	5	17	H	
5207p1L07	6	15	H	
5207p1L07	7	49	H	
5207p1L07	8	44	H	
5207p1L07	9	41	H	
5207p1L07	10	40	H	
5207p1L07	11	50	H	
5207p1L07	12	43	H	
5207p1L07	13	3	H	
5207p1L07	14	40	H	
5207p1L07	15	41	H	
5207p1L07	16	27	H	
5207p1L07	17	5	H	
5207p1L07	18	9	H	
5207p1L07	19	36	H	
5207p1L07	20	38	H	
5207p1L07	21	15	H	
5207p1L07	22	36	H	
5207p1L07	23	18	H	
5207p1L07	24	44	H	
5207p1L08	1	34	H	
5207p1L08	2	41	H	
5207p1L08	3	22	H	
5207p1L08	4	27	H	
5207p1L08	5	63	M	glyph unclear, read as 63
5207p1L08	6	10	H	
5207p1L08	7	13	H	
5207p1L08	8	26	H	
5207p1L08	9	w:L'aultre pour ce que m'ont	M	clear text, approximate reading
5207p1L08	10	45	H	
5207p1L08	11	47	H	
5207p1L08	12	56	H	
5207p1L08	13	34	H	
5207p1L08	14	27	H	
5207p1L08	15	40	H	
5207p1L08	16	59	H	
5207p1L08	17	17	H	
5207p1L08	18	28	H	
5207p1L09	1	39	H	
5207p1L09	2	35	M	glyph could be 75
5207p1L09	3	15	H	
5207p1L09	4	33	H	
5207p1L09	5	15	H	
5207p1L09	6	5	H	
5207p1L09	7	45	H	
5207p1L09	8	18	H	
5207p1L09	9	11	H	
5207p1L09	10	33	H	
5207p1L09	11	10	H	
5207p1L09	12	32	H	
5207p1L09	13	39	H	
5207p1L09	14	15	H	
5207p1L09	15	36	H	
5207p1L09	16	2	H	
5207p1L09	17	39	H	
5207p1L09	18	27	H	
5207p1L09	19	10	H	
5207p1L09	20	47	H	
5207p1L09	21	9	H	
5207p1L09	22	39	H	
5207p1L09	23	59	H	
5207p1L10	1	20	H	
5207p1L10	2	45	H	
5207p1L10	3	10	H	
5207p1L10	4	37	H	
5207p1L10	5	33	H	
5207p1L10	6	41	H	
5207p1L10	7	44	H	
5207p1L10	8	50	H	
5207p1L10	9	29	H	
5207p1L10	10	34	H	
5207p1L10	11	41	H	
5207p1L10	12	44	H	
5207p1L10	13	18	H	
5207p1L10	14	6	H	
5207p1L10	15	10	H	
5207p1L10	16	13	H	
5207p1L10	17	31	H	
5207p1L10	18	27	H	
