line	signs_A	signs_B	agree	columns	share
5200p1L06	20	20	19	20	0.950
5200p1L07	20	21	20	21	0.952
5200p1L08	24	24	24	24	1.000
5200p1L09	25	26	23	26	0.885
5200p1L10	21	21	19	21	0.905
5200p1L11	19	19	18	19	0.947
5200p1L12	24	24	21	24	0.875
5200p1L13	17	17	17	17	1.000
5200p1L14	22	22	20	22	0.909
5200p1L15	21	20	19	21	0.905
5200p1L16	14	14	12	14	0.857
5200p1L17	11	11	10	11	0.909
5200p1L18	16	17	16	17	0.941
5200p1L19	26	25	22	26	0.846
5200p1L20	25	25	23	25	0.920
5200p1L21	22	22	22	22	1.000
5200p1L22	26	25	25	26	0.962
5200p1L23	18	18	18	18	1.000
5200p1L24	26	26	26	26	1.000
5200p1L25	22	22	22	22	1.000
5200p1L26	23	21	21	23	0.913
5200p1L27	21	22	21	22	0.955
5200p1L28	20	20	20	20	1.000
5200p1L29	19	19	17	19	0.895
5200p1L30	12	12	12	12	1.000
5200p1L31	17	18	16	18	0.889
5200p1L32	22	22	20	22	0.909
5200p1L33	10	10	9	10	0.900
5200p1L34	21	22	20	22	0.909
5200p1L35	22	23	21	23	0.913
5200p1L36	20	19	15	21	0.714
5200p1L37	15	15	14	15	0.933
5200p1L38	21	21	20	21	0.952
5200p1L39	13	14	12	14	0.857
5200p1L40	22	22	21	23	0.913
5200p1L41	15	15	14	15	0.933
5200p1L42	19	20	16	20	0.800
5200p1L43	16	15	12	16	0.750
5200p1L44	22	20	18	22	0.818
5200p1L45	16	14	13	16	0.812
5200p1L24a	0	20	0	20	0.000
