line	pos	sign	value	grade
5200p2L01	1	2	NULL	H
5200p2L01	2	1	NULL	H
5200p2L01	3	3	a	H
5200p2L01	4	15	e	H
5200p2L01	5	50	NULL	H
5200p2L01	6	51	r	H
5200p2L01	7	15	e	H
5200p2L01	8	19	NULL	H
5200p2L01	9	15	e	H
5200p2L01	10	54	s	H
5200p2L01	12	26	NULL	H
5200p2L01	13	27	i	H
5200p2L01	14	33	l	H
5200p2L01	15	72	z	H
5200p2L01	16	s:jupiter	?	U
5200p2L01	17	s:venus	?	U
5200p2L01	19	26	NULL	H
5200p2L01	20	27	i	H
5200p2L01	21	51	r	H
5200p2L01	22	s:mark	?	U
5200p2L02	1	28	NULL	M
5200p2L02	2	31	NULL	H
5200p2L02	3	57	t	H
5200p2L02	4	60	u	H
5200p2L02	5	39	n	H
5200p2L02	6	4	NULL	H
5200p2L02	7	5	NULL	H
5200p2L02	8	6	b	H
5200p2L02	9	7	NULL	H
5200p2L02	10	50	NULL	H
5200p2L02	11	51	r	H
5200p2L02	12	60	u	H
5200p2L02	13	27	i	H
5200p2L02	14	57	t	H
5200p2L02	16	32	NULL	H
5200p2L02	17	33	l	H
5200p2L02	18	15	e	H
5200p2L02	19	s:n	?	U
5200p2L02	20	38	NULL	H
5200p2L02	21	79	NULL	H
5200p2L03	1	15	e	H
5200p2L03	2	14	NULL	H
5200p2L03	3	36	m	H
5200p2L03	4	69	y	H
5200p2L03	5	s:jupiter	?	U
5200p2L03	6	3	a	H
5200p2L03	7	61	NULL	H
5200p2L03	8	60	u	H
5200p2L03	9	42	o	H
5200p2L03	10	27	i	H
5200p2L03	11	37	NULL	M
5200p2L03	12	15	e	H
5200p2L03	13	54	s	H
5200p2L03	14	56	NULL	H
5200p2L03	15	57	t	H
5200p2L03	16	15	e	H
5200p2L03	17	40	NULL	H
5200p2L03	18	26	NULL	H
5200p2L03	19	s:venus	?	U
5200p2L03	20	s:mark	?	U
5200p2L03	21	s:saturn	?	U
5200p2L03	22	60	u	M
5200p2L06	2	14	NULL	H
5200p2L06	3	25	NULL	H
5200p2L06	4	31	NULL	H
5200p2L06	5	15	e	H
5200p2L06	6	39	n	H
5200p2L06	7	32	NULL	H
5200p2L06	8	33	l	H
5200p2L06	9	15	e	H
5200p2L06	10	60	u	H
5200p2L06	11	51	r	H
5200p2L06	12	50	NULL	H
