period	target_IC	noise_mean	noise_p95	z
31	0.0384	0.0383	0.0441	+0.01
32	0.0432	0.0383	0.0449	+1.24
33	0.0374	0.0386	0.0454	-0.29
34	0.0494	0.0384	0.0448	+2.80
35	0.0450	0.0385	0.0459	+1.52
36	0.0445	0.0386	0.0455	+1.43
37	0.0354	0.0386	0.0460	-0.72
38	0.0449	0.0383	0.0454	+1.51
39	0.0350	0.0385	0.0458	-0.80
40	0.0433	0.0387	0.0466	+0.99
41	0.0337	0.0385	0.0463	-1.01
42	0.0377	0.0389	0.0477	-0.24
43	0.0346	0.0381	0.0462	-0.77
44	0.0307	0.0384	0.0477	-1.51
45	0.0376	0.0388	0.0473	-0.23
46	0.0407	0.0384	0.0461	+0.48
47	0.0453	0.0386	0.0474	+1.32
48	0.0387	0.0384	0.0478	+0.06
49	0.0374	0.0386	0.0468	-0.24
50	0.0383	0.0385	0.0471	-0.05
51	0.0430	0.0383	0.0468	+0.93
52	0.0448	0.0384	0.0464	+1.24
53	0.0444	0.0388	0.0475	+1.05
54	0.0382	0.0386	0.0472	-0.08
55	0.0426	0.0383	0.0476	+0.75
56	0.0403	0.0388	0.0489	+0.27
57	0.0459	0.0384	0.0485	+1.26
58	0.0471	0.0385	0.0471	+1.54
59	0.0371	0.0386	0.0483	-0.25
60	0.0417	0.0384	0.0484	+0.57
61	0.0358	0.0386	0.0484	-0.44
62	0.0405	0.0381	0.0484	+0.41
63	0.0383	0.0388	0.0494	-0.07
64	0.0412	0.0380	0.0485	+0.51
65	0.0306	0.0384	0.0495	-1.20
66	0.0334	0.0386	0.0506	-0.75
67	0.0364	0.0387	0.0496	-0.36
68	0.0463	0.0383	0.0497	+1.24
69	0.0370	0.0385	0.0497	-0.22
70	0.0427	0.0389	0.0509	+0.54
71	0.0363	0.0392	0.0508	-0.43
72	0.0444	0.0388	0.0506	+0.82
73	0.0479	0.0385	0.0504	+1.37
74	0.0348	0.0386	0.0503	-0.57
75	0.0369	0.0382	0.0514	-0.18
76	0.0431	0.0382	0.0499	+0.67
77	0.0385	0.0381	0.0509	+0.05
78	0.0252	0.0384	0.0505	-1.86
79	0.0358	0.0387	0.0501	-0.41
80	0.0422	0.0390	0.0523	+0.42
81	0.0369	0.0385	0.0502	-0.22
82	0.0345	0.0382	0.0511	-0.51
83	0.0504	0.0385	0.0519	+1.56
84	0.0404	0.0389	0.0512	+0.19
85	0.0664	0.0380	0.0506	+3.86
86	0.0418	0.0383	0.0514	+0.44
87	0.0262	0.0382	0.0491	-1.59
88	0.0250	0.0384	0.0517	-1.75
89	0.0458	0.0390	0.0543	+0.84
90	0.0431	0.0389	0.0517	+0.55
91	0.0298	0.0386	0.0525	-1.08
92	0.0445	0.0382	0.0516	+0.81
93	0.0289	0.0385	0.0524	-1.15
94	0.0331	0.0387	0.0533	-0.67
95	0.0430	0.0381	0.0523	+0.58
96	0.0418	0.0380	0.0532	+0.46
97	0.0561	0.0378	0.0522	+2.22
98	0.0512	0.0387	0.0531	+1.42
99	0.0501	0.0385	0.0541	+1.30
100	0.0367	0.0389	0.0551	-0.24
101	0.0520	0.0380	0.0520	+1.61
102	0.0508	0.0383	0.0530	+1.50
103	0.0454	0.0385	0.0518	+0.76
104	0.0617	0.0388	0.0551	+2.64
105	0.0607	0.0387	0.0539	+2.40
106	0.0390	0.0387	0.0550	+0.04
107	0.0445	0.0386	0.0562	+0.62
108	0.0455	0.0385	0.0574	+0.74
109	0.0391	0.0385	0.0538	+0.06
110	0.0350	0.0384	0.0550	-0.35
111	0.0307	0.0385	0.0563	-0.78
112	0.0314	0.0386	0.0576	-0.69
113	0.0375	0.0382	0.0563	-0.07
114	0.0632	0.0385	0.0577	+2.38
115	0.0337	0.0386	0.0534	-0.52
116	0.0544	0.0392	0.0573	+1.46
117	0.0468	0.0382	0.0556	+0.85
118	0.0269	0.0376	0.0537	-1.10
119	0.0365	0.0385	0.0578	-0.19
120	0.0494	0.0384	0.0586	+0.99
target max coset IC 0.0664 at P=85; noise max-over-periods: mean 0.0599, p95 0.0699 (500 trials)
