line	pos	sign	conf	left	right
p2L22	1	15		Quant aux	
p2L22	2	16			
p2L22	3	22			
p2L22	4	23			
p2L22	5	1			
p2L22	6	10			
p2L22	7	3			
p2L22	8	14			
p2L22	9	5			
p2L22	10	10			
p2L22	11	11			
p2L22	12	11			
p2L22	13	13			
p2L22	14	14			
p2L22	15	3			
p2L22	16	15			
p2L22	17	19			
p2L22	18	12			
p2L22	19	15			
p2L22	20	6	M		
p2L22	21	19			
p2L22	22	14			Je ny ay remarque
p2L24	1	10		et	
p2L24	2	16^			
p2L24	3	14			
p2L24	4	7			
p2L24	5	17			
p2L24	6	22			
p2L24	7	10			
p2L24	8	2			
p2L24	9	1			
p2L24	10	12			
p2L24	11	19			
p2L24	12	24	M		
p2L24	13	14			
p2L24	14	20			
p2L24	15	[mark]	M		
p2L24	16	2^			
p2L24	17	6			
p2L24	18	17^			
p2L24	19	20^			
p2L24	20	11			
p2L24	21	8			
p2L24	22	11^			
p2L24	23	6			
p2L24	24	1			
p2L24	25	2			
p2L24	26	20			
p2L25	27	9^			
p2L25	28	9			
p2L25	29	14^			
p2L25	30	3			
p2L25	31	20			
p2L25	32	14			
p2L25	33	5			
p2L25	34	15			
p2L25	35	10			Et quoy qu'il se face
p2L26	1	24		quelle	
p2L26	2	1			
p2L26	3	2			
p2L26	4	11			
p2L26	5	21			
p2L26	6	18	M		
p2L26	7	3			
p2L26	8	9	M		
p2L27	9	24			
p2L27	10	21			
p2L27	11	6			
p2L27	12	10			
p2L27	13	20			
p2L27	14	16			
p2L27	15	4			
p2L27	16	7			
p2L27	17	11			
p2L27	18	17			
p2L27	19	18	M		
p2L27	20	16	M		
p2L27	21	12			
p2L27	22	15			
p2L28	23	7	M		
p2L28	24	10			
p2L28	25	23			
p2L28	26	16			
p2L28	27	3			
p2L28	28	11			
p2L28	29	19			
p2L28	30	3			
p2L28	31	5			
p2L28	32	1			
p2L28	33	16			
p2L28	34	1			
p2L29	35	16			
p2L29	36	10			
p2L29	37	7			
p2L29	38	23			
p2L29	39	17			
p2L29	40	24			
p2L29	41	24			
p2L29	42	12			
p2L29	43	16			
p2L29	44	10			
p2L29	45	8	M		
p2L29	46	18	M		
p2L29	47	10	M		
p2L29	48	8	M		
p2L29	49	8	M		
p2L29	50	16			
p2L29	51	4			
p2L29	52	6			
p2L29	53	8			
p2L29	54	22			
p2L29	55	24			
p2L29	56	4			Il ne peult
p3L5	1	8		de	
p3L5	2	16			
p3L5	3	9			
p3L5	4	21			
p3L5	5	5			
p3L5	6	10			
p3L5	7	10			
p3L5	8	[mark]	M		
p3L5	9	1			
p3L5	10	16			
p3L5	11	19			
p3L5	12	1			
p3L5	13	13			
p3L5	14	8			
p3L5	15	10			
p3L5	16	[mark]	M		
p3L5	17	2			
p3L5	18	12			
p3L5	19	9			
p3L5	20	20			
p3L5	21	21			
p3L6	22	8			
p3L6	23	2			
p3L6	24	[mark]15	M		
p3L6	25	8			
p3L6	26	10			
p3L6	27	12			
p3L6	28	5			
p3L6	29	9			
p3L6	30	12			
p3L6	31	[mark]	M		
p3L6	32	18			
p3L6	33	14			
p3L6	34	24			
p3L6	35	17			
p3L6	36	21			
p3L6	37	10			
p3L6	38	12			
p3L6	39	[mark]	M		de vre Seigneurie, serait bon de
p3L7	1	1		Luy escripre	
p3L7	2	16			
p3L7	3	7			
p3L7	4	17			
p3L7	5	2			
p3L7	6	6			
p3L7	7	10^			
p3L7	8	[mark]	M		
p3L7	9	10			
p3L7	10	3			
p3L7	11	9			
p3L7	12	21			
p3L7	13	23			
p3L7	14	5			
p3L7	15	3			
p3L7	16	[mark]	M		
p3L7	17	2			
p3L7	18	13			
p3L7	19	23			
p3L7	20	5			
p3L7	21	1			
p3L7	22	10			
p3L7	23	8			
p3L7	24	[mark]	M		
p3L7	25	24			20.8.9.9. (next line)
p3L8	1	20		8.[mark]24. (prev line)	
p3L8	2	8			
p3L8	3	9^			
p3L8	4	9^			ou Il y eust quelque chose
p3L8	1	13		chose	
p3L8	2	7			
p3L8	3	22			
p3L8	4	3			
p3L8	5	8			
p3L8	6	4			
p3L8	7	14			
p3L8	8	[mark]11	M		
p3L8	9	19			
p3L8	10	7			
p3L8	11	15			
p3L8	12	17			Car les aultres estans
