line	pos	sign	conf	left	right	margin_note
p2L1	1	7		on pourra		Justifier le faict du(?) grand
p2L1	2	8				Justifier le faict du(?) grand
p2L1	3	2				Justifier le faict du(?) grand
p2L1	4	11				Justifier le faict du(?) grand
p2L1	5	10^				Justifier le faict du(?) grand
p2L1	6	19				Justifier le faict du(?) grand
p2L1	7	14				Justifier le faict du(?) grand
p2L1	8	12				Justifier le faict du(?) grand
p2L1	9	9				Justifier le faict du(?) grand
p2L2	10	3	M			Justifier le faict du(?) grand
p2L2	11	07				Justifier le faict du(?) grand
p2L2	12	4				Justifier le faict du(?) grand
p2L2	13	14~				Justifier le faict du(?) grand
p2L2	14	4^				Justifier le faict du(?) grand
p2L2	15	8				Justifier le faict du(?) grand
p2L2	16	11				Justifier le faict du(?) grand
p2L2	17	2				Justifier le faict du(?) grand
p2L2	18	4				Justifier le faict du(?) grand
p2L2	19	07				Justifier le faict du(?) grand
p2L2	20	11				Justifier le faict du(?) grand
p2L2	21	24				Justifier le faict du(?) grand
p2L2	22	3				Justifier le faict du(?) grand
p2L2	23	9				Justifier le faict du(?) grand
p2L3	24	2				Justifier le faict du(?) grand
p2L3	25	17^				Justifier le faict du(?) grand
p2L3	26	5				Justifier le faict du(?) grand
p2L3	27	11			Ce seroit un grand poinct	Justifier le faict du(?) grand
p2L4	1	10		Et que		N.c.f.(?)
p2L4	2	8				N.c.f.(?)
p2L4	3	2				N.c.f.(?)
p2L4	4	10				N.c.f.(?)
p2L4	5	5				N.c.f.(?)
p2L4	6	7				N.c.f.(?)
p2L5	7	9				N.c.f.(?)
p2L5	8	07				N.c.f.(?)
p2L5	9	4				N.c.f.(?)
p2L5	10	10^				N.c.f.(?)
p2L5	11	8^				N.c.f.(?)
p2L5	12	9				N.c.f.(?)
p2L5	13	07~~				N.c.f.(?)
p2L5	14	4				N.c.f.(?)
p2L5	15	7				N.c.f.(?)
p2L5	16	1				N.c.f.(?)
p2L5	17	3^				N.c.f.(?)
p2L5	18	12			Je me suis pris aux effaictz	N.c.f.(?)
