code	count	old	new	gain
28	16	s	NULL	20.854
114	12	l	NULL	5.140
77	11	d	NULL	9.301
11	9	p	NULL	51.628
16	9	q	NULL	24.876
3	8	n	NULL	20.186
72	8	c	NULL	4.835
123	7	l	NULL	61.557
76	7	d	NULL	19.758
87	7	f	l	12.447
112	6	l	NULL	27.650
51	6	y	NULL	21.407
58	6	z	u	86.756
13	5	p	l	33.215
14	5	p	NULL	36.746
70	5	b	NULL	12.279
117	4	m	u	10.996
18	4	q	NULL	11.364
34	4	t	NULL	11.543
5	4	n	d	5.752
66	4	b	NULL	27.145
91	4	g	NULL	41.162
100	3	h	NULL	34.340
109	3	k	NULL	54.759
116	3	m	NULL	11.051
118	3	m	u	6.423
119	3	m	s	8.857
120	3	m	NULL	5.903
20	3	q	s	61.443
30	3	s	u	12.519
36	3	u	l	21.819
4	3	n	NULL	3.862
53	3	y	NULL	31.564
59	3	z	NULL	35.378
94	3	g	NULL	15.584
103	2	i	NULL	3.883
17	2	q	NULL	19.045
40	2	u	c	8.351
52	2	y	r	12.062
57	2	z	p	25.644
75	2	c	NULL	3.819
89	2	f	e	15.127
92	2	g	NULL	10.707
106	1	k	t	14.587
111	1	l	d	6.500
115	1	l	c	3.785
122	1	NULL	n	3.358
136	1	uingt	NULL	23.884
338	1	cheuaulxlegiers	g	35.682
44	1	v	qv	5.001
65	1	a	n	5.641
90	1	f	t	7.346
98	1	h	NULL	12.165
27	37	s	NULL	40.858
6	18	o	NULL	31.906
21	16	r	NULL	10.230
23	16	r	NULL	4.033
104	15	i	NULL	25.078
62	15	a	NULL	29.892
26	14	s	NULL	36.965
105	13	i	NULL	14.162
113	13	l	NULL	4.003
64	11	a	NULL	48.681
9	11	o	NULL	5.775
102	10	i	NULL	41.710
12	10	p	NULL	73.573
78	8	d	NULL	30.170
24	7	r	NULL	37.622
7	7	o	NULL	35.664
87	7	l	NULL	23.650
101	6	i	NULL	11.240
112	6	NULL	s	3.008
29	6	s	NULL	6.418
58	6	u	NULL	3.538
79	6	d	t	29.775
1	5	n	NULL	3.405
13	5	l	NULL	15.723
14	5	NULL	i	9.116
39	5	u	NULL	30.202
71	5	c	NULL	30.289
73	5	c	NULL	3.984
117	4	u	n	39.869
5	4	d	r	10.163
118	3	u	l	5.857
119	3	s	r	3.508
30	3	u	qv	11.404
36	3	l	NULL	13.669
54	3	y	u	22.165
59	3	NULL	s	3.537
94	3	NULL	r	11.294
52	2	r	NULL	7.222
57	2	p	u	14.790
74	2	c	e	10.015
89	2	e	NULL	13.633
92	2	NULL	r	3.455
10	1	o	NULL	3.412
136	1	NULL	ra	8.730
25	1	r	vi	5.053
69	1	b	NULL	6.844
88	1	f	NULL	12.461
98	1	NULL	c	5.597
81	49	e	NULL	23.649
37	37	u	NULL	94.052
2	35	n	NULL	65.282
82	30	e	NULL	62.581
31	27	t	NULL	172.799
38	23	u	NULL	15.343
83	21	e	NULL	100.063
84	21	e	NULL	44.433
22	20	r	NULL	132.447
61	20	a	NULL	62.421
85	20	e	NULL	33.906
8	18	o	e	111.457
105	13	NULL	e	6.020
32	11	t	NULL	50.041
63	10	a	NULL	31.120
33	8	t	NULL	75.250
35	7	t	NULL	40.535
112	6	s	NULL	16.526
79	6	t	NULL	16.370
1	5	NULL	u	9.272
14	5	i	n	9.629
117	4	n	NULL	9.844
34	4	NULL	u	7.094
5	4	r	l	14.254
119	3	r	NULL	27.381
20	3	s	NULL	7.140
30	3	qv	n	4.171
54	3	u	NULL	14.951
59	3	s	NULL	8.004
135	2	NULL	t	5.103
40	2	c	e	12.811
57	2	u	NULL	6.298
74	2	e	i	4.175
106	1	t	nt	3.078
115	1	c	NULL	6.487
122	1	n	u	5.697
136	1	ra	n	14.169
25	1	vi	NULL	6.708
98	1	c	p	5.096
105	13	e	NULL	9.826
34	4	u	NULL	14.449
5	4	l	NULL	18.099
118	3	l	NULL	5.685
135	2	t	qv	7.124
111	1	d	NULL	3.271
122	1	u	ll	6.885
338	1	g	c	8.130
65	1	n	l	4.284
80	1	d	NULL	7.738
90	1	t	NULL	8.789
98	1	p	t	4.055
