line	position	sign	confidence	alt	why
05801_p3_L01	1	=vu	M	B:-	gap
05801_p3_L01	2	70	M		agree-flagged
05801_p3_L01	3	67	M		agree-flagged
05801_p3_L01	4	113	H		agree
05801_p3_L01	5	103	M		agree-flagged
05801_p3_L01	6	22	M		agree-flagged
05801_p3_L01	7	22	M		agree-flagged
05801_p3_L01	8	10	M		agree-flagged
05801_p3_L01	9	5	M		agree-flagged
05801_p3_L01	10	32	M		agree-flagged
05801_p3_L01	11	92	M		agree-flagged
05801_p3_L01	12	28	M		agree-flagged
05801_p3_L01	13	13	M		agree-flagged
05801_p3_L01	14	32	M		agree-flagged
05801_p3_L01	15	82	M		agree-flagged
05801_p3_L01	16	24	M		agree-flagged
05801_p3_L01	17	22	M		agree-flagged
05801_p3_L01	18	2	M		agree-flagged
05801_p3_L01	19	30	M		agree-flagged
05801_p3_L01	20	120	M	A:-	gap
05801_p3_L01	21	331	M		agree-flagged
05801_p3_L01	22	1	M		agree-flagged
05801_p3_L01	23	82	M		agree-flagged
05801_p3_L01	24	74	M	B:174	differ
05801_p3_L01	25	22	M		agree-flagged
05801_p3_L01	26	32	M		agree-flagged
05801_p3_L01	27	102	M		agree-flagged
05801_p3_L01	28	79	M		agree-flagged
05801_p3_L01	29	2	M		agree-flagged
05801_p3_L01	30	34	M		agree-flagged
05801_p3_L01	31	13	M		agree-flagged
05801_p3_L01	32	311	M		agree-flagged
05801_p3_L01	33	26	M		agree-flagged
05801_p3_L01	34	62	M	B:-	gap
05801_p3_L01	35	3	M	B:-	gap
05801_p3_L01	36	28	M	B:=sans	differ
05801_p3_L01	37	82	M		agree-flagged
05801_p3_L01	38	27	M		agree-flagged
05801_p3_L01	39	34	M		agree-flagged
05801_p3_L01	40	87	M	B:67	differ
05801_p3_L01	41	9	M		agree-flagged
05801_p3_L01	42	140	M	B:40	differ
05801_p3_L01	43	56	M		agree-flagged
05801_p3_L01	44	53	M		agree-flagged
05801_p3_L01	45	82	M		agree-flagged
05801_p3_L01	46	60	M		agree-flagged
05801_p3_L01	47	7	M		agree-flagged
05801_p3_L01	48	39	M		agree-flagged
05801_p3_L01	49	19	M	A:-	gap
05801_p3_L01	50	26	M		agree-flagged
05801_p3_L01	51	72	M		agree-flagged
05801_p3_L01	52	38	M		agree-flagged
05801_p3_L01	53	23	M		agree-flagged
05801_p3_L01	54	82	M		agree-flagged
05801_p3_L01	55	51	M	A:-	gap
05801_p3_L01	56	132	H		agree
05801_p3_L01	57	190	M		agree-flagged
05801_p3_L01	58	82	M		agree-flagged
05801_p3_L01	59	132	M		agree-flagged
05801_p3_L01	60	42	M	B:92	differ
05801_p3_L01	61	39	M		agree-flagged
05801_p3_L01	62	27	M		agree-flagged
05801_p3_L01	63	132	M		agree-flagged
05801_p3_L01	64	7	M	A:-	gap
05801_p3_L01	65	32	M	A:-	gap
05801_p3_L01	66	84	M	B:81	differ
05801_p3_L01	67	87	M	B:9	differ
05801_p3_L01	68	103	M	B:33	differ
05801_p3_L01	69	117	M	B:84	differ
05801_p3_L01	70	47	M		agree-flagged
05801_p3_L01	71	2	M		agree-flagged
05801_p3_L01	72	54	M	B:34	differ
05801_p3_L01	73	=que	M		agree-flagged
05801_p3_L01	74	59	M		agree-flagged
05801_p3_L01	75	132	M	B:152	differ
05801_p3_L01	76	191	M	B:195	differ
05801_p3_L01	77	126	M		agree-flagged
05801_p3_L01	78	129	M		agree-flagged
05801_p3_L01	79	172	M		agree-flagged
05801_p3_L01	80	60	M	A:-	gap
05801_p3_L02	1	83	M	B:85	differ
05801_p3_L02	2	61	M	B:81	differ
05801_p3_L02	3	102	M		agree-flagged
05801_p3_L02	4	112	M		agree-flagged
05801_p3_L02	5	92	M		agree-flagged
05801_p3_L02	6	9	M		agree-flagged
05801_p3_L02	7	34	M	B:39	differ
05801_p3_L02	8	72	M		agree-flagged
05801_p3_L02	9	9	M		agree-flagged
05801_p3_L02	10	2	M		agree-flagged
05801_p3_L02	11	32	M		agree-flagged
05801_p3_L02	12	82	M		agree-flagged
05801_p3_L02	13	5	M		agree-flagged
05801_p3_L02	14	39	M		agree-flagged
05801_p3_L02	15	85	M		agree-flagged
05801_p3_L02	16	24	M		agree-flagged
05801_p3_L02	17	126	M	B:128	differ
05801_p3_L02	18	129	M		agree-flagged
05801_p3_L02	19	150	M		agree-flagged
05801_p3_L02	20	58	M	B:28	differ
05801_p3_L02	21	9	M		agree-flagged
05801_p3_L02	22	5	M		agree-flagged
05801_p3_L02	23	77	M		agree-flagged
05801_p3_L02	24	105	M		agree-flagged
05801_p3_L02	25	78	M		agree-flagged
05801_p3_L02	26	8	M		agree-flagged
05801_p3_L02	27	3	M		agree-flagged
05801_p3_L02	28	30	M		agree-flagged
05801_p3_L02	29	=de	M		agree-flagged
05801_p3_L02	30	=la	M		agree-flagged
05801_p3_L02	31	142	M		agree-flagged
05801_p3_L02	32	129	M		agree-flagged
05801_p3_L02	33	127	M		agree-flagged
05801_p3_L02	34	3	M	B:13	differ
05801_p3_L02	35	67	M		agree-flagged
05801_p3_L02	36	78	M		agree-flagged
05801_p3_L02	37	82	M		agree-flagged
05801_p3_L02	38	84	M	B:24	differ
05801_p3_L02	39	1	M	B:81	differ
05801_p3_L02	40	132	M	B:172	differ
05801_p3_L02	41	67	M		agree-flagged
05801_p3_L02	42	82	M		agree-flagged
05801_p3_L02	43	20	M		agree-flagged
05801_p3_L02	44	32	M		agree-flagged
05801_p3_L02	45	82	M		agree-flagged
05801_p3_L02	46	112	M		agree-flagged
05801_p3_L02	47	115	M		agree-flagged
05801_p3_L02	48	30	M		agree-flagged
05801_p3_L02	49	7	M		agree-flagged
05801_p3_L02	50	79	M	A:-	gap
05801_p3_L02	51	15	M	A:-	gap
05801_p3_L02	52	87	M	B:30	differ
05801_p3_L02	53	78	M		agree-flagged
05801_p3_L02	54	82	M		agree-flagged
05801_p3_L02	55	2	M		agree-flagged
05801_p3_L02	56	75	M		agree-flagged
05801_p3_L02	57	53	M		agree-flagged
05801_p3_L02	58	38	M		agree-flagged
05801_p3_L02	59	87	M	B:67	differ
05801_p3_L02	60	113	M		agree-flagged
05801_p3_L02	61	82	M		agree-flagged
05801_p3_L02	62	30	M		agree-flagged
05801_p3_L02	63	83	M		agree-flagged
05801_p3_L02	64	79	M		agree-flagged
05801_p3_L02	65	77	M		agree-flagged
05801_p3_L02	66	85	M		agree-flagged
05801_p3_L02	67	7	M		agree-flagged
05801_p3_L02	68	113	M		agree-flagged
05801_p3_L02	69	111	M		agree-flagged
05801_p3_L02	70	82	M		agree-flagged
05801_p3_L02	71	12	M		agree-flagged
05801_p3_L02	72	91	M		agree-flagged
05801_p3_L02	73	12	M		agree-flagged
05801_p3_L02	74	22	M		agree-flagged
05801_p3_L02	75	9	M		agree-flagged
05801_p3_L02	76	105	M		agree-flagged
05801_p3_L02	77	81	M	B:82	differ
05801_p3_L02	78	24	M		agree-flagged
05801_p3_L02	79	82	M		agree-flagged
05801_p3_L02	80	331	M		agree-flagged
05801_p3_L02	81	=contracter	M	B:-	gap
05801_p3_L02	82	72	M		agree-flagged
05801_p3_L02	83	7	M	B:9	differ
05801_p3_L02	84	2	M		agree-flagged
05801_p3_L02	85	32	M		agree-flagged
05801_p3_L02	86	22	M		agree-flagged
05801_p3_L02	87	91	M	B:61	differ
05801_p3_L02	88	73	M		agree-flagged
05801_p3_L02	89	34	M		agree-flagged
05801_p3_L02	90	81	M	B:82	differ
05801_p3_L02	91	25	M		agree-flagged
05801_p3_L02	92	125	M		agree-flagged
05801_p3_L02	93	132	M		agree-flagged
05801_p3_L02	94	61	M		agree-flagged
05801_p3_L02	95	35	M	B:36	differ
05801_p3_L02	96	81	M	B:82	differ
05801_p3_L02	97	74	M		agree-flagged
05801_p3_L03	1	20	M		agree-flagged
05801_p3_L03	2	40	M		agree-flagged
05801_p3_L03	3	81	M	B:82	differ
05801_p3_L03	4	50	M	B:30	differ
05801_p3_L03	5	82	M		agree-flagged
05801_p3_L03	6	31	M		agree-flagged
05801_p3_L03	7	50	M	B:30	differ
05801_p3_L03	8	18	M	B:16	differ
05801_p3_L03	9	30	M		agree-flagged
05801_p3_L03	10	102	M		agree-flagged
05801_p3_L03	11	112	M		agree-flagged
05801_p3_L03	12	20	M	B:60	differ
05801_p3_L03	13	31	M	B:51	differ
05801_p3_L03	14	120	M		agree-flagged
05801_p3_L03	15	82	M		agree-flagged
05801_p3_L03	16	12	M		agree-flagged
05801_p3_L03	17	2	M		agree-flagged
05801_p3_L03	18	34	M		agree-flagged
05801_p3_L03	19	55	M		agree-flagged
05801_p3_L03	20	115	M		agree-flagged
05801_p3_L03	21	20	M	B:50	differ
05801_p3_L03	22	72	M		agree-flagged
05801_p3_L03	23	97	M		agree-flagged
05801_p3_L03	24	64	M		agree-flagged
05801_p3_L03	25	22	M		agree-flagged
05801_p3_L03	26	102	M		agree-flagged
05801_p3_L03	27	82	M	A:-	gap
05801_p3_L03	28	34	M	A:-	gap
05801_p3_L03	29	54	M	B:28	differ
05801_p3_L03	30	132	M		agree-flagged
05801_p3_L03	31	197	M		agree-flagged
05801_p3_L03	32	=que	M	B:-	gap
05801_p3_L03	33	=leur	M	B:=pouvoir	differ
05801_p3_L03	34	=impossible	M		agree-flagged
05801_p3_L03	35	=du	M	B:-	gap
05801_p3_L03	36	=fils	M	B:-	gap
05801_p3_L03	37	87	M	B:82	differ
05801_p3_L03	38	62	M		agree-flagged
05801_p3_L03	39	101	M		agree-flagged
05801_p3_L03	40	22	M		agree-flagged
05801_p3_L03	41	82	M		agree-flagged
05801_p3_L03	42	56	M		agree-flagged
05801_p3_L03	43	27	M		agree-flagged
05801_p3_L03	44	26	M		agree-flagged
05801_p3_L03	45	81	M		agree-flagged
05801_p3_L03	46	29	M		agree-flagged
05801_p3_L03	47	55	M		agree-flagged
05801_p3_L03	48	24	M		agree-flagged
