cipher_line	idx	raw	kind	value	repair	plain_chunk	status
04614_p1_L01_c	0	76	num	76			null-or-unaligned
04614_p1_L01_c	1	61	num	61		a	agrees
04614_p1_L01_c	2	31	num	31		t	agrees
04614_p1_L01_c	3	32	num	32			null-or-unaligned
04614_p1_L01_c	4	98	num	98		h	agrees
04614_p1_L01_c	5	81	num	81		e	agrees
04614_p1_L01_c	6	1	num	1		n	agrees
04614_p1_L01_c	7	36	num	36		u	agrees
04614_p1_L01_c	8	26	num	26		s	agrees
04614_p1_L06_b	0	8	num	8		n	conflict:o
04614_p1_L06_b	1	2	num	2		n	agrees
04614_p1_L06_b	2	83	num	83		e	agrees
04614_p1_L06_b	3	118	num	118		m	agrees
04614_p1_L06_b	4	101	num	101		y	conflict:i
04614_p1_L06_b	5	71	num	71		s	conflict:c
04614_p1_L06_b	6	94	num	94		e	conflict:g
04614_p1_L06_b	7	27	num	27		s	agrees
04614_p1_L06_b	8	32	num	32		t	agrees
04614_p1_L06_b	9	6	num	6		o	agrees
04614_p1_L06_b	10	102	num	102		i	agrees
04614_p1_L06_b	11	27	num	27		t	conflict:s
04614_p1_L06_b	12	91	num	91		r	conflict:g
04614_p1_L06_b	13	85	num	85		e	agrees
04614_p1_L06_b	14	34	num	34		t	agrees
04614_p1_L06_b	15	103	num	103		i	agrees
04614_p1_L06_b	16	22	num	22		r	agrees
04614_p1_L06_b	17	81	num	81			null-or-unaligned
04614_p1_L06_b	18	77	num	77		d	agrees
04614_p1_L06_b	19	82	num	82		e	agrees
04614_p1_L06_b	20	112	num	112		l	agrees
04614_p1_L06_b	21	62	num	62		a	agrees
04614_p1_L06_b	22	97	num	97		h	agrees
04614_p1_L06_b	23	63	num	63		a	agrees
04614_p1_L06_b	24	51	num	51		y	agrees
04614_p1_L06_b	25	82	num	82		e	agrees
04614_p1_L06_b	26	83	num	83		e	agrees
04614_p1_L06_b	27	3	num	3		n	agrees
04614_p1_L06_b	28	221	num	221		hollan	single
04614_p1_L06_b	29	77	num	77		d	agrees
04614_p1_L06_b	30	64	num	64		e	conflict:a
04614_p1_L06_b	31	34	num	34		a	conflict:t
04614_p1_L06_b	32	32	num	32		t	agrees
04614_p1_L06_b	33	98	num	98		h	agrees
04614_p1_L06_b	34	81	num	81		e	agrees
04614_p1_L06_b	35	5	num	5		n	agrees
04614_p1_L06_b	36	37	num	37		u	agrees
04614_p1_L06_b	37	28	num	28		s	agrees
04614_p1_L06_b	38	84	num	84		e	agrees
04614_p1_L06_b	39	29	num	29		s	agrees
04614_p1_L06_b	40	35	num	35		t	agrees
04614_p1_L06_b	41	11	num	11		p	agrees
04614_p1_L06_b	42	65	num	65		a	agrees
04614_p1_L06_b	43	24	num	24		r	agrees
04614_p1_L06_b	44	31	num	31		t	agrees
04614_p1_L06_b	45	104	num	104		y	conflict:i
04614_p1_L06_b	46	12	num	12		p	agrees
04614_p1_L06_b	47	8	num	8		o	agrees
04614_p1_L06_b	48	40	num	40		u	agrees
04614_p1_L06_b	49	27	num	27		f	agrees
04614_p1_L06_b	50	289	num	289		rancfort	single
04614_p1_L06_b	51	7	num	7		o	agrees
04614_p1_L06_b	52	39	num	39		u	agrees
04614_p1_L06_b	53	105	num	105		i	agrees
04614_p1_L06_b	54	112	num	112		l	agrees
04614_p1_L06_b	55	31	num	31		t	agrees
04614_p1_L06_b	56	21	num	21		r	agrees
04614_p1_L06_b	57	6	num	6		o	agrees
04614_p1_L06_b	58	36	num	36		u	agrees
04614_p1_L06_b	59	40	num	40		v	agrees
04614_p1_L06_b	60	82	num	82		e	agrees
04614_p1_L06_b	61	22	num	22		r	agrees
04614_p1_L06_b	62	63	num	63		a	agrees
04614_p1_L06_b	63	117	num	117		m	agrees
04614_p1_L06_b	64	7	num	7		o	agrees
04614_p1_L06_b	65	2	num	2		n	agrees
04614_p1_L06_b	66	86	num	86		f	agrees
04614_p1_L06_b	67	23	num	23		r	agrees
04614_p1_L06_b	68	84	num	84		e	agrees
04614_p1_L06_b	69	24	num	24		r	agrees
04614_p1_L06_b	70	82	num	82		e	agrees
04614_p1_L06_b	71	172	num	172		lecontejean	single-segment
04614_p1_L06_b	72	111	num	111		l	agrees
04614_p1_L06_b	73	81	num	81		e	agrees
04614_p1_L06_b	74	16	num	16		q	agrees
04614_p1_L06_b	75	37	num	37		u	agrees
04614_p1_L06_b	76	83	num	83		e	agrees
04614_p1_L06_b	77	111	num	111		l	agrees
04614_p1_L06_b	78	85	num	85		e	agrees
04614_p1_L06_b	79	28	num	28		s	agrees
04614_p1_L06_b	80	33	num	33		t	agrees
04614_p1_L06_b	81	63	num	63		a	agrees
04614_p1_L06_b	82	111	num	111		l	agrees
04614_p1_L06_b	83	113	num	113		l	agrees
04614_p1_L06_b	84	82	num	82			null-or-unaligned
04614_p1_L06_b	85	121	num	121			null-or-unaligned
04614_p1_L06_b	86	132	num	132			null-or-unaligned
04614_p1_L06_b	87	12	num	12		p	agrees
04614_p1_L06_b	88	7	num	7		o	agrees
04614_p1_L06_b	89	40	num	40		u	agrees
