code	value_5801	grade	occurrences	key_full	vs_key_full	key_5799	vs_key_5799
1	r	M	5	n	conflict		new code
2	a	M	56	n	conflict		new code
3	e	M	64	n	conflict		new code
4	d	M	19	n	conflict		new code
5	e	M	22	n	conflict		new code
6	e	M	9	o	conflict		new code
7	u	M	61	o	conflict		new code
8	s	M	18	o	conflict		new code
9	e	M	45	o	conflict		new code
10	r	H	3	o	conflict	a	conflict
11	c	M	7	p	conflict		new code
12	e	M	34	p	conflict		new code
13	a	M	10	p	conflict		new code
14	a	M	9	p	conflict		new code
15	e	M	10	p	conflict	y	conflict
16	n	M	8	q	conflict		new code
17	r	M	4	q	conflict		new code
18	e	M	2	q	conflict		new code
19	e	M	6	q	conflict		new code
20	c	M	6	q	conflict		new code
21	s	M	15	r	conflict	l	conflict
22	r	M	55	r	agree	u	conflict
23	d	M	24	r	conflict	NULL	conflict
24	t	M	22	r	conflict	e	conflict
25	e	M	25	r	conflict	c	conflict
26	t	M	31	s	conflict	i	conflict
27	e	M	63	s	conflict	r	conflict
28	e	M	51	s	conflict	NULL	conflict
29	r	M	44	s	conflict	t	conflict
30	e	M	51	s	conflict	i	conflict
31	i	M	22	t	conflict		new code
32	e	M	59	t	conflict	u	conflict
33	e	M	16	t	conflict		new code
34	i	M	35	t	conflict	s	conflict
35	s	M	20	t	conflict	t	conflict
36	e	M	15	u	conflict		new code
37	s	M	45	u	conflict	s	agree
38	u	M	23	u	agree	e	conflict
39	u	M	32	u	agree	a	conflict
40	s	M	15	u	conflict		new code
41	a	M	5	v	conflict	q	conflict
42	e	M	11	v	conflict	t	conflict
43	e	M	2	v	conflict		new code
44	t	M	1	v	conflict		new code
45	i	M	1	v	conflict		new code
46	n	M	1	x	conflict	o	conflict
47	e	M	11	x	conflict	p	conflict
48	m	M	1	x	conflict	e	conflict
49	e	M	5	x	conflict	NULL	conflict
50	s	M	14	x	conflict	p	conflict
51	t	M	6	y	conflict		new code
52	d	M	18	y	conflict	i	conflict
53	e	M	13	y	conflict	r	conflict
54	e	M	17	y	conflict	n	conflict
55	e	M	14	y	conflict	o	conflict
56	u	M	5	z	conflict	o	conflict
57	i	M	8	z	conflict	i	agree
58	m	M	6	z	conflict	n	conflict
59	e	M	26	z	conflict	NULL	conflict
60	e	M	7	z	conflict	NULL	conflict
61	e	M	16	a	conflict	e	agree
62	e	M	40	a	conflict	m	conflict
63	e	M	17	a	conflict		new code
64	e	M	13	a	conflict	s	conflict
65	t	M	6	a	conflict	m	conflict
66	n	M	4	b	conflict	l	conflict
67	e	M	13	b	conflict	t	conflict
68	e	M	5	b	conflict		new code
69	e	M	12	b	conflict	p	conflict
