line	position	sign	confidence
04614_p3_L01_a	1	w:et	H
04614_p3_L01_a	2	w:mre	L
04614_p3_L01_a	3	w:amoi	L
04614_p3_L01_a	4	w:accurection	L
04614_p3_L01_a	5	w:toutefois	H
04614_p3_L01_a	6	w:que	H
04614_p3_L01_a	7	40	H
04614_p3_L01_a	8	10	H
04614_p3_L01_a	9	36	H
04614_p3_L01_a	10	27	H
04614_p3_L01_a	11	12	H
04614_p3_L01_a	12	9	H
04614_p3_L01_a	13	38	H
04614_p3_L01_a	14	111	H
04614_p3_L01_b	1	21	H
04614_p3_L01_b	2	101	H
04614_p3_L01_b	3	82	H
04614_p3_L01_b	4	86	H
04614_p3_L01_b	5	62	H
04614_p3_L01_b	6	102	H
04614_p3_L01_b	7	21	H
04614_p3_L01_b	8	82	H
04614_p3_L01_b	9	112	H
04614_p3_L01_b	10	83	H
04614_p3_L01_b	11	13	H
04614_p3_L01_b	12	21	H
04614_p3_L01_b	13	87	L
04614_p3_L01_b	14	14	H
04614_p3_L01_b	15	62	L
04614_p3_L01_b	16	22	H
04614_p3_L01_b	17	62	H
04614_p3_L01_b	18	31	H
04614_p3_L01_b	19	107	H
04614_p3_L01_b	20	87	H
04614_p3_L01_c	1	26	H
04614_p3_L01_c	2	40	H
04614_p3_L01_c	3	25	H
04614_p3_L01_c	4	217	H
04614_p3_L01_c	5	81	H
04614_p3_L01_c	6	32	H
04614_p3_L01_c	7	270	H
04614_p3_L01_c	8	w:pour	H
04614_p3_L01_c	9	w:ce	H
04614_p3_L01_c	10	w:que	H
04614_p3_L01_c	11	w:le	H
04614_p3_L01_c	12	77	H
04614_p3_L01_c	13	36	H
04614_p3_L01_c	14	82	H
04614_p3_L01_c	15	56	H
04614_p3_L01_c	16	112	H
04614_p3_L01_c	17	101	H
04614_p3_L01_c	18	81	H
04614_p3_L01_c	19	37	H
04614_p3_L01_c	20	56	H
04614_p3_L01_d	1	27	H
04614_p3_L01_d	2	8	H
04614_p3_L01_d	3	2	H
04614_p3_L01_d	4	33	H
04614_p3_L01_d	5	11	H
04614_p3_L01_d	6	21	H
04614_p3_L01_d	7	6	H
04614_p3_L01_d	8	12	H
04614_p3_L01_d	9	22	H
04614_p3_L01_d	10	82	H
04614_p3_L01_d	11	13	H
04614_p3_L01_d	12	7	H
04614_p3_L01_d	13	38	H
04614_p3_L01_d	14	24	L
04614_p3_L01_d	15	112	L
04614_p3_L02_a	1	30	H
04614_p3_L02_a	2	36	L
04614_p3_L02_a	3	21	H
04614_p3_L02_a	4	81	H
04614_p3_L02_a	5	121	H
04614_p3_L02_a	6	85	H
04614_p3_L02_a	7	5	H
04614_p3_L02_a	8	79	H
04614_p3_L02_a	9	24	H
04614_p3_L02_a	10	8	H
04614_p3_L02_a	11	104	H
04614_p3_L02_a	12	72	H
04614_p3_L02_a	13	31	H
04614_p3_L02_a	14	75	H
04614_p3_L02_a	15	61	H
04614_p3_L02_a	16	22	H
04614_p3_L02_a	17	102	H
04614_p3_L02_a	18	82	H
04614_p3_L02_a	19	83	H
04614_p3_L02_a	20	26	H
04614_p3_L02_a	21	32	H
04614_p3_L02_b	1	105	H
04614_p3_L02_b	2	117	H
04614_p3_L02_b	3	84	H
04614_p3_L02_b	4	16	H
04614_p3_L02_b	5	40	H
04614_p3_L02_b	6	85	H
04614_p3_L02_b	7	74	H
04614_p3_L02_b	8	81	H
04614_p3_L02_b	9	36	L
04614_p3_L02_b	10	111	H
04614_p3_L02_b	11	57	H
04614_p3_L02_b	12	19	H
04614_p3_L02_b	13	37	H
04614_p3_L02_b	14	102	H
04614_p3_L02_b	15	28	H
04614_p3_L02_b	16	9	H
04614_p3_L02_b	17	2	H
04614_p3_L02_b	18	31	H
04614_p3_L02_b	19	61	H
04614_p3_L02_b	20	270	H
04614_p3_L02_b	21	121	H
04614_p3_L02_c	1	14	H
04614_p3_L02_c	2	10	H
04614_p3_L02_c	3	40	H
04614_p3_L02_c	4	112	H
04614_p3_L02_c	5	21	H
04614_p3_L02_c	6	9	H
04614_p3_L02_c	7	3	H
04614_p3_L02_c	8	31	H
04614_p3_L02_c	9	105	H
04614_p3_L02_c	10	6	L
04614_p3_L02_c	11	104	H
04614_p3_L02_c	12	7	H
04614_p3_L02_c	13	77	H
04614_p3_L02_c	14	21	H
04614_p3_L02_c	15	82	H
04614_p3_L02_c	16	71	H
04614_p3_L02_c	17	81	H
04614_p3_L02_c	18	37	H
04614_p3_L02_c	19	111	H
04614_p3_L02_c	20	58	H
04614_p3_L02_c	21	77	H
04614_p3_L02_c	22	81	H
04614_p3_L02_c	23	217	H
04614_p3_L02_d	1	31	H
04614_p3_L02_d	2	6	H
04614_p3_L02_d	3	36	L
04614_p3_L02_d	4	102	H
04614_p3_L02_d	5	7	H
04614_p3_L02_d	6	38	H
04614_p3_L02_d	7	21	H
04614_p3_L02_d	8	81	H
04614_p3_L02_d	9	2	H
04614_p3_L02_d	10	40	H
04614_p3_L02_d	11	1	H
04614_p3_L02_d	12	104	L
04614_p3_L03_a	1	1	H
04614_p3_L03_a	2	7	H
04614_p3_L03_a	3	37	H
04614_p3_L03_a	4	26	H
04614_p3_L03_a	5	13	H
04614_p3_L03_a	6	61	H
04614_p3_L03_a	7	26	H
04614_p3_L03_a	8	29	H
04614_p3_L03_a	9	8	H
04614_p3_L03_a	10	2	H
04614_p3_L03_a	11	29	H
04614_p3_L03_a	12	122	H
04614_p3_L03_a	13	61	H
04614_p3_L03_a	14	117	H
04614_p3_L03_a	15	82	H
04614_p3_L03_a	16	36	L
04614_p3_L03_a	17	27	H
04614_p3_L03_a	18	83	H
04614_p3_L03_a	19	104	H
04614_p3_L03_a	20	72	H
04614_p3_L03_a	21	105	H
04614_p3_L03_b	1	81	H
04614_p3_L03_b	2	2	H
04614_p3_L03_b	3	95	H
04614_p3_L03_b	4	61	H
04614_p3_L03_b	5	40	H
04614_p3_L03_b	6	113	H
04614_p3_L03_b	7	32	H
04614_p3_L03_b	8	w:nous	H
04614_p3_L03_b	9	w:avions	L
04614_p3_L03_b	10	77	H
04614_p3_L03_b	11	101	H
04614_p3_L03_b	12	26	H
04614_p3_L03_b	13	71	H
04614_p3_L03_b	14	40	H
