value	meaning	n	agree	others
1	n	23	23	
2	n	69	66	o:1,t:1,u:1
3	n	26	24	e:1,v:1
4	n	21	18	u:2,s:1
5	n	20	17	x:2,z:1
6	o	42	40	s:1,t:1
7	o	33	29	n:3,s:1
8	o	20	17	n:2,a:1
9	o	33	28	n:2,g:1,f:1,u:1
10	o	39	38	n:1
11	p	3	3	
12	p	26	26	
13	p	18	16	e:1,i:1
14	p	9	9	
15	p	6	6	
16	q	12	12	
17	q	9	9	
18	q	7	5	e:1,z:1
19	q	5	5	
20	q	9	4	m:1,o:1,r:1,s:1,u:1
21	r	93	87	c:2,e:1,l:1,n:1,w:1
22	r	36	35	s:1
23	r	16	16	
24	r	17	16	s:1
25	r	19	17	c:1,s:1
26	s	61	53	z:5,c:1,t:1,x:1
27	s	43	35	r:2,t:2,z:2,c:1,l:1
28	s	28	23	z:2,q:1,r:1,x:1
29	s	23	19	z:3,r:1
30	s	26	23	l:2,a:1
31	t	73	70	n:1,o:1,u:1
32	t	33	31	e:2
33	t	21	20	e:1
34	t	10	8	a:1,s:1
35	t	9	8	u:1
36	u	51	49	n:2
37	u	35	32	b:1,n:1,t:1
38	u	20	19	s:1
39	u	26	22	t:3,a:1
40	u	83	79	a:2,o:1,s:1
41	a	1	1	
42	x	1	1	
46	x	2	2	
51	y	3	2	i:1
52	y	6	3	i:2,s:1
53	y	1	1	
56	z	6	4	x:2
57	x	2	2	
58	x	1	1	
60	z	3	2	s:1
61	a	77	73	n:2,c:1,o:1
62	a	37	34	e:2,n:1
63	a	22	20	e:2
64	a	16	12	e:2,o:2
65	a	19	18	e:1
66	b	5	5	
67	b	7	6	d:1
68	b	1	1	
69	b	2	2	
70	b	6	3	u:3
71	c	26	24	s:2
72	c	29	24	s:3,n:1,r:1
73	c	8	8	
74	c	5	5	
75	c	6	4	d:1,s:1
76	d	22	18	m:1,n:1,s:1,u:1
77	d	34	32	a:1,q:1
78	d	12	12	
79	d	8	8	
80	d	8	4	e:2,l:1,f:1
81	e	109	104	u:2,a:1,l:1,o:1
82	e	105	100	o:2,a:1,i:1,f:1
83	e	41	41	
84	e	44	44	
85	e	45	42	a:1,l:1,f:1
86	f	11	11	
87	e	10	4	f:3,t:2,d:1
88	f	5	4	t:1
89	s	1	1	
90	f	8	6	l:1,n:1
91	g	14	11	e:1,r:1,s:1
92	g	4	2	e:1,q:1
93	g	1	1	
94	g	4	3	e:1
95	h	4	3	f:1
96	h	13	7	r:5,g:1
97	h	4	4	
98	h	2	2	
100	g	2	1	h:1
101	i	41	33	y:4,j:2,a:1,e:1
102	i	48	37	y:7,j:3,u:1
103	i	17	13	j:2,l:1,y:1
104	i	18	14	y:3,j:1
105	i	18	14	y:3,j:1
107	i	4	3	m:1
111	l	41	40	r:1
112	l	39	37	r:2
113	l	16	14	o:1,r:1
114	l	13	12	m:1
115	l	12	12	
116	m	7	6	q:1
117	m	12	12	
118	m	11	10	l:1
119	m	4	4	
120	m	18	18	
121	ommel	1	1	
122	l	2	2	
123	l	1	1	
126	f	1	1	
127	gm	3	1	m:1,tenirpourvous:1
129	m	1	1	
131	debverions	2	1	e:1
132	aires	2	1	z:1
138	vantaigedevoza	1	1	
172	lecontejean	1	1	
177	m	1	1	
217	ertruydenbergh	3	1	srgeertruyd:1,srgeertruydenb:1
221	hollan	2	1	hollande:1
241	zeelande	1	1	
270	b	2	1	berghetbommel:1
272	nyeumeghen	1	1	
289	rancfort	1	1	
337	reystres	1	1	
815	s	1	1	
