line	col	A	B	flagged	crop
07205_p4_L01	1	51	-	A	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	26	40	-	A	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	31	-	1	B	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	54	10	-	A	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	55	w:de	w:et	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	60	w:pley	w:publicque	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	61	w:at	w:et	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	62	w:aulcun	w:au	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	63	129	127	B	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	66	9	-	A	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	67	82	84	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	69	10	-	A	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	70	37	103	B	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	76	2	-	A	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	77	9	-	A	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	78	11	41	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	83	182	112	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	87	30	35	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	92	103	113	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L01	93	8	84	AB	images_wv2/crops_comp/07205_p4_L01.jpg
07205_p4_L02	5	119	115	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	8	18	15	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	12	15	-	A	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	13	9	115	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	18	99	9	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	26	1	-	A	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	28	37	33	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	34	9	-	A	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	46	103	113	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	47	18	15	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	52	5	-	A	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	53	8	-	A	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	57	89	85	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	58	9	91	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	59	105	85	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	64	129	127	B	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	65	w:de	w:et	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	68	w:tourt	w:tout	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	71	1	-	A	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	72	132	133	B	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	73	210	129	AB	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	93	2	-		images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L02	94	82	27	B	images_wv2/crops_comp/07205_p4_L02.jpg
07205_p4_L03	6	9	85	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	13	92	2	B	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	20	9	4	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	28	8	-	A	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	29	30	83	B	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	34	85	-	A	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	52	85	81	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	56	w:bient	w:vient	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	60	w:longueur	w:longue	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	63	w:auoir	w:avoir	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	65	4	-	A	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	71	-	8	B	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	72	87	27	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	74	109	10	AB	images_wv2/crops_comp/07205_p4_L03.jpg
07205_p4_L03	80	94	84	AB	images_wv2/crops_comp/07205_p4_L03.jpg
