line	signs_A	signs_B	agree	columns	share
04614_p2_L01_a	24	24	22	24	0.917
04614_p2_L01_b	23	23	21	24	0.875
04614_p2_L01_c	26	26	26	26	1.000
04614_p2_L01_d	24	24	23	24	0.958
04614_p2_L02_a	24	24	24	24	1.000
04614_p2_L02_b	25	25	24	25	0.960
04614_p2_L02_c	24	24	23	24	0.958
04614_p2_L02_d	24	24	22	24	0.917
04614_p2_L03_a	25	23	19	25	0.760
04614_p2_L03_b	24	24	24	24	1.000
04614_p2_L03_c	22	23	22	23	0.957
04614_p2_L03_d	22	22	21	22	0.955
04614_p2_L04_a	24	24	24	24	1.000
04614_p2_L04_b	24	24	22	24	0.917
04614_p2_L04_c	24	24	23	24	0.958
04614_p2_L04_d	23	23	22	23	0.957
04614_p2_L05_a	23	23	22	23	0.957
04614_p2_L05_b	23	23	22	23	0.957
04614_p2_L05_c	22	22	21	22	0.955
04614_p2_L05_d	23	22	22	23	0.957
04614_p2_L06_a	25	25	24	25	0.960
04614_p2_L06_b	19	19	17	19	0.895
04614_p2_L06_c	24	24	21	24	0.875
04614_p2_L06_d	27	29	26	29	0.897
04614_p2_L07_a	25	25	23	25	0.920
04614_p2_L07_b	23	24	23	24	0.958
04614_p2_L07_c	25	25	24	25	0.960
04614_p2_L07_d	25	25	23	25	0.920
04614_p2_L08_a	20	20	18	20	0.900
04614_p2_L08_b	25	25	24	25	0.960
04614_p2_L08_c	22	22	22	22	1.000
04614_p2_L08_d	17	17	16	17	0.941
04614_p2_L09_a	23	23	22	23	0.957
04614_p2_L09_b	23	23	22	23	0.957
04614_p2_L09_c	22	22	21	22	0.955
04614_p2_L09_d	20	20	19	20	0.950
04614_p2_L10_a	22	22	22	22	1.000
04614_p2_L10_b	21	21	21	21	1.000
04614_p2_L10_c	21	21	21	21	1.000
04614_p2_L11_a	24	24	21	25	0.840
04614_p2_L11_b	22	22	21	22	0.955
04614_p2_L10_d	0	19	0	19	0.000
