line	col	A	B	flagged	crop
04614_p3_L01_a	1	21	-		
04614_p3_L01_a	2	101	-		
04614_p3_L01_a	3	82	-		
04614_p3_L01_a	4	86	-		
04614_p3_L01_a	5	62	-		
04614_p3_L01_a	6	102	-		
04614_p3_L01_a	7	21	w:et		
04614_p3_L01_a	8	82	w:mre	B	
04614_p3_L01_a	9	112	w:amoi	B	
04614_p3_L01_a	10	83	w:accurection	B	
04614_p3_L01_a	11	13	w:toutefois		
04614_p3_L01_a	12	21	w:que		
04614_p3_L01_a	13	84	40		
04614_p3_L01_a	14	14	10		
04614_p3_L01_a	15	61	36		
04614_p3_L01_a	16	22	27		
04614_p3_L01_a	17	62	12		
04614_p3_L01_a	18	31	9		
04614_p3_L01_a	19	107	38		
04614_p3_L01_a	20	87	111		
04614_p3_L01_b	1	26	21		
04614_p3_L01_b	2	40	101		
04614_p3_L01_b	3	25	82		
04614_p3_L01_b	4	217	86	A	
04614_p3_L01_b	5	81	62		
04614_p3_L01_b	6	72	102		
04614_p3_L01_b	7	270	21		
04614_p3_L01_b	8	w:pour	82		
04614_p3_L01_b	9	w:ce	112		
04614_p3_L01_b	10	w:que	83		
04614_p3_L01_b	11	w:le	13		
04614_p3_L01_b	12	77	21		
04614_p3_L01_b	13	36	87	B	
04614_p3_L01_b	14	82	14		
04614_p3_L01_b	15	56	62	B	
04614_p3_L01_b	16	112	22		
04614_p3_L01_b	17	101	62		
04614_p3_L01_b	18	81	31		
04614_p3_L01_b	19	37	107		
04614_p3_L01_b	20	56	87		
04614_p3_L01_c	1	-	26		
04614_p3_L01_c	2	-	40		
04614_p3_L01_c	3	-	25		
04614_p3_L01_c	4	-	217		
04614_p3_L01_c	5	27	81		
04614_p3_L01_c	6	8	32		
04614_p3_L01_c	7	2	270		
04614_p3_L01_c	8	33	w:pour		
04614_p3_L01_c	9	11	w:ce		
04614_p3_L01_c	10	21	w:que		
04614_p3_L01_c	11	6	w:le		
04614_p3_L01_c	12	12	77		
04614_p3_L01_c	13	22	36		
04614_p3_L01_c	15	-	56		
04614_p3_L01_c	16	13	112		
04614_p3_L01_c	17	7	101		
04614_p3_L01_c	18	38	81		
04614_p3_L01_c	19	24	37		
04614_p3_L01_c	20	112	56		
04614_p3_L01_d	1	-	27		
04614_p3_L01_d	2	-	8		
04614_p3_L01_d	3	-	2		
04614_p3_L01_d	4	-	33		
04614_p3_L01_d	5	39	11	A	
04614_p3_L01_d	6	3	21	A	
04614_p3_L01_d	8	-	12		
04614_p3_L01_d	9	-	22		
04614_p3_L01_d	10	-	82		
04614_p3_L01_d	11	-	13		
04614_p3_L01_d	12	40	7	A	
04614_p3_L01_d	13	112	38	A	
04614_p3_L01_d	14	61	24	AB	
04614_p3_L01_d	15	36	112	AB	
04614_p3_L02_a	2	31	36	B	
04614_p3_L02_a	19	93	83		
04614_p3_L02_b	2	177	117		
04614_p3_L02_d	13	6	-	A	
04614_p3_L02_d	14	37	-	A	
04614_p3_L02_d	15	22	-	A	
04614_p3_L02_d	16	w:et	-		
04614_p3_L02_d	17	w:ainsi	-		
04614_p3_L02_d	18	w:au	-		
04614_p3_L02_d	19	w:contraire	-		
04614_p3_L02_d	20	w:pour	-	A	
04614_p3_L03_a	3	31	37		
04614_p3_L03_a	8	28	29		
04614_p3_L03_b	9	w:avons	w:avions	AB	
04614_p3_L03_c	1	76	70	A	
04614_p3_L03_c	5	82	32		
04614_p3_L03_d	8	91	-	A	
04614_p3_L03_d	9	80	-	A	
04614_p3_L04_a	21	-	81		
04614_p3_L04_a	22	815	5	AB	
04614_p3_L04_b	1	75	76		
04614_p3_L04_b	14	84	87		
04614_p3_L04_c	8	91	92	B	
04614_p3_L04_c	13	61	62		
04614_p3_L04_c	22	42	47		
04614_p3_L04_d	10	61	-		
04614_p3_L04_d	11	77	-	A	
04614_p3_L04_d	12	81	-	A	
04614_p3_L04_d	13	22	-	A	
04614_p3_L04_d	14	9	-	A	
04614_p3_L04_d	15	101	-	A	
04614_p3_L04_d	16	32	-	A	
04614_p3_L04_d	17	2	-	A	
04614_p3_L04_d	18	5	-	A	
04614_p3_L04_d	19	26	-	A	
04614_p3_L04_d	20	32	-	A	
04614_p3_L04_d	21	21	62	A	
04614_p3_L04_d	22	81	3	AB	
04614_p3_L05_a	5	52	92	B	
04614_p3_L05_a	13	122	121		
04614_p3_L06_c	9	123	113	B	
04614_p3_L06_d	8	95	85		
04614_p3_L07_a	1	3	-		
04614_p3_L07_a	2	13	313	B	
04614_p3_L07_b	16	27	24		
04614_p3_L07_c	2	36	30		
04614_p3_L07_c	10	26	20		
04614_p3_L07_c	14	82	84		
04614_p3_L07_d	3	81	91	B	
04614_p3_L07_d	14	25	26		
04614_p3_L07_d	23	71	76	B	
04614_p3_L07_d	24	31	34	B	
04614_p3_L08_c	15	26	28		
04614_p3_L08_d	3	73	72		
04614_p3_L08_d	17	31	21		
04614_p3_L08_d	19	w:ces	-	A	
04614_p3_L09_b	8	81	91	B	
04614_p3_L09_b	9	25	26		
04614_p3_L09_d	8	w:bien	-		
04614_p3_L09_d	9	w:tost	-		
04614_p3_L09_d	10	w:de	-		
04614_p3_L09_d	11	w:vous	-		
04614_p3_L09_d	12	w:nouvelles	-		
04614_p3_L10_a	3	w:feroit	-	A	
04614_p3_L10_a	4	w:sa	w:feray	B	
04614_p3_L10_a	7	w:le	-		
04614_p3_L10_a	8	w:tout	-		
04614_p3_L10_a	9	w:puissant	-		
04614_p3_L10_a	10	w:de	-		
04614_p3_L10_a	11	w:vous	-		
04614_p3_L10_a	12	w:donner	-		
04614_p3_L10_b	2	w:Lasainte	-	A	
04614_p3_L10_b	3	w:est	-		
04614_p3_L10_b	4	w:bon	-		
04614_p3_L10_b	5	w:vieux	-		
04614_p3_L10_b	6	w:Longis	-	A	
04614_p3_L10_b	7	w:se	-		
04614_p3_L10_b	8	w:fait	-		
04614_p3_L10_b	9	w:au	-		
