letter	line	pos	sign	tested_value	emitted	print_at	hit	ctx_left	ctx_right
5810	05810_p1_L12	1	127	m	m	-	0	approchera	laprimeuer
5810	05810_p1_L16	6	127	m	m	-	0	rarienpour	ayantleloy
5810	05810_p1_L20	10	127	m	m	s	0	oytencoire	destituezd
5810	05810_p1_L22	20	127	m	m	-	0	rtchargees	queselonap
5810	05810_p1_L37	18	127	m	m	-	0	nelongueet	uaineatten
5810	05810_p1_L40	18	127	m	m	m	1	lledeharle	laquelleap
5810	05810_p1_L41	11	127	m	m	-	0	uelleapres	sestresiua
5810	05810_p1_L41	18	127	m	m	-	0	pressestre	siuaillamm
5810	05810_p2_L04	2	127	m	m	-	0	teserendre	alamercyde
5810	05810_p2_L06	10	127	m	m	-	0	umainement	quelasouue
5810	05810_p2_L11	7	127	m	m	-	0	pourroyent	tomberentr
5810	05810_p2_L19	2	127	m	m	-	0	ulcunement	medeffierd
5810	05810_p2_L20	12	127	m	m	-	0	diligences	ayantcydeu
5810	05810_p2_L28	12	127	m	m	-	0	ousapporte	desdommaig
5810	05810_p3_L06	2	127	m	m	e	0	ostrelettr	puisqueien
5810	05810_p3_L08	1	127	m	m	z	0	lutiondeuo	affairesbi
5810	05810_p3_L15	20	127	m	m	-	0	oneffectet	telquilnou
5810	05810_p5_L11	3	127	m	m	-	0	approchera	laprimeuer
5810	05810_p5_L15	2	127	m	m	-	0	rarienpour	ayantleloy
5810	05810_p5_L18	19	127	m	m	-	0	ytencoires	destituezd
5810	05810_p5_L21	9	127	m	m	-	0	rtchargees	queselonap
5810	05810_p5_L35	19	127	m	m	-	0	nelongueet	uaineatten
5810	05810_p5_L38	23	127	m	m	m	1	lledeharle	laquelleap
5810	05810_p5_L39	16	127	m	m	-	0	uelleapres	sestresiua
5810	05810_p6_L01	1	127	m	m	e	0	apressestr	siuaillamm
5810	05810_p6_L05	12	127	m	m	-	0	teserendre	alamercyde
5810	05810_p6_L08	6	127	m	m	-	0	umainement	quelasouue
5810	05810_p6_L13	11	127	m	m	-	0	pourroyent	tomberentr
5810	05810_p6_L21	9	127	m	m	-	0	ulcunement	medeffierd
5810	05810_p6_L22	22	127	m	m	-	0	diligences	ayantcydeu
5810	05810_p6_L29	1	127	m	m	-	0	ousapporte	desdommaig
5810	05810_p7_L12	3	127	m	m	e	0	ostrelettr	puisqueien
5810	05810_p7_L14	22	127	m	m	-	0	utiondeuoz	affairesbi
5810	05810_p7_L22	13	127	m	m	-	0	oneffectet	telquilnou
5811	05811_p1_L04	3	127	m	m	-	0	streduuiie	parlaquell
5811	05811_p1_L16	19	127	m	m	-	0	ilzayentau	plustostas
5811	05811_p1_L18	16	127	m	m	p	0	ronsdetiel	ourestreen
5811	05811_p5_L03	12	127	m	m	r	0	reduuiiepa	laquelleia
5811	05811_p5_L13	19	127	m	m	-	0	ilzayentau	plustostas
4503	04503_p1_L05	4	127	m	m	r	0	duuiiesita	dpourestre
4503	04503_p1_L15	16	127	m	m	-	0	quelquebon	nombredeba
4503	04503_p1_L19	2	127	m	m	-	0	auplustost	ouuousauez
5810	05810_p1_L12	13	129	m	m	-	0	aprimeuere	etquedespr
5810	05810_p1_L15	2	129	m	m	-	0	entdoubter	ainsnousas
5810	05810_p1_L35	22	129	m	m	-	0	seaffinque	nouspuissi
5810	05810_p2_L04	6	129	m	m	a	0	serendreal	mercydesen
5810	05810_p2_L05	1	129	m	m	-	0	desennemys	quilonttra
5810	05810_p2_L08	20	129	m	m	-	0	raictement	lennemyfer
5810	05810_p2_L23	5	129	m	m	-	0	eplusieurs	moyensdesq
5810	05810_p2_L36	9	129	m	m	-	0	esparsesde	touscostez
5810	05810_p2_L38	11	129	m	m	-	0	uisseauoir	absolutere
5810	05810_p2_L41	9	129	m	m	e	0	rsesuoiesd	puiscequed
5810	05810_p3_L08	10	129	m	m	-	0	ozaffaires	bienquesui
5810	05810_p3_L10	22	129	m	m	a	0	tionpardel	quescaueze
5810	05810_p5_L11	15	129	m	m	-	0	aprimeuere	etquedespr
