letter	page	unit	line	pos	code	absorbed	left_anchor	right_anchor	ctx_left	ctx_right
5810	p1	14	05810_p1_L09	4	140		6	2	trepartcomme	letempsetlas
5810	p1	15	05810_p1_L09	5	141		5	3	trepartcomme	letempsetlas
5810	p1	16	05810_p1_L09	6	126		4	4	trepartcomme	letempsetlas
5810	p1	17	05810_p1_L09	7	122		3	5	trepartcomme	letempsetlas
5810	p1	20	05810_p1_L09	10	121		2	6	epartcommele	tempsetlasai
5810	p1	44	05810_p1_L10	19	132		4	5	aisondeliuer	saduancebien
5810	p1	63	05810_p1_L11	14	124		6	5	cebienfortet	petitapetits
5810	p1	64	05810_p1_L11	15	130		5	6	cebienfortet	petitapetits
5810	p1	87	05810_p1_L11	20	130		6	2	tsapprochera	laprimeueree
5810	p1	88	05810_p1_L12	1	127		5	3	tsapprochera	laprimeueree
5810	p1	100	05810_p1_L12	13	129		6	5	alaprimeuere	etquedesprac
5810	p1	101	05810_p1_L12	14	149		5	6	alaprimeuere	etquedesprac
5810	p1	110	05810_p1_L13	1	124		6	3	uereetquedes	practiqueset
5810	p1	122	05810_p1_L13	13	130		4	5	espractiques	etsecretesme
5810	p1	148	05810_p1_L14	15	134		5	4	eesdelennemi	nedebuonsaul
5810	p1	176	05810_p1_L15	2	129		6	5	ementdoubter	ainsnousasse
5810	p1	197	05810_p1_L16	2	132		6	3	asseurerquil	nobmectrarie
5810	p1	215	05810_p1_L16	6	127		4	4	ctrarienpour	ayantleloysi
5810	p1	229	05810_p1_L17	1	132		6	6	yantleloysir	semectreenno
5810	p1	238	05810_p1_L17	10	142		5	6	ysirsemectre	ennouuelequi
5810	p1	257	05810_p1_L18	7	131		5	5	elequippaige	pournousdonn
5810	p1	271	05810_p1_L18	11	134		6	4	urnousdonner	plusdaffaire
5810	p1	296	05810_p1_L19	16	136		4	6	quauparauant	mesmessilnou
5810	p1	323	05810_p1_L20	10	127		2	2	uoytencoires	destituezdet
5810	p1	324	05810_p1_L20	11	124		2	3	uoytencoires	destituezdet
5810	p1	325	05810_p1_L20	12	133		1	4	uoytencoires	destituezdet
5810	p1	343	05810_p1_L21	8	0	o	6	5	uezdetoutsec	ursetnozuill
5810	p1	347	05810_p1_L21	12	137		5	5	etoutsecours	etnozuillesp
5810	p1	398	05810_p1_L22	20	127		4	5	fortchargees	queselonappa
5810	p1	423	05810_p1_L24	1	141		4	4	rencehumaine	ellesnepourr
5810	p1	451	05810_p1_L25	6	121		6	5	ntlonguement	subsistersan
5810	p1	461	05810_p1_L25	16	133		5	3	entsubsister	sansquelqueb
5810	p1	462	05810_p1_L25	17	126		4	4	entsubsister	sansquelqueb
5810	p1	467	05810_p1_L25	22	144		3	5	ubsistersans	quelquebonse
5810	p1	574	05810_p1_L27	10	131		6	3	cemeueuillez	auurayettout
5810	p1	636	05810_p1_L30	8	124	a	4	3	fairespardel	etsienbrieff
5810	p1	649	05810_p1_L30	13	133	f	5	6	aetsienbrief	uousferezque
5810	p1	687	05810_p1_L31	17	128		6	5	eioinctement	quelsecoursn
5810	p1	691	05810_p1_L32	1	128	l	5	6	inctementque	secoursnousa
5810	p1	717	05810_p1_L33	3	133		5	3	onsseurement	aattendredeu
5810	p1	719	05810_p1_L33	5	122		4	4	nsseurementa	attendredeuo
5810	p1	735	05810_p1_L33	21	141		5	6	tendredeuous	etlarrestqui
5810	p1	759	05810_p1_L34	5	132		3	3	uienestprins	sansdissimul
5810	p1	788	05810_p1_L35	14	133		4	5	aucunechosea	ffinquenousp
5810	p1	796	05810_p1_L35	22	129		6	4	hoseaffinque	nouspuission
5810	p1	797	05810_p1_L35	23	131		5	5	hoseaffinque	nouspuission
5810	p1	814	05810_p1_L36	17	137		5	3	puissionsicy	regleretfair
5810	p1	851	05810_p1_L37	5	121		6	6	elapourapres	unelongueetu
5810	p1	863	05810_p1_L37	17	138		6	3	sunelongueet	uaineattente
5810	p1	864	05810_p1_L37	18	127		5	3	sunelongueet	uaineattente
5810	p1	886	05810_p1_L38	19	138		6	5	ntedesecours	netomberaume
5810	p1	897	05810_p1_L39	5	139		4	6	rsnetomberau	mesmeinconue
5810	p1	930	05810_p1_L39	11	133		5	3	uinousaduint	alendroictde
5810	p1	931	05810_p1_L39	12	121		4	4	uinousaduint	alendroictde
5810	p1	949	05810_p1_L40	15	312	uille	4	2	ictdelabonne	deharlemlaqu
5810	p1	952	05810_p1_L40	18	127	harleml	5	3	bonneuillede	aquelleapres
5810	p1	953	05810_p1_L40	19	223		4	3	lledeharleml	aquelleapres
5810	p1	954	05810_p1_L40	20	132		3	4	lledeharleml	aquelleapres
5810	p1	955	05810_p1_L40	21	173		2	5	lledeharleml	aquelleapres
5810	p1	968	05810_p1_L41	11	127		5	6	aquelleapres	sestresiuail
5810	p1	975	05810_p1_L41	18	127		6	4	eapressestre	siuaillammen
5810	p1	976	05810_p1_L41	19	242		5	5	eapressestre	siuaillammen
5810	p1	979	05810_p1_L42	1	121		4	6	pressestresi	uaillammentm
5810	p1	1019	05810_p1_L42	8	143		6	6	tantsouffert	surlespoirqu
5810	p2	28	05810_p2_L02	5	0	o	4	5	ourieluydonn	isdusecoursq
5810	p2	36	05810_p2_L02	13	0	o	6	5	donnoisdusec	ursquenousre
5810	p2	58	05810_p2_L03	8	124		6	6	srecepurions	fustalafinco
5810	p2	80	05810_p2_L03	14	134		3	5	nconstrainte	serendrealam
5810	p2	89	05810_p2_L04	2	127		6	3	inteserendre	alamercydese
5810	p2	93	05810_p2_L04	6	129		4	4	eserendreala	mercydesenne
5810	p2	94	05810_p2_L04	7	141		3	5	eserendreala	mercydesenne
5810	p2	110	05810_p2_L04	23	140		6	3	cydesennemys	quilonttraic
5810	p2	111	05810_p2_L05	1	129		5	4	cydesennemys	quilonttraic
5810	p2	142	05810_p2_L06	9	132		6	5	nhumainement	quelasouuena
5810	p2	143	05810_p2_L06	10	127		5	6	nhumainement	quelasouuena
5810	p2	235	05810_p2_L07	13	121		6	3	nsbienpenser	queltraictem
5810	p2	236	05810_p2_L08	1	130		5	4	nsbienpenser	queltraictem
5810	p2	237	05810_p2_L08	2	124		4	5	nsbienpenser	queltraictem
5810	p2	238	05810_p2_L08	3	122		3	6	nsbienpenser	queltraictem
5810	p2	254	05810_p2_L08	19	136		5	3	ltraictement	lennemyferoi
5810	p2	255	05810_p2_L08	20	129		4	4	ltraictement	lennemyferoi
5810	p2	256	05810_p2_L08	21	134		3	5	ltraictement	lennemyferoi
5810	p2	311	05810_p2_L11	7	127		5	5	rspourroyent	tomberentres
5810	p2	312	05810_p2_L11	8	131		5	6	rspourroyent	tomberentres
5810	p2	342	05810_p2_L11	16	137		6	4	nspuisqueluy	depuislarend
