letter	page	unit	line	pos	code	absorbed	left_anchor	right_anchor	ctx_left	ctx_right
sib	4613	129	4613_L04	21	136	uing	6	4	lafinaccorde	tdemymoisaue
sib	4613	275	4613_L11	5	312	uilledetillemontlaultr	5	5	lachargedela	edemiddelbue
sib	4613	276	4613_L11	6	218	edemiddelbuerch	4	6	lemontlaultr	pourenscauoi
sib	4613	480	4613_L18	14	123	l	6	5	nouuellesqui	zserontbient
sib	4613	526	4613_L20	17	339	i	1	2	yaharquebouz	ersetcheuaul
sib	4613	538	4613_L21	7	338	cheuaulxlegiers	3	6	uebouzierset	nousesperons
sib	4613	629	4613_L24	19	312	uilledemaestricht	5	5	sdaupresdela	acausequeles
sib	4613	630	4613_L24	20	273		4	6	demaestricht	acausequeles
sib	4613	653	4613_L25	21	347	uiures	6	6	fourraigeset	nousontcomme
sib	4613	718	4613_L28	15	128	im	4	6	ourdetritthe	etcartillaaf
sib	4613	726	4613_L29	2	123	llaafrancquemon	6	5	theimetcarti	tetlaaupresn
sib	4615	37	4615_L01	7	121		6	5	erenousauons	traicteauecq
sib	4615	38	4615_L01	8	132		5	6	erenousauons	traicteauecq
sib	4615	45	4615_L01	15	121		6	5	auonstraicte	auecqnozreys
sib	4615	54	4615_L02	9	337	eystres	3	4	cteauecqnozr	maisieuousdi
sib	4615	55	4615_L02	10	121		3	5	qnozreystres	maisieuousdi
sib	4615	56	4615_L02	11	141		2	5	qnozreystres	maisieuousdi
sib	4615	134	4615_L05	21	121		6	4	lededemourer	pluslongtemp
sib	4615	135	4615_L05	22	132		5	5	lededemourer	pluslongtemp
sib	4615	278	4615_L11	24	121		6	6	nostrechemyn	entregraueet
sib	4615	291	4615_L12	13	272	nyeumegen	5	6	entregraueet	toutdroictue
sib	4615	302	4615_L12	24	122		6	4	entoutdroict	uersbommelpo
sib	4615	307	4615_L13	5	270	bommel	5	4	utdroictuers	pourautantie
sib	4615	308	4615_L13	6	121		4	5	ctuersbommel	pourautantie
sib	4615	309	4615_L13	7	132		4	6	ctuersbommel	pourautantie
sib	4615	343	4615_L13	16	123		6	5	iedeyaduiser	pournoustend
sib	4615	344	4615_L13	17	132		5	6	iedeyaduiser	pournoustend
sib	4615	365	4615_L14	21	132		6	6	tendrelamain	affinquenous
sib	4615	430	4615_L17	19	121		6	6	sdonnegrande	esperanceque
sib	4615	474	4615_L19	14	326	rtillerie	4	6	roispiecesda	queenpassant
sib	4615	507	4615_L21	1	121	rnyeumegen	6	3	rionsemporte	pourbutsiuou
sib	4615	508	4615_L21	2	272		5	4	ternyeumegen	pourbutsiuou
sib	4615	549	4615_L22	21	122		6	4	hosefaisable	uousuouspour
sib	4615	550	4615_L22	22	121		5	5	hosefaisable	uousuouspour
sib	4615	599	4615_L24	21	121		4	6	setdeuozgens	dedelanousau
