code	value	grade	occurrences	agree	empty	others
1	n	H	18	17	1	
2	n	H	47	39	5	o:1,t:1,u:1
3	n	H	17	16	0	e:1
4	n	H	15	10	2	u:2,s:1
5	n	H	16	14	0	x:1,z:1
6	o	H	30	26	2	s:1,t:1
7	o	H	17	15	0	n:1,s:1
8	o	H	17	13	1	n:2,a:1
9	o	H	26	21	0	n:2,g:1,f:1,u:1
10	o	H	31	29	1	n:1
11	p	H	3	2	1	
12	p	H	18	17	0	s:1
13	p	H	10	9	0	i:1
14	p	H	6	6	0	
15	p	H	5	5	0	
16	q	H	9	9	0	
17	q	H	6	6	0	
18	q	M	4	2	0	e:1,z:1
19	q	H	2	2	0	
20	q	M	8	4	0	m:1,r:1,s:1,u:1
21	r	H	52	47	1	c:2,l:1,n:1
22	r	H	27	25	2	
23	r	H	18	16	2	
24	r	H	18	14	3	s:1
25	r	H	15	14	0	e:1
26	s	H	44	34	4	z:3,c:1,t:1,x:1
27	s	H	32	25	0	c:2,t:2,l:1,r:1,z:1
28	s	H	24	18	2	z:2,q:1,r:1
29	s	H	19	14	1	z:3,r:1
30	s	H	23	20	1	a:1,l:1
31	t	H	53	49	3	n:1
32	t	H	24	22	1	e:1
33	t	H	22	19	2	e:1
34	t	H	10	8	0	a:1,s:1
35	t	H	9	8	1	
36	u	H	33	29	2	n:2
37	u	H	25	19	3	b:1,n:1,t:1
38	u	H	13	11	1	s:1
39	u	H	23	18	1	t:3,a:1
40	u	H	59	53	2	a:2,o:1,s:1
46	x	H	2	2	0	
51	y	H	2	2	0	
52	y	H	4	3	0	s:1
53	y	M	1	1	0	
56	z	H	4	4	0	
57	x	M	1	1	0	
60	z	H	2	2	0	
61	a	H	47	42	2	o:2,c:1
62	a	H	24	21	2	e:1
63	a	H	22	20	0	e:2
64	a	H	15	11	0	e:2,o:2
65	a	H	19	18	0	e:1
66	b	H	4	4	0	
67	b	H	6	4	1	d:1
68	b	M	1	1	0	
69	b	H	2	2	0	
70	u	H	5	3	0	b:2
71	c	M	17	8	6	s:3
72	c	H	18	16	0	s:2
73	c	H	6	5	1	
74	c	H	5	4	1	
75	c	H	7	5	1	s:1
76	d	H	22	17	1	m:1,n:1,s:1,u:1
77	d	H	23	20	1	a:1,q:1
78	d	H	5	5	0	
79	d	H	6	4	2	
80	d	M	7	3	0	e:2,l:1,f:1
81	e	H	77	68	5	u:2,a:1,o:1
82	e	H	77	69	3	o:2,a:1,i:1,f:1
83	e	H	33	31	2	
84	e	H	36	33	3	
85	e	H	40	31	7	l:1,f:1
86	f	H	10	9	1	
87	e	M	10	5	1	t:2,d:1,f:1
88	f	H	4	3	0	t:1
89	s	M	1	1	0	
90	f	M	8	4	2	l:1,n:1
91	g	H	11	8	0	e:1,r:1,s:1
92	g	M	4	2	0	e:1,q:1
93	g	M	1	1	0	
94	g	H	4	3	0	e:1
96	r	M	11	5	1	h:4,g:1
97	h	H	3	3	0	
98	h	H	2	2	0	
100	g	M	3	1	1	h:1
101	i	H	32	25	1	y:3,j:2,a:1
102	i	H	32	24	3	y:5
103	i	H	17	13	1	j:1,l:1,y:1
104	i	H	13	10	0	y:3
105	i	H	14	13	1	
107	i	M	2	1	0	m:1
111	l	H	35	33	2	
112	l	H	26	25	1	
113	l	H	13	12	0	o:1
114	l	H	13	12	0	m:1
115	l	H	10	9	1	
116	m	H	6	5	0	q:1
117	m	H	10	10	0	
118	m	H	12	8	3	l:1
119	m	H	2	2	0	
120	m	H	12	12	0	
121	NULL	H	3	3	3	
122	NULL	H	3	3	3	
123	NULL	M	1	1	1	
126	f	M	1	1	0	
127	gm	M	3	1	0	m:1,tenirpourvous:1
129	m	M	1	1	0	
131	NULL	H	5	3	3	debverions:2
132	aires	M	2	1	1	
138	vantaigedevoza	M	1	1	0	
142	NULL	H	2	2	2	
150	NULL	M	1	1	1	
172	lecontejean	M	1	1	0	
217	srgeertruydenb	M	1	1	0	
221	hollan	M	2	1	0	hollande:1
241	zeelande	M	1	1	0	
289	rancfort	M	1	1	0	
337	reystres	M	1	1	0	
