code	value	grade	source	note
10	a	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
15	y	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
21	l	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
22	u	M	aligned to Groen IV CDIX	matches plaintext 2x of 4
23	NULL	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
24	e	C	aligned to Groen IV CDIX	matches plaintext 2x of 3
25	c	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
26	i	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
27	r	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
28	NULL	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
29	t	M	aligned to Groen IV CDIX	matches plaintext 1x of 4
30	i	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
32	u	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
34	s	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
35	t	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
37	s	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
38	e	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
39	a	M	aligned to Groen IV CDIX	matches plaintext 1x of 4
41	q	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
42	t	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
46	o	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
47	p	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
48	e	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
49	NULL	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
50	p	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
52	i	M	aligned to Groen IV CDIX	matches plaintext 2x of 6
53	r	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
54	n	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
55	o	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
56	o	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
57	i	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
58	n	M	aligned to Groen IV CDIX	matches plaintext 3x of 6
59	NULL	C	aligned to Groen IV CDIX	matches plaintext 2x of 2
60	NULL	C	aligned to Groen IV CDIX	matches plaintext 2x of 2
61	e	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
62	m	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
64	s	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
65	m	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
66	l	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
67	t	M	aligned to Groen IV CDIX	matches plaintext 2x of 6
69	p	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
77	o	M	aligned to Groen IV CDIX	matches plaintext 1x of 7
78	r	M	aligned to Groen IV CDIX	matches plaintext 1x of 4
79	n	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
80	s	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
86	e	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
90	a	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
94	e	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
95	o	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
96	l	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
97	a	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
98	m	M	aligned to Groen IV CDIX	matches plaintext 3x of 7
99	o	M	aligned to Groen IV CDIX	matches plaintext 1x of 6
100	e	M	aligned to Groen IV CDIX	matches plaintext 1x of 4
101	n	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
102	NULL	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
103	l	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
105	c	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
107	d	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
110	c	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
116	u	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
117	l	M	aligned to Groen IV CDIX	matches plaintext 1x of 6
118	t	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
119	e	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
120	n	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
123	NULL	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
124	u	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
125	a	M	aligned to Groen IV CDIX	matches plaintext 1x of 5
126	e	M	aligned to Groen IV CDIX	matches plaintext 2x of 5
127	n	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
128	r	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
129	p	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
130	u	M	aligned to Groen IV CDIX	matches plaintext 1x of 2
132	m	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
135	a	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
137	n	M	aligned to Groen IV CDIX	matches plaintext 1x of 3
139	NULL	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
140	NULL	M	aligned to Groen IV CDIX	matches plaintext 1x of 1
