briefnr	line	idx	token	plain	block	status
4613	4613_L01	1	w:Monsieur			clear-unmatched
4613	4613_L01	2	w:depuis			clear-unmatched
4613	4613_L01	3	w:nostre			clear-unmatched
4613	4613_L01	4	w:derniere			clear-unmatched
4613	4613_L01	5	w:lettre			clear-unmatched
4613	4613_L01	6	w:par			clear-unmatched
4613	4613_L01	7	w:la			clear-unmatched
4613	4613_L01	8	w:quel			clear-unmatched
4613	4613_L01	9	w:nous			clear-unmatched
4613	4613_L01	10	w:vous			clear-unmatched
4613	4613_L01	11	w:avons			clear-unmatched
4613	4613_L01	12	w:mande?			clear-unmatched
4613	4613_L02	1	81	e	e	match
4613	4613_L02	2	1	n	n	match
4613	4613_L02	3	19	q	q	match
4613	4613_L02	4	36	u	u	match
4613	4613_L02	5	82	e	e	match
4613	4613_L02	6	iii	l		word
4613	4613_L02	7	112	l	l	match
4613	4613_L02	8	88	e	f	conflict
4613	4613_L02	9	31	t	t	match
4613				e		plain-only
4613	4613_L02	10	21	r	r	match
4613	4613_L02	11	61		a	null
4613	4613_L02	12	71		c	null
4613	4613_L02	13	72	m	c	conflict
4613	4613_L02	14	84	e	e	match
4613				s		plain-only
4613	4613_L02	15	2	n	n	match
4613	4613_L02	16	61	o	a	conflict
4613	4613_L02	17	37	u	u	match
4613	4613_L02	18	26	s	s	match
4613	4613_L02	19	85	e	e	match
4613	4613_L02	20	27	s	s	match
4613	4613_L02	21	33	t	t	match
4613	4613_L02	22	101	i	i	match
4613	4613_L02	23	7	o	o	match
4613	4613_L02	24	3	n	n	match
4613	4613_L02	25	28	s	s	match
4613	4613_L03	1	62	a	a	match
4613	4613_L03	2	38	u	u	match
4613	4613_L03	3	62	e	a	conflict
4613	4613_L03	4	72	c	c	match
4613				q		plain-only
4613	4613_L03	5	4	n	n	match
4613	4613_L03	6	8	o	o	match
4613	4613_L03	7	39		u	null
4613	4613_L03	8	29	z	s	conflict
4613	4613_L03	9	22	r	r	match
4613	4613_L03	10	83	e	e	match
4613	4613_L03	11	36	y	u	conflict
4613	4613_L03	12	27	s	s	match
4613	4613_L03	13	32	t	t	match
4613	4613_L03	14	23	r	r	match
4613	4613_L03	15	84	e	e	match
4613	4613_L03	16	28	s	s	match
4613	4613_L03	17	113	l	l	match
4613	4613_L03	18	85	e	e	match
4613				s		plain-only
4613	4613_L03	19	17	q	q	match
4613	4613_L03	20	40	u	u	match
4613	4613_L03	21	84	e	e	match
4613	4613_L03	22	115	l	l	match
4613	4613_L03	23	56	z	z	match
4613	4613_L04	1	4	n	n	match
4613	4613_L04	2	7	o	o	match
4613	4613_L04	3	38	u	u	match
4613	4613_L04	4	29	s	s	match
4613	4613_L04	5	10	o	o	match
4613	4613_L04	6	5	n	n	match
4613	4613_L04	7	31	t	t	match
4613	4613_L04	8	62	a	a	match
4613	4613_L04	9	113	l	l	match
4613	4613_L04	10	63	a	a	match
4613	4613_L04	11	85	f	e	conflict
4613	4613_L04	12	102	i	i	match
4613	4613_L04	13	7	n	o	conflict
4613	4613_L04	14	63	a	a	match
4613	4613_L04	15	72	c	c	match
4613	4613_L04	16	74	c	c	match
4613	4613_L04	17	10	o	o	match
4613	4613_L04	18	24	r	r	match
4613	4613_L04	19	77	d	d	match
4613	4613_L04	20	81	e	e	match
4613	4613_L04	21	136	uingt		word
4613	4613_L04	22	1		n	null
4613	4613_L04	23	76	d	d	match
4613	4613_L04	24	82	e	e	match
4613	4613_L05	1	116	m	m	match
4613	4613_L05	2	107	y	k	conflict
4613	4613_L05	3	116	m	m	match
4613	4613_L05	4	7	o	o	match
4613	4613_L05	5	104	i	i	match
4613	4613_L05	6	29	s	s	match
4613	4613_L05	7	63	a	a	match
4613	4613_L05	8	37	u	u	match
4613	4613_L05	9	84	e	e	match
4613	4613_L05	10	72	c	c	match
4613				q		plain-only
4613	4613_L05	11	91	g	g	match
4613	4613_L05	12	21	r	r	match
4613	4613_L05	13	64	a	a	match
4613	4613_L05	14	7	n	o	conflict
4613	4613_L05	15	76	d	d	match
4613	4613_L05	16	82	e	e	match
4613	4613_L05	17	12	p	p	match
4613	4613_L05	18	83	e	e	match
4613	4613_L05	19	101	i	i	match
4613	4613_L05	20	9	n	o	conflict
4613	4613_L05	21	81	e	e	match
4613	4613_L05	22	112	l	l	match
4613	4613_L05	23	85	e	e	match
4613	4613_L06	1	18	q	q	match
4613	4613_L06	2	37	u	u	match
4613	4613_L06	3	81	e	e	match
4613	4613_L06	4	115	l	l	match
4613	4613_L06	5	77		d	null
4613	4613_L06	6	84		e	null
4613	4613_L06	7	73	c	c	match
4613	4613_L06	8	6	o	o	match
4613	4613_L06	9	117	m	m	match
4613	4613_L06	10	118	m	m	match
4613	4613_L06	11	82	e	e	match
4613	4613_L06	12	2	n	n	match
4613	4613_L06	13	75	c	c	match
4613	4613_L06	14	84	e	e	match
4613	4613_L06	15	114	l	l	match
4613	4613_L06	16	81	e	e	match
4613	4613_L06	17	[blot]	24		word
4613	4613_L06	18	77	d	d	match
4613	4613_L06	19	37	u	u	match
4613	4613_L06	20	11	p	p	match
4613	4613_L06	21	22	r	r	match
4613	4613_L06	22	83	e	e	match
4613	4613_L06	23	26	s	s	match
4613	4613_L07	1	82	e	e	match
4613	4613_L07	2	3	n	n	match
4613	4613_L07	3	33	t	t	match
4613	4613_L07	4	76	d	d	match
4613	4613_L07	5	82	e	e	match
4613	4613_L07	6	12	p	p	match
4613	4613_L07	7	36	u	u	match
4613	4613_L07	8	103	i	i	match
4613	4613_L07	9	27	s	s	match
4613	4613_L07	10	2	n	n	match
4613	4613_L07	11	7	o	o	match
4613	4613_L07	12	40	u	u	match
4613	4613_L07	13	30	s	s	match
4613				n		plain-only
4613	4613_L07	14	65	a	a	match
4613	4613_L07	15	37	u	u	match
4613	4613_L07	16	10	o	o	match
4613	4613_L07	17	5	n	n	match
4613	4613_L07	18	29	s	s	match
4613	4613_L07	19	13	p	p	match
4613	4613_L07	20	61	a	a	match
4613	4613_L07	21	26	s	s	match
4613	4613_L07	22	82	e	e	match
4613	4613_L07	23	40	u	u	match
4613	4613_L08	1	79	d	d	match
4613	4613_L08	2	82	e	e	match
4613	4613_L08	3	30	u	s	conflict
4613	4613_L08	4	6	o	o	match
4613	4613_L08	5	40		u	null
4613	4613_L08	6	26	z	s	conflict
4613	4613_L08	7	2	n	n	match
4613	4613_L08	8	7	o	o	match
4613				u		plain-only
4613	4613_L08	9	38	u	u	match
4613	4613_L08	10	83	e	e	match
4613				l		plain-only
4613	4613_L08	11	112	l	l	match
4613	4613_L08	12	81	e	e	match
4613	4613_L08	13	28	s	s	match
4613	4613_L08	14	16	q	q	match
4613	4613_L08	15	37	u	u	match
4613	4613_L08	16	81	e	e	match
4613	4613_L08	17	115	l	l	match
4613	4613_L08	18	82	e	e	match
4613				s		plain-only
4613	4613_L08	19	76	d	d	match
4613	4613_L08	20	83	e	e	match
4613	4613_L08	21	22	r	r	match
4613	4613_L08	22	1	n	n	match
4613	4613_L08	23	102	i	i	match
4613	4613_L08	24	8	e	o	conflict
4613	4613_L09	1	21	r	r	match
4613	4613_L09	2	85	e	e	match
4613	4613_L09	3	30	s	s	match
4613	4613_L09	4	17		q	null
4613	4613_L09	5	36	p	u	conflict
4613	4613_L09	6	61	a	a	match
4613	4613_L09	7	37	u	u	match
4613	4613_L09	8	8	o	o	match
4613	4613_L09	9	2	n	n	match
4613	4613_L09	10	29	s	s	match
4613	4613_L09	11	21	r	r	match
4613	4613_L09	12	82	e	e	match
4613	4613_L09	13	71	c	c	match
4613	4613_L09	14	83	e	e	match
4613	4613_L09	15	39	u	u	match
4613	4613_L09	16	ii	p		word
4613	4613_L09	17	63	a	a	match
4613	4613_L09	18	29	r	s	conflict
4613	4613_L09	19	40	u	u	match
4613	4613_L09	20	5	n	n	match
4613				g		plain-only
4613	4613_L09	21	12	p	p	match
4613	4613_L09	22	83	e	e	match
4613				t		plain-only
4613	4613_L09	23	71	i	c	conflict
4613	4613_L09	24	10	t	o	conflict
4613	4613_L10	1	96	h	h	match
4613	4613_L10	2	9	o	o	match
4613				m		plain-only
4613	4613_L10	3	118	m	m	match
4613	4613_L10	4	85	e	e	match
4613	4613_L10	5	113	l	l	match
4613	4613_L10	6	84	e	e	match
4613	4613_L10	7	18	q	q	match
4613	4613_L10	8	37	u	u	match
4613	4613_L10	9	82	e	e	match
4613	4613_L10	10	112	l	l	match
4613	4613_L10	11	62	a	a	match
4613	4613_L10	12	85	e	e	match
4613	4613_L10	13	40	u	u	match
4613	4613_L10	14	iii	l		word
4613	4613_L10	15	64	a	a	match
4613	4613_L10	16	28		s	null
4613	4613_L10	17	72	c	c	match
4613	4613_L10	18	96	h	h	match
4613	4613_L10	19	65	a	a	match
4613	4613_L10	20	21	r	r	match
4613	4613_L10	21	91	g	g	match
4613	4613_L10	22	8	e	o	conflict
4613	4613_L11	1	76	d	d	match
4613	4613_L11	2	82	e	e	match
4613	4613_L11	3	112	l	l	match
4613	4613_L11	4	65	a	a	match
4613				u		plain-only
4613				i		plain-only
4613	4613_L11	5	312	lledetillemontlaultredem		word
4613	4613_L11	6	218	iddelbuerchpourenscauoir		word
4613	4613_L11	7	w:pour			clear-unmatched
4613	4613_L11	8	w:autant			clear-unmatched
4613	4613_L11	9	w:nous	nous		clear
4613	4613_L11	10	w:vous	uous		clear
4613	4613_L11	11	w:supplions	supplions		clear
4613	4613_L11	12	w:bien	bien		clear
4613	4613_L11	13	w:humblement	humblement		clear
4613	4613_L11	14	76	d	d	match
4613	4613_L11	15	82	e	e	match
4613	4613_L12	1	2	n	n	match
4613	4613_L12	2	6	o	o	match
4613	4613_L12	3	37	u	u	match
4613	4613_L12	4	26	s	s	match
4613	4613_L12	5	118	m	m	match
4613	4613_L12	6	62	a	a	match
4613	4613_L12	7	2	n	n	match
4613	4613_L12	8	76	d	d	match
4613	4613_L12	9	81	e	e	match
4613	4613_L12	10	22	r	r	match
4613	4613_L12	11	39	u	u	match
4613	4613_L12	12	8	o	o	match
4613	4613_L12	13	27		s	null
4613	4613_L12	14	31		t	null
4613	4613_L12	15	23		r	null
4613	4613_L12	16	82	z	e	conflict
4613	4613_L12	17	55	a	y	conflict
4613	4613_L12	18	80	d	d	match
4613	4613_L12	19	36	u	u	match
4613	4613_L12	20	103	i	i	match
4613	4613_L12	21	39	s	u	conflict
4613	4613_L12	22	83	e	e	match
4613	4613_L12	23	33	t	t	match
4613	4613_L13	1	21	r	r	match
4613	4613_L13	2	81	e	e	match
4613	4613_L13	3	30	s	s	match
4613	4613_L13	4	10	o	o	match
4613	4613_L13	5	111	l	l	match
4613	4613_L13	6	36	u	u	match
4613	4613_L13	7	32	t	t	match
4613	4613_L13	8	105	i	i	match
4613	4613_L13	9	9	o	o	match
4613	4613_L13	10	5	n	n	match
4613	4613_L13	11	29	s	s	match
4613	4613_L13	12	38	u	u	match
4613	4613_L13	13	24	r	r	match
4613	4613_L13	14	34	t	t	match
4613	4613_L13	15	10	o	o	match
4613	4613_L13	16	40	u	u	match
4613	4613_L13	17	35	t	t	match
4613	4613_L13	18	61	a	a	match
4613	4613_L13	19	39	u	u	match
4613	4613_L13	20	12	p	p	match
4613	4613_L13	21	112	l	l	match
4613	4613_L13	22	36	u	u	match
4613	4613_L13	23	26	s	s	match
4613	4613_L14	1	31	t	t	match
4613	4613_L14	2	6	o	o	match
4613	4613_L14	3	26	s	s	match
4613	4613_L14	4	32	t	t	match
4613	4613_L14	5	16	q	q	match
4613	4613_L14	6	40	u	u	match
4613	4613_L14	7	102	e	i	conflict
4613	4613_L14	8	86	f	f	match
4613	4613_L14	9	62	a	a	match
4613	4613_L14	10	103	i	i	match
4613	4613_L14	11	28	r	s	conflict
4613	4613_L14	12	82	e	e	match
4613	4613_L14	13	71	s	c	conflict
4613	4613_L14	14	83	e	e	match
4613	4613_L14	15	15	p	p	match
4613	4613_L14	16	9	o	o	match
4613	4613_L14	17	38	u	u	match
4613	4613_L14	18	112	r	l	conflict
4613	4613_L14	19	22	r	r	match
4613	4613_L14	20	62	a	a	match
4613	4613_L14	21	w:affin	affin		clear
4613	4613_L14	22	w:que	que		clear
4613	4613_L15	1	w:nous	nous		clear
