# tools/print_check.py, 26 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
zeuget diesen morgen Kölln der hofnung	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22zeuget%20diesen%20morgen%20K%C3%B6lln%20der%20hofnung%22&identifier=archivesoucorre03pringoog
Graf Johann zeuget diesen morgen	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Graf%20Johann%20zeuget%20diesen%20morgen%22&identifier=archivesoucorre03pringoog
Graff Johan zeuget diesen morgen	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Graff%20Johan%20zeuget%20diesen%20morgen%22&identifier=archivesoucorre03pringoog
Graue Johan zeuget diesen morgen	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Graue%20Johan%20zeuget%20diesen%20morgen%22&identifier=archivesoucorre03pringoog
Grave Johann zeucht diesen morgen	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Grave%20Johann%20zeucht%20diesen%20morgen%22&identifier=archivesoucorre03pringoog
Conte Jean zeuget diesen morgen	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Conte%20Jean%20zeuget%20diesen%20morgen%22&identifier=archivesoucorre03pringoog
mein bruder zeuget diesen morgen Kölln	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22mein%20bruder%20zeuget%20diesen%20morgen%20K%C3%B6lln%22&identifier=archivesoucorre03pringoog
Graf Johann zeucht gen Köln	ia:archivesoucorre03pringoog	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Graf%20Johann%20zeucht%20gen%20K%C3%B6ln%22&identifier=archivesoucorre03pringoog
zeuget diesen morgen Kölln der hofnung	ia:archivesoucorre11pringoog	1 exact	downloaded djvu text; oftentllch deren keines so bau ein uortgangk gewin nen soll zeuget diesen morgen kolln der hofnung die sacben uermitielst gotlicher gnaden dahien zu handien d	https://archive.org/details/archivesoucorre11pringoog
Graf Johann zeuget diesen morgen	ia:archivesoucorre11pringoog	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorre11pringoog
Graff Johan zeuget diesen morgen	ia:archivesoucorre11pringoog	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorre11pringoog
Graue Johan zeuget diesen morgen	ia:archivesoucorre11pringoog	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorre11pringoog
Grave Johann zeucht diesen morgen	ia:archivesoucorre11pringoog	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorre11pringoog
Conte Jean zeuget diesen morgen	ia:archivesoucorre11pringoog	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorre11pringoog
mein bruder zeuget diesen morgen Kölln	ia:archivesoucorre11pringoog	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorre11pringoog
Graf Johann zeucht gen Köln	ia:archivesoucorre11pringoog	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorre11pringoog
zeuget diesen morgen Kölln der hofnung	ia-global	1 item(s)	dutch_nederlandse_boeken_archive (Dutch and Flemish Books Collection)	https://be-api.us.archive.org/fts/v1/search?q=%22zeuget%20diesen%20morgen%20K%C3%B6lln%20der%20hofnung%22
Graf Johann zeuget diesen morgen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Graf%20Johann%20zeuget%20diesen%20morgen%22
Graff Johan zeuget diesen morgen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Graff%20Johan%20zeuget%20diesen%20morgen%22
Graue Johan zeuget diesen morgen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Graue%20Johan%20zeuget%20diesen%20morgen%22
Grave Johann zeucht diesen morgen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Grave%20Johann%20zeucht%20diesen%20morgen%22
Conte Jean zeuget diesen morgen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Conte%20Jean%20zeuget%20diesen%20morgen%22
mein bruder zeuget diesen morgen Kölln	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22mein%20bruder%20zeuget%20diesen%20morgen%20K%C3%B6lln%22
Graf Johann zeucht gen Köln	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Graf%20Johann%20zeucht%20gen%20K%C3%B6ln%22
zeuget diesen morgen Kölln der hofnung	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22zeuget%20diesen%20morgen%20K%C3%B6lln%20der%20hofnung%22&country=US&maxResults=10
Graf Johann zeuget diesen morgen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Graf%20Johann%20zeuget%20diesen%20morgen%22&country=US&maxResults=10
Graff Johan zeuget diesen morgen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Graff%20Johan%20zeuget%20diesen%20morgen%22&country=US&maxResults=10
Graue Johan zeuget diesen morgen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Graue%20Johan%20zeuget%20diesen%20morgen%22&country=US&maxResults=10
Grave Johann zeucht diesen morgen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Grave%20Johann%20zeucht%20diesen%20morgen%22&country=US&maxResults=10
Conte Jean zeuget diesen morgen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Conte%20Jean%20zeuget%20diesen%20morgen%22&country=US&maxResults=10
mein bruder zeuget diesen morgen Kölln	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22mein%20bruder%20zeuget%20diesen%20morgen%20K%C3%B6lln%22&country=US&maxResults=10
Graf Johann zeucht gen Köln	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Graf%20Johann%20zeucht%20gen%20K%C3%B6ln%22&country=US&maxResults=10
zeuget diesen morgen Kölln der hofnung	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22zeuget%20diesen%20morgen%20K%C3%B6lln%20der%20hofnung%22
Graf Johann zeuget diesen morgen	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Graf%20Johann%20zeuget%20diesen%20morgen%22
Graff Johan zeuget diesen morgen	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Graff%20Johan%20zeuget%20diesen%20morgen%22
Graue Johan zeuget diesen morgen	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Graue%20Johan%20zeuget%20diesen%20morgen%22
Grave Johann zeucht diesen morgen	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Grave%20Johann%20zeucht%20diesen%20morgen%22
Conte Jean zeuget diesen morgen	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Conte%20Jean%20zeuget%20diesen%20morgen%22
mein bruder zeuget diesen morgen Kölln	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22mein%20bruder%20zeuget%20diesen%20morgen%20K%C3%B6lln%22
Graf Johann zeucht gen Köln	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Graf%20Johann%20zeucht%20gen%20K%C3%B6ln%22
