# tools/print_check.py, 26 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
Pfaltzgraf helt sich wol und thut in warheit viel	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
Pfalzgraf helt sich wol	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
Herzog von Sachsen und Landgraf ist willens	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
Sachsen und Landgraf ist willens	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
helt sich wol und thut in warheit viel	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
Bey dem Herzog von Sachsen und ist willens	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
bruit que le duc d'Albe seme icy	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
forces du duc d'Albe le capitaine	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
frere du roy d'Espagne	ia:archivesoucorres04unse	no hits	downloaded djvu text; 	https://archive.org/details/archivesoucorres04unse
Pfaltzgraf helt sich wol und thut in warheit viel	ia:bub_gb_0bOisP671wwC	no hits	djvu text not available (HTTP 404); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Pfaltzgraf%20helt%20sich%20wol%20und%20thut%20in%20warheit%20viel%22&identifier=bub_gb_0bOisP671wwC
Pfalzgraf helt sich wol	ia:bub_gb_0bOisP671wwC	no hits	djvu text not available (HTTP 404); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Pfalzgraf%20helt%20sich%20wol%22&identifier=bub_gb_0bOisP671wwC
Herzog von Sachsen und Landgraf ist willens	ia:bub_gb_0bOisP671wwC	no hits	djvu text not available (HTTP 404); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Herzog%20von%20Sachsen%20und%20Landgraf%20ist%20willens%22&identifier=bub_gb_0bOisP671wwC
Sachsen und Landgraf ist willens	ia:bub_gb_0bOisP671wwC	no hits	djvu text not available (HTTP 404); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Sachsen%20und%20Landgraf%20ist%20willens%22&identifier=bub_gb_0bOisP671wwC
helt sich wol und thut in warheit viel	ia:bub_gb_0bOisP671wwC	no hits	djvu text not available (HTTP 404); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22helt%20sich%20wol%20und%20thut%20in%20warheit%20viel%22&identifier=bub_gb_0bOisP671wwC
Bey dem Herzog von Sachsen und ist willens	ia:bub_gb_0bOisP671wwC	no hits	djvu text not available (HTTP 404); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Bey%20dem%20Herzog%20von%20Sachsen%20und%20ist%20willens%22&identifier=bub_gb_0bOisP671wwC
