# Generated by tools/decode_key.py --config decode_wv2.json from ciphertext_4503.tsv + key.tsv (W1, 24 Sept 2026); do not edit.
# WV2 letter 4503 (15 Apr 1574), two blind Sonnet passes reconciled by wv2/build.py; key R18's (4613/4615). tokens 237: H 0, C 0, S 0, M 219, I 7, U 11
04503_p1_L05 | {xij}{si}{faicte}·spourestrebien
04503_p1_L06 | malpossibledassa
04503_p1_L07 | mbrentellehaste·
04503_p1_L08 | lesgens{que}{je}{desire}·de
04503_p1_L09 | enuoierpuruostre
04503_p1_L10 | escorte·{et}{toutesfois}{je}{crois}{que}
04503_p1_L11 | ·pourdemainaurons
04503_p1_L12 | quelquestrentecinc
04503_p1_L13 | outrentesixcommai
04503_p1_L14 | gniesensambleet·
04503_p1_L15 | aussyquelquebon·
04503_p1_L16 | nombrede·et·{et}{pour}
04503_p1_L17 | {tant}{encores}{je}{donne}{ordre}{de}{suis}{assures}{en}{jouir}{quon}{debue}
04503_p1_L18 | {en}{ceste}{ville}{parquoy}{je}{vous}{prie}{me}{mander}{le}
04503_p1_L19 | {plustost}·ouuousauesde
04503_p1_L20 | liberedepasserla
04503_p1_L21 | riuiera·pouruous
04503_p1_L22 | eallerrecepuoir
