line	idx	sign	value	grade
p1_L01	6	1573	?	U
p1_L02	8	6	o	C
p1_L03	2	140	?	U
p1_L03	3	125	?	U
p1_L03	4	115	l	C
p1_L03	5	81	e	C
p1_L03	6	20	q	C
p1_L03	7	86	f	C
p1_L03	8	21	r	C
p1_L03	9	82	e	C
p1_L03	10	22	r	C
p1_L03	11	83	e	C
p1_L03	12	27	s	C
p1_L03	13	150	?	U
p1_L03	14	123	l	M
p1_L03	15	84	e	C
p1_L03	16	31	t	C
p1_L03	17	117	m	C
p1_L03	18	6	o	C
p1_L03	19	81	e	M
p1_L04	1	145	?	U
p1_L04	5	7	o	C
p1_L04	6	71	c	C
p1_L04	7	73	c	C
p1_L04	8	36	u	C
p1_L04	9	11	p	C
p1_L04	10	13	p	C
p1_L04	11	75	c	M
p1_L04	12	56	z	C
p1_L04	13	149	?	U
p1_L04	14	138	?	U
p1_L04	15	127	?	U
p1_L04	16	16	q	C
p1_L04	17	38	u	C
p1_L04	18	101	i	M
p1_L04	19	111	l	C
p1_L04	20	2	n	C
p1_L05	1	1	n	C
p1_L05	2	8	o	C
p1_L05	3	80	d	C
p1_L05	4	28	s	C
p1_L05	7	12	p	C
p1_L05	8	9	o	C
p1_L05	9	30	s	C
p1_L05	10	26	s	C
p1_L05	11	102	i	C
p1_L05	12	66	b	C
p1_L05	13	114	l	C
p1_L05	14	82	e	C
p1_L05	15	122	NULL	C
p1_L05	16	129	?	U
p1_L05	17	141	NULL	C
p1_L05	18	80	d	C
p1_L05	19	88	f	C
p1_L06	9	6	o	M
p1_L07	5	151	?	U
p1_L07	7	74	c	C
p1_L07	8	27	s	C
p1_L07	9	72	c	C
p1_L07	10	23	r	C
p1_L07	11	103	i	C
p1_L07	12	14	p	C
p1_L07	13	34	t	C
p1_L07	14	134	?	U
p1_L07	15	125	?	U
p1_L07	18	20	q	C
p1_L07	19	25	r	C
p1_L07	20	105	i	C
p1_L08	1	3	n	C
p1_L08	2	75	c	C
p1_L08	3	85	e	C
p1_L08	4	30	s	C
p1_L08	5	130	?	U
p1_L08	6	127	?	U
p1_L08	7	145	?	U
p1_L08	10	150	?	U
p1_L08	11	29	s	C
p1_L08	12	9	o	C
p1_L08	13	115	l	C
p1_L08	14	111	l	C
p1_L08	15	104	i	C
p1_L08	16	74	c	C
p1_L08	17	102	i	C
p1_L08	18	82	e	C
p1_L08	19	82	e	C
p1_L09	1	122	NULL	C
p1_L09	2	128	?	U
p1_L09	4	28	s	C
p1_L09	5	84	e	C
p1_L09	6	120	m	C
p1_L09	7	15	p	C
p1_L09	8	112	l	C
p1_L09	9	8	o	C
p1_L09	10	53	y	I
p1_L09	11	83	e	C
p1_L09	12	23	r	C
p1_L09	14	25	r	C
p1_L09	15	65	a	M
p1_L09	16	11	p	C
p1_L09	17	63	a	C
p1_L09	18	101	i	C
p1_L09	19	26	s	C
p1_L09	20	81	e	C
p1_L09	21	21	r	C
p1_L10	1	131	?	U
p1_L10	4	80	d	C
p1_L10	5	40	u	C
p1_L10	6	14	p	C
p1_L10	7	84	e	C
p1_L10	8	104	i	C
p1_L10	9	27	s	C
p1_L10	10	70	b	I
p1_L10	11	55	y	I
p1_L10	12	29	s	C
p1_L10	13	139	?	U
p1_L10	14	145	?	U
p1_L10	16	5	n	C
p1_L10	17	63	a	C
p1_L10	18	39	u	C
p1_L10	19	9	o	C
p1_L10	20	103	i	C
p1_L10	21	31	t	C
p1_L11	1	149	?	U
p1_L11	2	125	?	U
p1_L11	3	14	p	C
p1_L11	4	65	a	C
p1_L11	5	30	s	C
p1_L11	11	51	y	I
p1_L11	12	26	s	C
p1_L11	13	34	t	C
p1_L11	14	64	a	C
p1_L11	15	4	n	C
p1_L11	16	33	t	C
p1_L11	17	14	p	C
p1_L11	18	64	a	C
p1_L11	19	26	s	C
p1_L11	20	24	r	C
p1_L11	21	84	e	C
p1_L12	1	29	s	M
