line	pos	sign	conf
05811_p5_L03	1	=ce	M
05811_p5_L03	2	=ce	M
05811_p5_L03	3	=jourdhuy	M
05811_p5_L03	4	=matin	M
05811_p5_L03	5	=mest	M
05811_p5_L03	6	=venue	M
05811_p5_L03	7	=une	M
05811_p5_L03	8	=autre	M
05811_p5_L03	9	=du	M
05811_p5_L03	10	8e?	L
05811_p5_L03	11	141	H
05811_p5_L03	12	127	H
05811_p5_L03	13	130	H
05811_p5_L04	1	112	M
05811_p5_L04	2	91	M
05811_p5_L04	3	16	M
05811_p5_L04	4	36	M
05811_p5_L04	5	82	M
05811_p5_L04	6	119	M
05811_p5_L04	7	114	M
05811_p5_L04	8	91	M
05811_p5_L04	9	102	M
05811_p5_L04	10	63	M
05811_p5_L04	11	91	M
05811_p5_L04	12	37	M
05811_p5_L04	13	83	M
05811_p5_L04	14	40	M
05811_p5_L04	15	39	M
05811_p5_L04	16	9	M
05811_p5_L04	17	29	M
05811_p5_L04	18	32	M
05811_p5_L04	19	22	M
05811_p5_L04	20	83	M
05811_p5_L04	21	70	M
05811_p5_L05	1	76	M
05811_p5_L05	2	84	M
05811_p5_L05	3	24	M
05811_p5_L05	4	54	M
05811_p5_L05	5	31	M
05811_p5_L05	6	109	M
05811_p5_L05	7	5	M
05811_p5_L05	8	3	M
05811_p5_L05	9	77	M
05811_p5_L05	10	85	M
05811_p5_L05	11	123	M
05811_p5_L05	12	38	M
05811_p5_L05	13	84	M
05811_p5_L05	14	5	M
05811_p5_L05	15	104	M
05811_p5_L05	16	23	M
05811_p5_L05	17	63	M
05811_p5_L05	18	37	M
05811_p5_L05	19	81	M
05811_p5_L05	20	71	M
05811_p5_L05	21	38	M
05811_p5_L06	1	23	M
05811_p5_L06	2	8	M
05811_p5_L06	3	39	M
05811_p5_L06	4	11	M
05811_p5_L06	5	13	M
05811_p5_L06	6	81	M
05811_p5_L06	7	27	M
05811_p5_L06	8	132	M
05811_p5_L06	9	13	M
05811_p5_L06	10	81	M
05811_p5_L06	11	28	M
05811_p5_L06	12	98	M
05811_p5_L06	13	81	M
05811_p5_L06	14	93	M
05811_p5_L06	15	64	M
05811_p5_L06	16	121	M
05811_p5_L06	17	81	M
05811_p5_L06	18	33	M
05811_p5_L06	19	83	M
05811_p5_L06	20	90	M
05811_p5_L06	21	82	M
05811_p5_L06	22	2	M
05811_p5_L07	1	88	M
05811_p5_L07	2	85	M
05811_p5_L07	3	84	M
05811_p5_L07	4	91	M
05811_p5_L07	5	32	M
05811_p5_L07	6	14	M
05811_p5_L07	7	23	M
05811_p5_L07	8	83	M
05811_p5_L07	9	2	M
05811_p5_L07	10	90	M
05811_p5_L07	11	24	M
05811_p5_L07	12	85	M
05811_p5_L07	13	30	M
05811_p5_L07	14	9	M
05811_p5_L07	15	28	M
05811_p5_L07	16	33	M
05811_p5_L07	17	21	M
05811_p5_L07	18	81	M
05811_p5_L07	19	90	M
05811_p5_L07	20	100	M
05811_p5_L07	21	85	M
05811_p5_L07	22	11	M
05811_p5_L08	1	129	M
05811_p5_L08	2	139	M
05811_p5_L08	3	82	M
05811_p5_L08	4	3	M
05811_p5_L08	5	33	M
05811_p5_L08	6	21	M
05811_p5_L08	7	85	M
05811_p5_L08	8	129	M
05811_p5_L08	9	92	M
05811_p5_L08	10	23	M
05811_p5_L08	11	82	M
05811_p5_L08	12	29	M
05811_p5_L08	13	82	M
05811_p5_L08	14	130	M
05811_p5_L08	15	84	M
05811_p5_L08	16	30	M
05811_p5_L08	17	29	M
05811_p5_L08	18	2	M
05811_p5_L08	19	150	M
05811_p5_L08	20	=le	M
05811_p5_L08	21	=bien	M
05811_p5_L09	1	=de	M
05811_p5_L09	2	=Franoix	L
05811_p5_L09	3	=lestat	M
05811_p5_L09	4	=tant	M
05811_p5_L09	5	=de	M
05811_p5_L09	6	=ma	M
05811_p5_L09	7	=sante	M
05811_p5_L09	8	=que	M
05811_p5_L09	9	=de	M
05811_p5_L09	10	=bos	L
05811_p5_L09	11	=affaires	M
05811_p5_L09	12	135	M
05811_p5_L09	13	137	M
05811_p5_L09	14	85	M
05811_p5_L10	1	84	M
05811_p5_L10	2	93	M
05811_p5_L10	3	2	M
05811_p5_L10	4	33	M
05811_p5_L10	5	22	M
05811_p5_L10	6	81	M
05811_p5_L10	7	94	M
05811_p5_L10	8	82	M
05811_p5_L10	9	39	M
05811_p5_L10	10	123	M
05811_p5_L10	11	38	M
05811_p5_L10	12	8	M
05811_p5_L10	13	27	M
05811_p5_L10	14	32	M
05811_p5_L10	15	21	M
05811_p5_L10	16	81	M
05811_p5_L10	17	114	M
05811_p5_L10	18	92	M
05811_p5_L10	19	31	M
05811_p5_L10	20	33	M
05811_p5_L10	21	23	M
05811_p5_L10	22	89	M
05811_p5_L10	23	16	M
05811_p5_L11	1	81	M
05811_p5_L11	2	102	M
05811_p5_L11	3	3	M
05811_p5_L11	4	91	M
05811_p5_L11	5	8	M
05811_p5_L11	6	2	M
05811_p5_L11	7	31	M
05811_p5_L11	8	104	M
05811_p5_L11	9	4	M
05811_p5_L11	10	89	M
05811_p5_L11	11	9	M
05811_p5_L11	12	31	M
05811_p5_L11	13	82	M
05811_p5_L11	14	27	M
05811_p5_L11	15	93	M
05811_p5_L11	16	22	M
05811_p5_L11	17	101	M
05811_p5_L11	18	14	M
05811_p5_L11	19	31	M
05811_p5_L11	20	84	M
05811_p5_L11	21	31	M
05811_p5_L11	22	118	M
05811_p5_L11	23	85	M
05811_p5_L12	1	81	M
05811_p5_L12	2	51	M
05811_p5_L12	3	38	M
05811_p5_L12	4	1	M
05811_p5_L12	5	89	M
05811_p5_L12	6	90	M
05811_p5_L12	7	9	M
05811_p5_L12	8	1	M
05811_p5_L12	9	4	M
05811_p5_L12	10	82	M
05811_p5_L12	11	11	M
05811_p5_L12	12	62	M
05811_p5_L12	13	25	M
05811_p5_L12	14	32	M
05811_p5_L12	15	104	M
05811_p5_L12	16	83	M
05811_p5_L12	17	80	M
05811_p5_L12	18	81	M
05811_p5_L12	19	119	M
05811_p5_L12	20	81	M
05811_p5_L12	21	28	M
05811_p5_L12	22	92	M
05811_p5_L12	23	82	M
05811_p5_L12	24	12	M
05811_p5_L13	1	30	M
05811_p5_L13	2	92	M
05811_p5_L13	3	101	M
05811_p5_L13	4	2	M
05811_p5_L13	5	89	M
05811_p5_L13	6	29	M
05811_p5_L13	7	18	M
05811_p5_L13	8	38	M
05811_p5_L13	9	100	M
05811_p5_L13	10	114	M
05811_p5_L13	11	98	M
05811_p5_L13	12	84	M
05811_p5_L13	13	82	M
05811_p5_L13	14	82	M
05811_p5_L13	15	2	M
05811_p5_L13	16	31	M
05811_p5_L13	17	84	M
05811_p5_L13	18	37	M
05811_p5_L13	19	127	M
05811_p5_L13	20	11	M
05811_p5_L13	21	113	M
05811_p5_L13	22	39	M
05811_p5_L14	1	30	M
05811_p5_L14	2	8	M
05811_p5_L14	3	28	M
05811_p5_L14	4	34	M
05811_p5_L14	5	84	M
05811_p5_L14	6	28	M
05811_p5_L14	7	81	M
05811_p5_L14	8	32	M
05811_p5_L14	9	20	M
05811_p5_L14	10	9	M
05811_p5_L14	11	38	M
05811_p5_L14	12	37	M
05811_p5_L14	13	81	M
05811_p5_L14	14	22	M
05811_p5_L14	15	82	M
05811_p5_L14	16	29	M
05811_p5_L14	17	82	M
05811_p5_L14	18	2	M
05811_p5_L14	19	39	M
05811_p5_L14	20	104	M
05811_p5_L14	21	21	M
05811_p5_L14	22	8	M
05811_p5_L14	23	2	M
05811_p5_L15	1	58	M
05811_p5_L15	2	84	M
05811_p5_L15	3	123	M
05811_p5_L15	4	32	M
05811_p5_L15	5	104	M
05811_p5_L15	6	8	M
05811_p5_L15	7	114	M
05811_p5_L15	8	129	M
05811_p5_L15	9	11	M
05811_p5_L15	10	8	M
05811_p5_L15	11	37	M
05811_p5_L15	12	23	M
05811_p5_L15	13	83	M
05811_p5_L15	14	3	M
05811_p5_L15	15	72	M
05811_p5_L15	16	81	M
05811_p5_L15	17	29	M
05811_p5_L15	18	18	M
05811_p5_L15	19	37	M
05811_p5_L15	20	82	M
05811_p5_L15	21	21	M
05811_p5_L15	22	2	M
05811_p5_L16	1	84	M
05811_p5_L16	2	23	M
05811_p5_L16	3	28	M
05811_p5_L16	4	114	M
05811_p5_L16	5	62	M
05811_p5_L16	6	38	M
05811_p5_L16	7	839?	M
05811_p5_L16	8	29	M
05811_p5_L16	9	24	M
05811_p5_L16	10	84	M
05811_p5_L16	11	90	M
05811_p5_L16	12	82	M
05811_p5_L16	13	11	M
05811_p5_L16	14	37	M
05811_p5_L16	15	9	M
05811_p5_L16	16	109	M
05811_p5_L16	17	24	M
05811_p5_L16	18	9	M
05811_p5_L16	19	104	M
05811_p5_L16	20	23	M
05811_p5_L16	21	81	M
05811_p5_L17	1	18	M
05811_p5_L17	2	37	M
05811_p5_L17	3	89	M
05811_p5_L17	4	100	M
05811_p5_L17	5	82	M
05811_p5_L17	6	122	M
05811_p5_L17	7	71	M
05811_p5_L17	8	23	M
05811_p5_L17	9	91	M
05811_p5_L17	10	104	M
05811_p5_L17	11	2	M
05811_p5_L17	12	29	M
05811_p5_L17	13	18	M
05811_p5_L17	14	38	M
05811_p5_L17	15	81	M
05811_p5_L17	16	113	M
05811_p5_L17	17	84	M
05811_p5_L17	18	311?	M
05811_p5_L17	19	131	M
05811_p5_L17	20	92	M
05811_p5_L17	21	83	M
05811_p5_L17	22	2	M
05811_p5_L18	1	31	M
05811_p5_L18	2	140	M
05811_p5_L18	3	84	M
05811_p5_L18	4	28	M
05811_p5_L18	5	28	M
05811_p5_L18	6	90	M
05811_p5_L18	7	89	M
05811_p5_L18	8	81	M
05811_p5_L18	9	29	M
05811_p5_L18	10	31	M
05811_p5_L18	11	22	M
05811_p5_L18	12	8	M
05811_p5_L18	13	104	M
05811_p5_L18	14	92	M
05811_p5_L18	15	32	M
05811_p5_L18	16	11	M
05811_p5_L18	17	8	M
05811_p5_L18	18	28	M
05811_p5_L18	19	21	M
05811_p5_L18	20	114	M
05811_p5_L18	21	94	M
05811_p5_L18	22	130	M
05811_p5_L19	1	83	M
05811_p5_L19	2	23	M
05811_p5_L19	3	34	M
05811_p5_L19	4	8	M
05811_p5_L19	5	38	M
05811_p5_L19	6	30	M
05811_p5_L19	7	82	M
05811_p5_L19	8	28	M
05811_p5_L19	9	89	M
05811_p5_L19	10	9	M
05811_p5_L19	11	109	M
05811_p5_L19	12	29	M
05811_p5_L19	13	3	M
05811_p5_L19	14	9	M
05811_p5_L19	15	37	M
05811_p5_L19	16	28	M
05811_p5_L19	17	135	M
05811_p5_L19	18	99	M
05811_p5_L19	19	9	M
05811_p5_L19	20	6	M
05811_p5_L19	21	23	M
05811_p5_L19	22	83	M
05811_p5_L19	23	23	M
05811_p5_L19	24	9	M
05811_p5_L20	1	28	M
05811_p5_L20	2	10	M
05811_p5_L20	3	23	M
05811_p5_L20	4	90	M
05811_p5_L20	5	22	M
05811_p5_L20	6	82	M
05811_p5_L20	7	90	M
05811_p5_L20	8	89	M
05811_p5_L20	9	37	M
05811_p5_L20	10	8	M
05811_p5_L20	11	38	M
05811_p5_L20	12	27	M
05811_p5_L20	13	62	M
05811_p5_L20	14	92	M
05811_p5_L20	15	93	M
05811_p5_L20	16	8	M
05811_p5_L20	17	118	M
05811_p5_L20	18	115	M
05811_p5_L20	19	8	M
05811_p5_L20	20	89	M
05811_p5_L20	21	82	M
05811_p5_L20	22	21	M
05811_p5_L20	23	90	M
05811_p5_L20	24	8	M
05811_p5_L21	1	351?	M
05811_p5_L21	2	81	M
05811_p5_L21	3	31	M
05811_p5_L21	4	92	M
05811_p5_L21	5	38	M
05811_p5_L21	6	33	M
05811_p5_L21	7	23	M
05811_p5_L21	8	82	M
05811_p5_L21	9	27	M
05811_p5_L21	10	2	M
05811_p5_L21	11	83	M
05811_p5_L21	12	92	M
05811_p5_L21	13	84	M
05811_p5_L21	14	29	M
05811_p5_L21	15	28	M
05811_p5_L21	16	104	M
05811_p5_L21	17	92	M
05811_p5_L21	18	83	M
05811_p5_L21	19	28	M
05811_p5_L21	20	123	M
05811_p5_L21	21	=le	M
05811_p5_L22	1	=plus	M
05811_p5_L22	2	=que	M
05811_p5_L22	3	=sera	M
05811_p5_L22	4	=possible	M
05811_p5_L22	5	131	M
05811_p5_L22	6	89	M
05811_p5_L22	7	29	M
05811_p5_L22	8	12	M
05811_p5_L22	9	83	M
05811_p5_L22	10	22	M
05811_p5_L22	11	93	M
05811_p5_L22	12	2	M
05811_p5_L22	13	31	M
05811_p5_L22	14	92	M
05811_p5_L22	15	39	M
05811_p5_L22	16	28	M
05811_p5_L22	17	28	M
05811_p5_L22	18	92	M
05811_p5_L22	19	90	M
05811_p5_L23	1	93	M
