line	pos	sign	conf
05810_p6_L01	1	127	M
05810_p6_L01	2	242	L
05810_p6_L01	3	28	M
05810_p6_L01	4	103	M
05810_p6_L01	5	121	M
05810_p6_L01	6	=vaillamment	M
05810_p6_L01	7	=maintenue	M
05810_p6_L01	8	=et	M
05810_p6_L01	9	=avoir	M
05810_p6_L01	10	=tant	M
05810_p6_L01	11	=souffert	M
05810_p6_L01	12	143	M
05810_p6_L02	1	26	M
05810_p6_L02	2	36	M
05810_p6_L02	3	21	M
05810_p6_L02	4	113	M
05810_p6_L02	5	81	M
05810_p6_L02	6	26	M
05810_p6_L02	7	12	M
05810_p6_L02	8	7	M
05810_p6_L02	9	103	M
05810_p6_L02	10	23	M
05810_p6_L02	11	20	M
05810_p6_L02	12	36	M
05810_p6_L02	13	81	M
05810_p6_L02	14	76	M
05810_p6_L02	15	83	M
05810_p6_L02	16	103	M
05810_p6_L02	17	6	M
05810_p6_L02	18	37	M
05810_p6_L02	19	23	M
05810_p6_L02	20	83	M
05810_p6_L02	21	4	M
05810_p6_L03	1	104	M
05810_p6_L03	2	7	M
05810_p6_L03	3	38	M
05810_p6_L03	4	24	M
05810_p6_L03	5	102	M
05810_p6_L03	6	83	M
05810_p6_L03	7	114	M
05810_p6_L03	8	39	M
05810_p6_L03	9	88	M
05810_p6_L03	10	79	M
05810_p6_L03	11	7	M
05810_p6_L03	12	2	M
05810_p6_L03	13	1	M
05810_p6_L03	14	9	M
05810_p6_L03	15	108	M
05810_p6_L03	16	28	M
05810_p6_L03	17	78	M
05810_p6_L03	18	37	M
05810_p6_L03	19	28	M
05810_p6_L03	20	82	M
05810_p6_L03	21	72	M
05810_p6_L03	22	9	M
05810_p6_L03	23	36	M
05810_p6_L03	24	21	M
05810_p6_L04	1	18	M
05810_p6_L04	2	37	M
05810_p6_L04	3	88	M
05810_p6_L04	4	3	M
05810_p6_L04	5	7	M
05810_p6_L04	6	38	M
05810_p6_L04	7	27	M
05810_p6_L04	8	25	M
05810_p6_L04	9	81	M
05810_p6_L04	10	74	M
05810_p6_L04	11	81	M
05810_p6_L04	12	13	M
05810_p6_L04	13	38	M
05810_p6_L04	14	22	M
05810_p6_L04	15	103	M
05810_p6_L04	16	7	M
05810_p6_L04	17	2	M
