line	position	sign	confidence	alt	why
05811_p2_L01	1	121	H		agree
05811_p2_L01	2	104	H		agree
05811_p2_L01	3	58	H		agree
05811_p2_L01	4	26	H		agree
05811_p2_L01	5	16	H		agree
05811_p2_L01	6	36	H		agree
05811_p2_L01	7	82	H		agree
05811_p2_L01	8	27	H		agree
05811_p2_L01	9	64	H		agree
05811_p2_L01	10	38	H		agree
05811_p2_L01	11	8	H		agree
05811_p2_L01	12	37	H		agree
05811_p2_L01	13	20	M		agree-flagged
05811_p2_L01	14	117	M		agree-flagged
05811_p2_L01	15	84	H		agree
05811_p2_L01	16	122	M		agree-flagged
05811_p2_L02	1	78	H		agree
05811_p2_L02	2	9	M		agree-flagged
05811_p2_L02	3	58	H		agree
05811_p2_L02	4	69	H		agree
05811_p2_L02	5	32	H		agree
05811_p2_L02	6	61	H		agree
05811_p2_L02	7	2	H		agree
05811_p2_L02	8	33	H		agree
05811_p2_L02	9	17	M		agree-flagged
05811_p2_L02	10	58	M		agree-flagged
05811_p2_L02	11	81	H		agree
05811_p2_L02	12	77	H		agree
05811_p2_L02	13	8	H		agree
05811_p2_L02	14	38	H		agree
05811_p2_L02	15	61	H		agree
05811_p2_L02	16	2	H		agree
05811_p2_L02	17	33	H		agree
05811_p2_L02	18	113	H		agree
05811_p2_L02	19	85	H		agree
05811_p2_L02	20	37	H		agree
05811_p2_L02	21	21	H		agree
05811_p2_L03	1	64	H		agree
05811_p2_L03	2	22	H		agree
05811_p2_L03	3	11	H		agree
05811_p2_L03	4	38	H		agree
05811_p2_L03	5	81	H		agree
05811_p2_L03	6	83	H		agree
05811_p2_L03	7	38	H		agree
05811_p2_L03	8	8	H		agree
05811_p2_L03	9	30	M	B:70	differ
05811_p2_L03	10	29	H		agree
05811_p2_L03	11	83	M	B:85	differ
05811_p2_L03	12	26	H		agree
05811_p2_L03	13	31	H		agree
05811_p2_L03	14	82	H		agree
05811_p2_L03	15	29	H		agree
05811_p2_L03	16	12	H		agree
05811_p2_L03	17	61	H		agree
05811_p2_L03	18	22	H		agree
05811_p2_L03	19	31	H		agree
05811_p2_L03	20	53	M		agree-flagged
05811_p2_L04	1	123	H		agree
05811_p2_L04	2	81	H		agree
05811_p2_L04	3	31	H		agree
05811_p2_L04	4	18	H		agree
05811_p2_L04	5	37	H		agree
05811_p2_L04	6	105	H		agree
05811_p2_L04	7	114	H		agree
05811_p2_L04	8	57	H		agree
05811_p2_L04	9	27	H		agree
05811_p2_L04	10	6	H		agree
05811_p2_L04	11	102	H		agree
05811_p2_L04	12	81	H		agree
05811_p2_L04	13	2	H		agree
05811_p2_L04	14	31	H		agree
05811_p2_L04	15	70	H		agree
05811_p2_L04	16	61	M	B:82	differ
05811_p2_L04	17	113	H		agree
05811_p2_L04	18	102	M		agree-flagged
05811_p2_L05	1	70	H		agree
05811_p2_L05	2	83	H		agree
05811_p2_L05	3	22	H		agree
05811_p2_L05	4	84	H		agree
05811_p2_L05	5	98	M	B:82	differ
05811_p2_L05	6	78	H		agree
05811_p2_L05	7	81	H		agree
05811_p2_L05	8	38	M	B:28	differ
05811_p2_L05	9	84	H		agree
05811_p2_L05	10	37	H		agree
05811_p2_L05	11	27	H		agree
