idx	f28_group	f30_group	match
1	8		0
2	73		0
3	79		0
4	71		0
5	79		0
6	56		0
7	68	66	0
8	D	d	0
9	11	24	0
10	88	88	1
11	zz	zz	1
12	90	90	1
13	57	37	0
14	70	70	1
15	30	30	1
16	98	98	1
17	35	35	1
18	zi	zi	1
19	99	99	1
20	71	74	0
21	95	93	0
22	70	7b	0
23	55	55	1
24	15	15	1
25	60	60	1
26	1z	4z	0
27	11	ii	0
28	Ct	pl	0
29	#	#	1
30		z	0
31	z6	b	0
32	30	30	1
33	Q	ILLEGIBLE	0
34	3i	zi	0
35	58	58	1
36	35	35	1
37	85		0
38	8z		0
39	66		0
40	V6		0
41	z5		0
42	S		0
43	86		0
44	1z	83	0
45	39	4z	0
46	N	z6	0
47	5i	ib	0
48	65	z6	0
49	ILLEGIBLE	ILLEGIBLE	1
50	3	18	0
51	40	73	0
52	zz	78	0
53	99	4i	0
54	5z	79	0
55	zz	56	0
56	60	60	1
57	98	98	1
58	V	v	0
59	Hf	hf	0
60	zz	zz7	0
61	7i	7i	1
62	zz		0
63	5i	z5	0
64	79	79	1
65	30	30	1
66	38	38	1
67	5i	5i	1
68	84	84	1
69	25	z5	0
70	7i	7i	1
71	73	73	1
72	30	30	1
73	18	48	0
74	60	60	1
75	15	15	1
76	30	36	0
77	N	n	0
78	60	60	1
79	70	70	1
80	93	73	0
81	84	84	1
82	tt		0
83	Fz	44	0
84	73	z3	0
85	40	46	0
86	29	84	0
87	zz	zz	1
88	37	37	1
89	70	70	1
90	L		0
91	61		0
92	7z		0
93	39		0
94	M	ILLEGIBLE	0
95	35	u	0
96	O	63	0
97	43	z40	0
98	16	4	0
99	99	99	1
100	8i	55	0
101	zz	zz	1
102	9		0
103	84		0
104	83	63	0
105	87	67	0
106	98	88	0
107	30	30	1
108	N	N	1
109	z35	z35	1
110	29	z8	0
111	5i	3i	0
112	10	10	1
113	16	48	0
114	7	F	0
115	36	36	1
116	56	56	1
117	z6	z6	1
118	16	16	1
119	30	3i	0
120	z3	73	0
121	30	30	1
122	z6	z6	1
123	56	56	1
124	ii	ii	1
125	4i	4i	1
126	54	4	0
127	73	73	1
128		A	0
129	Rib	76	0
130	77	v6	0
131	7z	777z	0
132	7i	7i	1
133	99	99	1
134	B	B	1
135	29	48	0
136	55	55	1
137	tt	14	0
138	15	i5	0
139	70	70	1
140	zz	zz	1
141	13		0
142	79		0
143	63		0
144	98		0
145	z	43	0
146	78	78	1
147	36		0
148	N		0
149	70		0
150	10	z	0
151	16	87	0
152	30	87	0
153	193	193	1
154	ziz	ziz	1
155	O	O	1
156	88	88	1
157	38	38	1
158	51	51	1
159	du	ILLEGIBLE	0
160	107	197	0
161	4z	7z	0
162	36	z6	0
163	L	L	1
164	z6	76	0
165	30	30	1
166	ii	ii	1
167	zz	zz	1
168	i6	i5	0
169	31	31	1
170	13	i5	0
171	73	73	1
172		K	0
173	Vz	77	0
174	z6	i6	0
175	25	25	1
176	8d	8i	0
177	G	G	1
178	60	60	1
179	55	55	1
180	10	i0	0
181	16	i6	0
182	97	97	1
183	137	i37	0
184	i6	i6	1
185	99	99	1
186	N	N	1
187		bi	0
188		61	0
189	6i	130	0
190	30	ziz	0
191	51	z	0
192	73	9	0
193	O	p	0
194	5z	z78	0
195	37	36	0
196	ii	N	0
197	X	79	0
198	6i	10	0
199	44	i6	0
200	149	30	0
201	du	ILLEGIBLE	0
202	65	65	1
203	yi	7i	0
204	7z	7z	1
205	30	30	1
206	39	89	0
207	4z	44	0
208	3z	3z	1
209	ii	ii	1
210	44	84	0
211	6	b	0
212	z73	z73	1
213	10z	193	0
214	E	e	0
215	n	n	1
216	z73	z73	1
217		z00	0
218	zoo	p	0
219	du	i	0
220	z73	z73	1
221	94	94	1
222	z5	25	0
223	70	70	1
224	54	54	1
225	73	53	0
226	zz	zz	1
227	77	zz77	0
228	99	99	1
229	tt	ii	0
230	54	37	0
231	79	79	1
232	48	83	0
233	7z	7z	1
234	55	55	1
235	A	A	1
236	S		0
237	D	5	0
238	8i	d	0
239	73	3i	0
240	N	79	0
241	K	X	0
242	z53	i	0
243	z1z	5i	0
244	F	24	0
245	W	148	0
246	99	99	1
247	75	73	0
248	A	ct	0
249	30	36	0
250	ii	ii	1
251	zz	zz	1
252	54	54	1
253	ib	i6	0
254	zz	zz	1
