pass_reading	canonical	evidence	count	grade
ii	11	crops/0028/hstam_4_h_1411_0028_L07.jpg col17 (pass a)	62	H
zz	22	crops/0028/hstam_4_h_1411_0028_L05.jpg col10 (pass a)	61	M
i6	16	crops/0028/hstam_4_h_1411_0028_L08.jpg col12 (pass a)	36	H
6i	61	crops/0028/hstam_4_h_1411_0028_L08.jpg col30 (pass a)	32	H
3i	31	crops/0028/hstam_4_h_1411_0028_L05.jpg col32 (pass a)	27	H
5i	51	crops/0028/hstam_4_h_1411_0028_L05.jpg col45 (pass a)	26	H
z6	26	crops/0028/hstam_4_h_1411_0028_L05.jpg col29 (pass a)	25	M
7i	71	crops/0028/hstam_4_h_1411_0028_L06.jpg col7 (pass a)	23	H
7z	72	crops/0028/hstam_4_h_1411_0028_L06.jpg col38 (pass a)	23	M
z5	25	crops/0028/hstam_4_h_1411_0028_L05.jpg col39 (pass a)	21	M
4z	42	crops/0028/hstam_4_h_1411_0028_L08.jpg col5 (pass a)	17	M
z	2	crops/0028/hstam_4_h_1411_0028_L07.jpg col37 (pass a)	15	M
z73	273	crops/0028/hstam_4_h_1411_0028_L09.jpg col3 (pass a)	14	M
i5	15	crops/0028/hstam_4_h_1411_0028_L07.jpg col28 (pass b)	12	H
8i	81	crops/0028/hstam_4_h_1411_0028_L06.jpg col46 (pass a)	11	H
8z	82	crops/0028/hstam_4_h_1411_0028_L05.jpg col36 (pass a)	11	M
z9	29	crops/0028/hstam_4_h_1411_0028_L06.jpg col30 (pass b)	10	M
i	1	crops/0028/hstam_4_h_1411_0028_L11.jpg col46 (pass a)	9	H
i0	10	crops/0028/hstam_4_h_1411_0028_L07.jpg col39 (pass b)	9	H
i8	18	crops/0028/hstam_4_h_1411_0028_L07.jpg col11 (pass b)	9	H
4i	41	crops/0028/hstam_4_h_1411_0028_L07.jpg col18 (pass a)	8	H
5z	52	crops/0028/hstam_4_h_1411_0028_L05.jpg col52 (pass a)	8	M
z8	28	crops/0028/hstam_4_h_1411_0028_L14.jpg col7 (pass a)	7	M
zi	21	crops/0028/hstam_4_h_1411_0028_L05.jpg col17 (pass a)	7	M
3z	32	crops/0028/hstam_4_h_1411_0028_L08.jpg col49 (pass a)	6	M
9i	91	crops/0028/hstam_4_h_1411_0028_L11.jpg col30 (pass a)	6	H
z3	23	crops/0028/hstam_4_h_1411_0028_L07.jpg col13 (pass a)	6	M
ziz	212	crops/0028/hstam_4_h_1411_0028_L07.jpg col46 (pass a)	6	M
1z	12	crops/0028/hstam_4_h_1411_0028_L05.jpg col25 (pass a)	5	M
i3	13	crops/0028/hstam_4_h_1411_0028_L08.jpg col13 (pass b)	5	H
0z	02	crops/0028/hstam_4_h_1411_0028_L14.jpg col5 (pass a)	4	M
9z	92	crops/0028/hstam_4_h_1411_0028_L13.jpg col21 (pass a)	4	M
z00	200	crops/0028/hstam_4_h_1411_0028_L09.jpg col6 (pass b)	4	M
z35	235	crops/0028/hstam_4_h_1411_0028_L07.jpg col2 (pass a)	4	M
z7	27	crops/0028/hstam_4_h_1411_0028_L12.jpg col23 (pass a)	4	M
i37	137	crops/0028/hstam_4_h_1411_0028_L08.jpg col25 (pass b)	3	H
6z	62	crops/0028/hstam_4_h_1411_0028_L11.jpg col4 (pass a)	2	M
9zz	922	crops/0030/hstam_4_h_1411_0030_L12.jpg col12 (pass b)	2	M
z53	253	crops/0028/hstam_4_h_1411_0028_L09.jpg col32 (pass a)	2	M
10z	102	crops/0028/hstam_4_h_1411_0028_L09.jpg col4 (pass a)	1	M
7zz	722	crops/0030/hstam_4_h_1411_0030_L08.jpg col9 (pass b)	1	M
8zi	821	crops/0028/hstam_4_h_1411_0028_L13.jpg col19 (pass b)	1	M
i03	103	crops/0028/hstam_4_h_1411_0028_L09.jpg col4 (pass b)	1	H
i48	148	crops/0030/hstam_4_h_1411_0030_L09.jpg col42 (pass b)	1	H
i49	149	crops/0028/hstam_4_h_1411_0028_L08.jpg col40 (pass b)	1	H
i78	178	crops/0030/hstam_4_h_1411_0030_L12.jpg col15 (pass a)	1	H
i7i	171	crops/0030/hstam_4_h_1411_0030_L13.jpg col12 (pass b)	1	H
i87	187	crops/0028/hstam_4_h_1411_0028_L10.jpg col30 (pass b)	1	H
i9	19	crops/0030/hstam_4_h_1411_0030_L11.jpg col47 (pass b)	1	H
i93	193	crops/0028/hstam_4_h_1411_0028_L07.jpg col42 (pass b)	1	H
z1z	212	crops/0028/hstam_4_h_1411_0028_L09.jpg col33 (pass a)	1	M
z39	239	crops/0030/hstam_4_h_1411_0030_L13.jpg col23 (pass b)	1	M
z4	24	crops/0030/hstam_4_h_1411_0030_L09.jpg col41 (pass b)	1	M
z40	240	crops/0030/hstam_4_h_1411_0030_L06.jpg col36 (pass a)	1	M
z55	255	crops/0028/hstam_4_h_1411_0028_L10.jpg col2 (pass b)	1	M
z74	274	crops/0030/hstam_4_h_1411_0030_L09.jpg col38 (pass b)	1	M
z78	278	crops/0030/hstam_4_h_1411_0030_L08.jpg col40 (pass a)	1	M
zz7	227	crops/0030/hstam_4_h_1411_0030_L06.jpg col5 (pass a)	1	M
zzz	222	crops/0030/hstam_4_h_1411_0030_L08.jpg col41 (pass b)	1	M
