code	plaintext	confidence	note
11	a	H	
21	a	H	
31	a	H	
51	b	H	
61	b	H	
71	b	H	
71	c	H	overlaps with b (71 also listed under c in source)
81	c	H	
91	c	H	
12	d	H	
22	d	H	
32	d	H	
42	e	H	
52	e	H	
62	e	H	
72	f	H	
82	f	H	
92	f	H	
13	g	H	
23	g	H	
33	g	H	
43	h	H	
53	h	H	
63	h	H	
73	i	H	
83	i	H	
93	i	H	
14	j	H	
24	j	H	
34	j	H	
44	k	H	
54	k	H	
64	k	H	
74	l	H	
84	l	H	
94	l	H	
15	m	H	
25	m	H	
35	m	H	
45	n	H	
55	n	H	
65	n	H	
75	o	H	
85	o	H	
95	o	H	
16	p	H	
26	p	H	
36	p	H	
46	q	H	
56	q	H	
66	q	H	
76	r	H	
86	r	H	
96	r	H	
17	s	H	
27	s	H	
37	s	H	
47	t	H	
57	t	H	
67	t	H	
77	u	H	
87	u	H	
97	u	H	
18	v	H	
28	v	H	
38	v	H	
48	x	H	
58	x	H	
68	x	H	
78	y	H	
88	y	H	
98	y	H	
19	z	H	
29	z	H	
39	z	H	
49	ch	H	
59	ch	H	
69	ch	H	
79	ph	H	
89	ph	H	
99	ph	H	
10	NULL/numeral-marker	M	the row "10.20.30.40.50.60.70.80.90" is captioned 'die Zahlen' (numerals); reserved, not assigned to a letter
20	NULL/numeral-marker	M	
30	NULL/numeral-marker	M	
40	NULL/numeral-marker	M	
50	NULL/numeral-marker	M	
60	NULL/numeral-marker	M	
70	NULL/numeral-marker	M	
80	NULL/numeral-marker	M	
90	NULL/numeral-marker	M	
