line	col	A	B	flagged	crop
hstam_4_h_1411_0016_L06	1	[PLAIN:alß nichts fein theil ist in Reichs protection genommen ist, so]	[PLAIN:als nichts sein theil ist in Schwedische protection genommen wird, so]		crops/0016/hstam_4_h_1411_0016_L06.jpg
hstam_4_h_1411_0016_L06	3	08	98		crops/0016/hstam_4_h_1411_0016_L06.jpg
hstam_4_h_1411_0016_L07	2	4	y	AB	crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	4	87	84		crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	6	z07	20z	A	crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	11	53	63		crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	13	70	-		crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	14	54	7054		crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	29	10	16		crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	31	70	79		crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L07	33	10	06		crops/0016/hstam_4_h_1411_0016_L07.jpg
hstam_4_h_1411_0016_L08	2	H	-	A	crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	3	40	-		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	4	94	-		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	5	z0	-	A	crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	6	13	ILLEGIBLE		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	7	6	ILLEGIBLE		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	13	[PLAIN:Lud.]	[PLAIN:Rud]		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	14	235	z235	AB	crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	16	1	-		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	18	z1	ji	AB	crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	21	96	90		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	24	N	-		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	25	51	N5		crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	26	z1	91	A	crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	30	25	15	A	crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	33	27	-	A	crops/0016/hstam_4_h_1411_0016_L08.jpg
hstam_4_h_1411_0016_L08	34	55	-		crops/0016/hstam_4_h_1411_0016_L08.jpg
