line	col	A	B	flagged	crop
45	1	42	44		
45	4	42	43		
45	6	10	16		
45	9	-	7		
45	20	P	H		
45	24	53	51		
45	28	7	1		
45	34	18	16		
45	35	10	16		
45	39	T	2		
46	2	2	-		
46	3	1	-		
46	7	2	-		
46	10	6	-		
46	11	2	62		
46	16	2	-		
46	22	2	-		
46	23	5	25		
46	24	7	61		
46	33	2	-		
46	34	5	25		
46	35	22	24		
46	42	1	-		
46	43	22	1zz		
47	3	22	-		
47	5	2	23		
47	6	0	30		
47	9	42	44		
47	10	2	22		
47	22	15	35		
47	28	7	-		
47	29	2	72		
47	44	45	-		
47	45	2	43		
47	46	6	26		
48	1	6	-		
48	2	22	-		
48	3	2	-		
48	4	0	6zz		
48	5	2	70		
48	6	90	200		
48	8	15	16		
48	12	-	Und		
48	13	90	29		
48	15	1	-		
48	16	88	188		
48	19	2	z1		
48	25	90	Und		
48	28	7	-		
48	29	2	72		
48	30	55	66		
48	31	2	24		
48	39	7	9		
49	1	-	97		
49	2	-	91		
49	3	-	19		
49	4	-	13		
49	5	-	35		
49	6	F	E		
49	8	-	zit		
49	9	ILLEGIBLE	and		
49	21	71	7		
49	31	ILLEGIBLE	O		
49	40	7	72		
49	42	ILLEGIBLE	-		
50	1	-	97		
50	2	-	91		
50	3	-	19		
50	4	-	13		
50	5	-	35		
50	18	30	36		
50	35	5	-		
50	36	2	52		
50	40	7	-		
50	41	2	72		
51	4	7	-		
51	5	2	72		
51	7	ILLEGIBLE	A		
51	10	-	9		
51	20	32	36		
51	21	71	9		
51	27	[PLAIN:minirt das Rothfalt muß und zu Ihrem Jüngsten]	[PLAIN:meinem dem Rathfaltmus und Erndorffs Jungshans]		
