line	pos	sign
hstam_4_h_1411_0016_L15	1	45
hstam_4_h_1411_0016_L15	2	49
hstam_4_h_1411_0016_L15	3	9
hstam_4_h_1411_0016_L15	4	60
hstam_4_h_1411_0016_L15	5	83
hstam_4_h_1411_0016_L15	6	z6
hstam_4_h_1411_0016_L15	7	84
hstam_4_h_1411_0016_L15	8	63
hstam_4_h_1411_0016_L15	9	z6
hstam_4_h_1411_0016_L15	10	36
hstam_4_h_1411_0016_L15	11	35
hstam_4_h_1411_0016_L15	12	63
hstam_4_h_1411_0016_L15	13	N?
hstam_4_h_1411_0016_L15	14	70
hstam_4_h_1411_0016_L15	15	80
hstam_4_h_1411_0016_L15	16	z6
hstam_4_h_1411_0016_L15	17	51?
hstam_4_h_1411_0016_L15	18	03?
hstam_4_h_1411_0016_L15	19	90
hstam_4_h_1411_0016_L15	20	z1
hstam_4_h_1411_0016_L15	21	z9
hstam_4_h_1411_0016_L15	22	15?
hstam_4_h_1411_0016_L15	23	z1
hstam_4_h_1411_0016_L15	24	70
hstam_4_h_1411_0016_L15	25	R
hstam_4_h_1411_0016_L15	26	84?
hstam_4_h_1411_0016_L16	1	N
hstam_4_h_1411_0016_L16	2	84
hstam_4_h_1411_0016_L16	3	13?
hstam_4_h_1411_0016_L16	4	70?
hstam_4_h_1411_0016_L16	5	70
hstam_4_h_1411_0016_L16	6	44
hstam_4_h_1411_0016_L16	7	25
hstam_4_h_1411_0016_L16	8	84
hstam_4_h_1411_0016_L16	9	4z?
hstam_4_h_1411_0016_L16	10	9z?
hstam_4_h_1411_0016_L16	11	73
hstam_4_h_1411_0016_L16	12	83
hstam_4_h_1411_0016_L16	13	11
hstam_4_h_1411_0016_L16	14	z9
hstam_4_h_1411_0016_L16	15	ILLEGIBLE
hstam_4_h_1411_0016_L16	16	43?
hstam_4_h_1411_0016_L16	17	79
hstam_4_h_1411_0016_L16	18	56
hstam_4_h_1411_0016_L16	19	V
hstam_4_h_1411_0016_L16	20	83
hstam_4_h_1411_0016_L16	21	84
hstam_4_h_1411_0016_L16	22	63
hstam_4_h_1411_0016_L17	1	z1
hstam_4_h_1411_0016_L17	2	9?
hstam_4_h_1411_0016_L17	3	39
hstam_4_h_1411_0016_L17	4	99
hstam_4_h_1411_0016_L17	5	74
hstam_4_h_1411_0016_L17	6	188?
hstam_4_h_1411_0016_L17	7	11
hstam_4_h_1411_0016_L17	8	zz
hstam_4_h_1411_0016_L17	9	7z?
hstam_4_h_1411_0016_L17	10	55
hstam_4_h_1411_0016_L17	11	30
hstam_4_h_1411_0016_L17	12	60?
hstam_4_h_1411_0016_L17	13	36
hstam_4_h_1411_0016_L17	14	38
hstam_4_h_1411_0016_L17	15	47
hstam_4_h_1411_0016_L17	16	99
hstam_4_h_1411_0016_L17	17	95
hstam_4_h_1411_0016_L17	18	65
hstam_4_h_1411_0016_L17	19	1?
hstam_4_h_1411_0016_L17	20	5z?
hstam_4_h_1411_0016_L17	21	4z?
hstam_4_h_1411_0016_L17	22	48
hstam_4_h_1411_0016_L17	23	83
hstam_4_h_1411_0016_L17	24	76
hstam_4_h_1411_0016_L18	1	40
hstam_4_h_1411_0016_L18	2	58
hstam_4_h_1411_0016_L18	3	z7
hstam_4_h_1411_0016_L18	4	84
hstam_4_h_1411_0016_L18	5	4z?
hstam_4_h_1411_0016_L18	6	48
hstam_4_h_1411_0016_L18	7	z1
hstam_4_h_1411_0016_L18	8	1z?
hstam_4_h_1411_0016_L18	9	z
hstam_4_h_1411_0016_L18	10	89
hstam_4_h_1411_0016_L18	11	8z?
hstam_4_h_1411_0016_L18	12	35
hstam_4_h_1411_0016_L18	13	B
hstam_4_h_1411_0016_L18	14	76
hstam_4_h_1411_0016_L18	15	61?
hstam_4_h_1411_0016_L18	16	z5
hstam_4_h_1411_0016_L18	17	65
hstam_4_h_1411_0016_L18	18	N
hstam_4_h_1411_0016_L18	19	z6
hstam_4_h_1411_0016_L18	20	61?
hstam_4_h_1411_0016_L18	21	04?
hstam_4_h_1411_0016_L18	22	57
hstam_4_h_1411_0016_L18	23	70
hstam_4_h_1411_0016_L18	24	74
hstam_4_h_1411_0016_L18	25	36?
hstam_4_h_1411_0016_L18	26	7z?
hstam_4_h_1411_0016_L18	27	57?
hstam_4_h_1411_0016_L18	28	29?
hstam_4_h_1411_0016_L18	29	78?
hstam_4_h_1411_0016_L18	30	30?
hstam_4_h_1411_0016_L19	1	70
hstam_4_h_1411_0016_L19	2	44
hstam_4_h_1411_0016_L19	3	54
hstam_4_h_1411_0016_L19	4	61?
hstam_4_h_1411_0016_L19	5	27
hstam_4_h_1411_0016_L19	6	X
hstam_4_h_1411_0016_L19	7	41?
hstam_4_h_1411_0016_L19	8	61?
hstam_4_h_1411_0016_L19	9	z6
hstam_4_h_1411_0016_L19	10	18
hstam_4_h_1411_0016_L19	11	35
hstam_4_h_1411_0016_L19	12	25
hstam_4_h_1411_0016_L19	13	27?
hstam_4_h_1411_0016_L19	14	48
hstam_4_h_1411_0016_L19	15	44
hstam_4_h_1411_0016_L19	16	18?
hstam_4_h_1411_0016_L19	17	11
hstam_4_h_1411_0016_L19	18	16?
hstam_4_h_1411_0016_L19	19	27
hstam_4_h_1411_0016_L19	20	55
hstam_4_h_1411_0016_L19	21	77
hstam_4_h_1411_0016_L19	22	67
hstam_4_h_1411_0016_L19	23	84?
hstam_4_h_1411_0016_L19	24	97
hstam_4_h_1411_0016_L19	25	z8
hstam_4_h_1411_0016_L19	26	56
hstam_4_h_1411_0016_L19	27	W
hstam_4_h_1411_0016_L19	28	10?
hstam_4_h_1411_0016_L19	29	30
hstam_4_h_1411_0016_L20	1	55
hstam_4_h_1411_0016_L20	2	32?
hstam_4_h_1411_0016_L20	3	79
hstam_4_h_1411_0016_L20	4	58
hstam_4_h_1411_0016_L20	5	65
hstam_4_h_1411_0016_L20	6	X
hstam_4_h_1411_0016_L20	7	35
hstam_4_h_1411_0016_L20	8	44?
hstam_4_h_1411_0016_L20	9	93
hstam_4_h_1411_0016_L20	10	z5
hstam_4_h_1411_0016_L20	11	z7
hstam_4_h_1411_0016_L20	12	30
hstam_4_h_1411_0016_L20	13	6?
hstam_4_h_1411_0016_L20	14	X
hstam_4_h_1411_0016_L20	15	X
hstam_4_h_1411_0016_L20	16	67
hstam_4_h_1411_0016_L20	17	36
hstam_4_h_1411_0016_L20	18	24?
hstam_4_h_1411_0016_L20	19	S
hstam_4_h_1411_0016_L20	20	50
hstam_4_h_1411_0016_L20	21	57?
hstam_4_h_1411_0016_L20	22	84
hstam_4_h_1411_0016_L20	23	63
hstam_4_h_1411_0016_L20	24	75?
hstam_4_h_1411_0016_L20	25	44?
hstam_4_h_1411_0016_L20	26	66?
hstam_4_h_1411_0016_L20	27	90
hstam_4_h_1411_0016_L20	28	41?
hstam_4_h_1411_0016_L20	29	16?
hstam_4_h_1411_0016_L20	30	44?
hstam_4_h_1411_0016_L21	1	40
hstam_4_h_1411_0016_L21	2	84
hstam_4_h_1411_0016_L21	3	38
hstam_4_h_1411_0016_L21	4	10?
hstam_4_h_1411_0016_L21	5	56
hstam_4_h_1411_0016_L21	6	76
hstam_4_h_1411_0016_L21	7	49
hstam_4_h_1411_0016_L21	8	z5
hstam_4_h_1411_0016_L21	9	j?
hstam_4_h_1411_0016_L21	10	11
hstam_4_h_1411_0016_L21	11	49?
hstam_4_h_1411_0016_L21	12	44?
hstam_4_h_1411_0016_L21	13	84
hstam_4_h_1411_0016_L21	14	4H?
hstam_4_h_1411_0016_L21	15	6
hstam_4_h_1411_0016_L21	16	D
hstam_4_h_1411_0016_L21	17	z5
hstam_4_h_1411_0016_L21	18	V
hstam_4_h_1411_0016_L21	19	N
hstam_4_h_1411_0016_L21	20	13
hstam_4_h_1411_0016_L21	21	60
hstam_4_h_1411_0016_L21	22	S
hstam_4_h_1411_0016_L21	23	77?
hstam_4_h_1411_0016_L21	24	40?
hstam_4_h_1411_0016_L21	25	55?
hstam_4_h_1411_0016_L21	26	15?
hstam_4_h_1411_0016_L21	27	16?
hstam_4_h_1411_0016_L21	28	zz
hstam_4_h_1411_0016_L21	29	335?
hstam_4_h_1411_0016_L22	1	99
hstam_4_h_1411_0016_L22	2	94
hstam_4_h_1411_0016_L22	3	48
hstam_4_h_1411_0016_L22	4	z7
hstam_4_h_1411_0016_L22	5	70
hstam_4_h_1411_0016_L22	6	zz
hstam_4_h_1411_0016_L22	7	79
hstam_4_h_1411_0016_L22	8	97
hstam_4_h_1411_0016_L22	9	44?
hstam_4_h_1411_0016_L22	10	35?
hstam_4_h_1411_0016_L22	11	N
hstam_4_h_1411_0016_L22	12	z0?
hstam_4_h_1411_0016_L22	13	i?
hstam_4_h_1411_0016_L22	14	36
hstam_4_h_1411_0016_L22	15	44
hstam_4_h_1411_0016_L22	16	z7
hstam_4_h_1411_0016_L22	17	V
hstam_4_h_1411_0016_L22	18	56?
hstam_4_h_1411_0016_L22	19	X
hstam_4_h_1411_0016_L22	20	i5?
hstam_4_h_1411_0016_L22	21	55
hstam_4_h_1411_0016_L22	22	83
hstam_4_h_1411_0016_L22	23	z6?
hstam_4_h_1411_0016_L22	24	78
hstam_4_h_1411_0016_L22	25	69
hstam_4_h_1411_0016_L22	26	54
hstam_4_h_1411_0016_L22	27	61?
hstam_4_h_1411_0016_L22	28	63
hstam_4_h_1411_0016_L22	29	82
hstam_4_h_1411_0016_L23	1	61?
hstam_4_h_1411_0016_L23	2	H
hstam_4_h_1411_0016_L23	3	z9?
hstam_4_h_1411_0016_L23	4	79
hstam_4_h_1411_0016_L23	5	65
hstam_4_h_1411_0016_L23	6	8z?
hstam_4_h_1411_0016_L23	7	87
hstam_4_h_1411_0016_L23	8	L
hstam_4_h_1411_0016_L23	9	74
hstam_4_h_1411_0016_L23	10	36?
hstam_4_h_1411_0016_L23	11	N
hstam_4_h_1411_0016_L23	12	z8
hstam_4_h_1411_0016_L23	13	76?
hstam_4_h_1411_0016_L23	14	30?
hstam_4_h_1411_0016_L23	15	74?
hstam_4_h_1411_0016_L23	16	36?
hstam_4_h_1411_0016_L23	17	97
hstam_4_h_1411_0016_L23	18	54
hstam_4_h_1411_0016_L23	19	84
hstam_4_h_1411_0016_L23	20	24?
hstam_4_h_1411_0016_L23	21	60
hstam_4_h_1411_0016_L23	22	52?
hstam_4_h_1411_0016_L23	23	58
hstam_4_h_1411_0016_L23	24	z4?
hstam_4_h_1411_0016_L23	25	84?
hstam_4_h_1411_0016_L23	26	30
hstam_4_h_1411_0016_L23	27	O
hstam_4_h_1411_0016_L23	28	16?
hstam_4_h_1411_0016_L23	29	z1?
