line	pos	sign
hstam_4_h_1411_0023_L14	1	ILLEGIBLE
hstam_4_h_1411_0023_L14	2	98
hstam_4_h_1411_0023_L14	3	79
hstam_4_h_1411_0023_L14	4	78
hstam_4_h_1411_0023_L14	5	N
hstam_4_h_1411_0023_L14	6	z6
hstam_4_h_1411_0023_L14	7	84
hstam_4_h_1411_0023_L14	8	z5
hstam_4_h_1411_0023_L14	9	39
hstam_4_h_1411_0023_L14	10	z4
hstam_4_h_1411_0023_L14	11	48
hstam_4_h_1411_0023_L14	12	30
hstam_4_h_1411_0023_L14	13	31
hstam_4_h_1411_0023_L14	14	58
hstam_4_h_1411_0023_L14	15	4z
hstam_4_h_1411_0023_L14	16	56
hstam_4_h_1411_0023_L14	17	41
hstam_4_h_1411_0023_L14	18	97
hstam_4_h_1411_0023_L14	19	S
hstam_4_h_1411_0023_L14	20	13
hstam_4_h_1411_0023_L14	21	z7
hstam_4_h_1411_0023_L14	22	49
hstam_4_h_1411_0023_L14	23	4z
hstam_4_h_1411_0023_L14	24	z3
hstam_4_h_1411_0023_L14	25	58
hstam_4_h_1411_0023_L14	26	83
hstam_4_h_1411_0023_L14	27	z7
hstam_4_h_1411_0023_L14	28	70
hstam_4_h_1411_0023_L14	29	57
hstam_4_h_1411_0023_L14	30	z6
hstam_4_h_1411_0023_L14	31	44
hstam_4_h_1411_0023_L14	32	30
hstam_4_h_1411_0023_L14	33	z7
hstam_4_h_1411_0023_L14	34	56
hstam_4_h_1411_0023_L14	35	z7
hstam_4_h_1411_0023_L15	1	72
hstam_4_h_1411_0023_L15	2	84
hstam_4_h_1411_0023_L15	3	97
hstam_4_h_1411_0023_L15	4	9z
hstam_4_h_1411_0023_L15	5	z8
hstam_4_h_1411_0023_L15	6	83
hstam_4_h_1411_0023_L15	7	O
hstam_4_h_1411_0023_L15	8	Y
hstam_4_h_1411_0023_L15	9	31
hstam_4_h_1411_0023_L15	10	83
hstam_4_h_1411_0023_L15	11	11
hstam_4_h_1411_0023_L15	12	94
