line	pos	sign
5	1	73
5	2	79
5	3	71
5	4	79
5	5	56
5	6	68
5	7	D
5	8	11
5	9	88
5	10	zz
5	11	90
5	12	57
5	13	70
5	14	30
5	15	98
5	16	35
5	17	zi
5	18	99
5	19	71
5	20	95
5	21	70
5	22	55
5	23	15
5	24	60
5	25	1z
5	26	11
5	27	Ct
5	28	#
5	29	z6
5	30	30
5	31	Q
5	32	3i
5	33	58
5	34	35
5	35	85
5	36	8z
5	37	66
5	38	V6
5	39	z5
5	40	S
5	41	86
5	42	1z
5	43	39
5	44	N
5	45	5i
5	46	65
5	47	ILLEGIBLE
5	48	3
5	49	40
5	50	zz
5	51	99
5	52	5z
6	1	zz
6	2	60
6	3	98
6	4	V
6	5	Hf
6	6	zz
6	7	7i
6	8	zz
6	9	5i
6	10	79
6	11	30
6	12	38
6	13	5i
6	14	84
6	15	25
6	16	7i
6	17	73
6	18	30
6	19	18
6	20	60
6	21	15
6	22	30
6	23	N
6	24	60
6	25	70
6	26	93
6	27	84
6	28	tt
6	29	Fz
6	30	73
6	31	40
6	32	29
6	33	zz
6	34	37
6	35	70
6	36	L
6	37	61
6	38	7z
6	39	39
6	40	M
6	41	35
6	42	O
6	43	43
6	44	16
6	45	99
6	46	8i
6	47	zz
6	48	9
6	49	84
6	50	83
6	51	87
6	52	98
6	53	30
7	1	N
7	2	z35
7	3	29
7	4	5i
7	5	10
7	6	16
7	7	7
7	8	36
7	9	56
7	10	z6
7	11	16
7	12	30
7	13	z3
7	14	30
7	15	z6
7	16	56
7	17	ii
7	18	4i
7	19	54
7	20	73
7	21	Rib
7	22	77
7	23	7z
7	24	7i
7	25	99
7	26	B
7	27	29
7	28	55
7	29	tt
7	30	15
7	31	70
7	32	zz
7	33	13
7	34	79
7	35	63
7	36	98
7	37	z
7	38	78
7	39	36
7	40	N
7	41	70
7	42	10
7	43	16
7	44	30
7	45	193
7	46	ziz
7	47	O
7	48	88
8	1	38
8	2	51
8	3	du
8	4	107
8	5	4z
8	6	36
8	7	L
8	8	z6
8	9	30
8	10	ii
8	11	zz
8	12	i6
8	13	31
8	14	13
8	15	73
8	16	Vz
8	17	z6
8	18	25
8	19	8d
8	20	G
8	21	60
8	22	55
8	23	10
8	24	16
8	25	97
8	26	137
8	27	i6
8	28	99
8	29	N
8	30	6i
8	31	30
8	32	51
8	33	73
8	34	O
8	35	5z
8	36	37
8	37	ii
8	38	X
8	39	6i
8	40	44
8	41	149
8	42	du
8	43	65
8	44	yi
8	45	7z
8	46	30
8	47	39
8	48	4z
8	49	3z
8	50	ii
9	1	44
9	2	6
9	3	z73
9	4	10z
9	5	E
9	6	n
9	7	z73
9	8	zoo
9	9	du
9	10	z73
9	11	94
9	12	z5
9	13	70
9	14	54
9	15	73
9	16	zz
9	17	77
9	18	99
9	19	tt
9	20	54
9	21	79
9	22	48
9	23	7z
9	24	55
9	25	A
9	26	S
9	27	D
9	28	8i
9	29	73
9	30	N
9	31	K
9	32	z53
9	33	z1z
9	34	F
9	35	W
9	36	99
9	37	75
9	38	A
9	39	30
9	40	ii
9	41	zz
9	42	54
9	43	ib
9	44	zz
9	45	7
9	46	60
9	47	37
9	48	70
9	49	ttt
9	50	4tt
10	1	1z
10	2	30
10	3	30
10	4	66
10	5	O
10	6	55
10	7	30
