line	pos	sign
35	1	39
35	2	10
35	3	40
35	4	88
35	5	10
35	6	39
35	7	z
35	8	z
35	9	38
35	10	51
35	11	16
35	12	44
35	13	S
35	14	D
35	15	37
35	16	11
35	17	30
35	18	60
35	19	16
35	20	30
35	21	58
35	22	z
35	23	z
35	24	29
35	25	16
35	26	30
35	27	z
35	28	z
35	29	36
35	30	44
35	31	z
35	32	15
35	33	88
35	34	z
35	35	z
35	36	60
35	37	16
35	38	30
35	39	23
35	40	71
35	41	z
35	42	z
35	43	60
35	44	16
35	45	30
35	46	73
35	47	26
35	48	61
35	49	z
35	50	z
36	1	O
36	2	61
36	3	72
36	4	16
36	5	44
36	6	37
36	7	73
36	8	79
36	9	63
36	10	[PLAIN:hiet dab allb so muss zufordern sein Vnd hernacher antwortling]
36	11	16
36	12	54
36	13	61
36	14	z
36	15	z
36	16	S
36	17	W
36	18	44
36	19	87
36	20	42
36	21	88
36	22	31
36	23	43
37	1	z
37	2	z
37	3	16
37	4	30
37	5	71
37	6	73
37	7	99
37	8	38
37	9	57
37	10	16
37	11	30
37	12	Und
37	13	168
37	14	11
37	15	32
37	16	16
37	17	30
37	18	76
37	19	16
37	20	76
37	21	61
37	22	H
37	23	48
37	24	z
37	25	z
37	26	73
37	27	67
37	28	86
37	29	75
37	30	38
37	31	73
37	32	R
37	33	61
37	34	24
37	35	26
37	36	39
37	37	z
37	38	z
37	39	26
37	40	16
37	41	z
37	42	z
37	43	98
37	44	61
37	45	z
37	46	z
37	47	71
37	48	B
37	49	16
37	50	H
37	51	ILLEGIBLE
37	52	57
38	1	80
38	2	39
38	3	30
38	4	53
38	5	50
38	6	91
38	7	G
38	8	32
38	9	16
38	10	42
38	11	11
38	12	X
38	13	43
38	14	16
38	15	82
38	16	61
38	17	z
38	18	z
38	19	13
38	20	35
38	21	78
38	22	26
38	23	79
38	24	32
38	25	11
38	26	L
38	27	32
38	28	16
38	29	56
38	30	V
38	31	28
38	32	H
38	33	61
38	34	74
38	35	79
38	36	30
38	37	F
38	38	58
38	39	76
38	40	79
38	41	75
38	42	99
38	43	16
38	44	29
38	45	26
38	46	Und
38	47	55
38	48	10
38	49	43
38	50	16
39	1	30
39	2	16
39	3	z
39	4	z
39	5	16
39	6	26
39	7	32
39	8	16
39	9	30
39	10	32
39	11	16
39	12	z
39	13	z
39	14	[PLAIN:wollest das fromm ding schreiben nach massgab wiederumb alsofort seyn]
39	15	71
39	16	83
39	17	26
39	18	65
39	19	16
39	20	74
39	21	73
39	22	78
39	23	88
40	1	60
40	2	11
40	3	73
40	4	31
40	5	58
40	6	73
40	7	z
40	8	z
40	9	32
40	10	16
40	11	56
40	12	38
40	13	73
40	14	44
40	15	38
40	16	78
40	17	71
40	18	74
40	19	73
40	20	37
40	21	39
40	22	W
40	23	1
40	24	z
40	25	6
40	26	Und
40	27	1
40	28	53
40	29	27
40	30	36
40	31	74
40	32	16
40	33	z
40	34	z
40	35	77
40	36	73
40	37	R
40	38	61
40	39	97
40	40	41
40	41	72
40	42	71
40	43	z
40	44	z
40	45	Und
40	46	37
40	47	36
40	48	16
40	49	76
40	50	70
40	51	99
41	1	41
41	2	13
41	3	11
41	4	6
41	5	40
41	6	71
41	7	50
41	8	16
41	9	99
41	10	26
41	11	54
41	12	61
41	13	72
41	14	16
41	15	z
41	16	z
41	17	37
41	18	16
41	19	30
41	20	27
41	21	16
41	22	z
41	23	z
41	24	7
41	25	45
41	26	76
41	27	72
41	28	36
41	29	16
41	30	188
41	31	42
41	32	26
41	33	A
41	34	95
41	35	53
41	36	66
41	37	21
41	38	25
41	39	79
41	40	39
41	41	H
41	42	11
41	43	55
41	44	z
41	45	z
41	46	38
41	47	16
42	1	21
42	2	16
42	3	56
42	4	16
42	5	61
42	6	z
42	7	z
42	8	3
42	9	56
42	10	88
42	11	3
42	12	16
42	13	30
42	14	53
42	15	78
42	16	70
42	17	26
42	18	52
42	19	84
42	20	36
42	21	56
42	22	38
42	23	78
42	24	16
42	25	71
42	26	11
42	27	X
42	28	84
42	29	63
42	30	88
42	31	X
42	32	30
42	33	39
42	34	O
42	35	55
42	36	L
42	37	16
42	38	29
42	39	A
42	40	X
42	41	X
42	42	76
42	43	9
42	44	78
42	45	79
42	46	72
43	1	25
43	2	73
43	3	28
43	4	97
43	5	26
43	6	2
43	7	61
43	8	z
43	9	z
43	10	81
43	11	39
43	12	W
43	13	Und
43	14	97
43	15	16
43	16	53
43	17	20
43	18	W
43	19	71
43	20	10
43	21	79
43	22	97
43	23	177
43	24	43
43	25	16
43	26	10
43	27	84
43	28	z
43	29	z
43	30	Und
43	31	27
43	32	70
43	33	30
43	34	90
43	35	88
43	36	Y
43	37	z
43	38	z
43	39	61
43	40	76
43	41	30
43	42	71
43	43	38
43	44	51
44	1	11
44	2	z
44	3	61
44	4	30
44	5	99
44	6	6
44	7	z
44	8	16
44	9	44
44	10	98
44	11	73
44	12	44
44	13	79
44	14	83
44	15	4
44	16	z
44	17	11
44	18	A
44	19	76
44	20	25
44	21	36
44	22	z
44	23	43
44	24	16
44	25	44
44	26	98
44	27	11
44	28	[PLAIN:ich diss mahl etwas gewesen]
44	29	27
44	30	73
44	31	N
44	32	73
44	33	72
44	34	63
44	35	55
44	36	44
44	37	61
44	38	74
