line	pos	sign
hstam_4_h_1411_0016_L15	1	45?
hstam_4_h_1411_0016_L15	2	79
hstam_4_h_1411_0016_L15	3	90
hstam_4_h_1411_0016_L15	4	60
hstam_4_h_1411_0016_L15	5	83
hstam_4_h_1411_0016_L15	6	z
hstam_4_h_1411_0016_L15	7	6
hstam_4_h_1411_0016_L15	8	84
hstam_4_h_1411_0016_L15	9	63
hstam_4_h_1411_0016_L15	10	z
hstam_4_h_1411_0016_L15	11	6
hstam_4_h_1411_0016_L15	12	36
hstam_4_h_1411_0016_L15	13	35
hstam_4_h_1411_0016_L15	14	63
hstam_4_h_1411_0016_L15	15	ILLEGIBLE
hstam_4_h_1411_0016_L15	16	70
hstam_4_h_1411_0016_L15	17	80
hstam_4_h_1411_0016_L15	18	z
hstam_4_h_1411_0016_L15	19	6
hstam_4_h_1411_0016_L15	20	11
hstam_4_h_1411_0016_L15	21	03
hstam_4_h_1411_0016_L15	22	ILLEGIBLE
hstam_4_h_1411_0016_L15	23	z
hstam_4_h_1411_0016_L15	24	1
hstam_4_h_1411_0016_L15	25	z
hstam_4_h_1411_0016_L15	26	9
hstam_4_h_1411_0016_L15	27	11
hstam_4_h_1411_0016_L15	28	z
hstam_4_h_1411_0016_L15	29	1
hstam_4_h_1411_0016_L15	30	79
hstam_4_h_1411_0016_L15	31	R
hstam_4_h_1411_0016_L15	32	ILLEGIBLE
hstam_4_h_1411_0016_L15	33	ILLEGIBLE
hstam_4_h_1411_0016_L16	1	N
hstam_4_h_1411_0016_L16	2	84
hstam_4_h_1411_0016_L16	3	z
hstam_4_h_1411_0016_L16	4	3
hstam_4_h_1411_0016_L16	5	70
hstam_4_h_1411_0016_L16	6	70
hstam_4_h_1411_0016_L16	7	44
hstam_4_h_1411_0016_L16	8	z
hstam_4_h_1411_0016_L16	9	5
hstam_4_h_1411_0016_L16	10	84
hstam_4_h_1411_0016_L16	11	4
hstam_4_h_1411_0016_L16	12	z
hstam_4_h_1411_0016_L16	13	9
hstam_4_h_1411_0016_L16	14	z
hstam_4_h_1411_0016_L16	15	73
hstam_4_h_1411_0016_L16	16	83
hstam_4_h_1411_0016_L16	17	11
hstam_4_h_1411_0016_L16	18	z
hstam_4_h_1411_0016_L16	19	9
hstam_4_h_1411_0016_L16	20	ILLEGIBLE
hstam_4_h_1411_0016_L16	21	23
hstam_4_h_1411_0016_L16	22	79
hstam_4_h_1411_0016_L16	23	56
hstam_4_h_1411_0016_L16	24	V
hstam_4_h_1411_0016_L16	25	83
hstam_4_h_1411_0016_L16	26	84
hstam_4_h_1411_0016_L16	27	63
hstam_4_h_1411_0016_L16	28	ILLEGIBLE
hstam_4_h_1411_0016_L17	1	z
hstam_4_h_1411_0016_L17	2	1
hstam_4_h_1411_0016_L17	3	9
hstam_4_h_1411_0016_L17	4	39
hstam_4_h_1411_0016_L17	5	99
hstam_4_h_1411_0016_L17	6	74
hstam_4_h_1411_0016_L17	7	188?
hstam_4_h_1411_0016_L17	8	11
hstam_4_h_1411_0016_L17	9	z
hstam_4_h_1411_0016_L17	10	z
hstam_4_h_1411_0016_L17	11	z
hstam_4_h_1411_0016_L17	12	55
hstam_4_h_1411_0016_L17	13	30
hstam_4_h_1411_0016_L17	14	60
hstam_4_h_1411_0016_L17	15	36
hstam_4_h_1411_0016_L17	16	38
hstam_4_h_1411_0016_L17	17	47
hstam_4_h_1411_0016_L17	18	99
hstam_4_h_1411_0016_L17	19	95
hstam_4_h_1411_0016_L17	20	65
hstam_4_h_1411_0016_L17	21	ILLEGIBLE
hstam_4_h_1411_0016_L17	22	62
