page	block	line	pos	token
0028	dup10	5	1	8
0028	dup10	5	2	73
0028	dup10	5	3	79
0028	dup10	5	4	71
0028	dup10	5	5	79
0028	dup10	5	6	56
0028	dup10	5	7	88
0028	dup10	5	8	D
0028	dup10	5	9	44
0028	dup10	5	10	88
0028	dup10	5	11	zz
0028	dup10	5	12	90
0028	dup10	5	13	57
0028	dup10	5	14	70
0028	dup10	5	15	30
0028	dup10	5	16	98
0028	dup10	5	17	35
0028	dup10	5	18	zi
0028	dup10	5	19	99
0028	dup10	5	20	74
0028	dup10	5	21	93
0028	dup10	5	22	70
0028	dup10	5	23	55
0028	dup10	5	24	15
0028	dup10	5	25	60
0028	dup10	5	26	4z
0028	dup10	5	27	ii
0028	dup10	5	28	Ot
0028	dup10	5	29	#
0028	dup10	5	30	z6
0028	dup10	5	31	30
0028	dup10	5	32	Q
0028	dup10	5	33	5i
0028	dup10	5	34	58
0028	dup10	5	35	35
0028	dup10	5	36	85
0028	dup10	5	37	8z
0028	dup10	5	38	66
0028	dup10	5	39	i6
0028	dup10	5	40	z5
0028	dup10	5	41	S
0028	dup10	5	42	86
0028	dup10	5	43	4z
0028	dup10	5	44	39
0028	dup10	5	45	N
0028	dup10	5	46	8i
0028	dup10	5	47	65
0028	dup10	5	48	z
0028	dup10	5	49	40
0028	dup10	5	50	zz
0028	dup10	5	51	09
0028	dup10	5	52	5z
0028	dup10	6	1	zz
0028	dup10	6	2	60
0028	dup10	6	3	98
0028	dup10	6	4	V
0028	dup10	6	5	Hf
0028	dup10	6	6	zz7i
0028	dup10	6	7	zz5i
0028	dup10	6	8	79
0028	dup10	6	9	30
0028	dup10	6	10	38
0028	dup10	6	11	5i
0028	dup10	6	12	84
0028	dup10	6	13	25
0028	dup10	6	14	7i
0028	dup10	6	15	73
0028	dup10	6	16	30
0028	dup10	6	17	48
0028	dup10	6	18	60
0028	dup10	6	19	15
0028	dup10	6	20	36
0028	dup10	6	21	N
0028	dup10	6	22	60
0028	dup10	6	23	70
0028	dup10	6	24	43
0028	dup10	6	25	84
0028	dup10	6	26	44
0028	dup10	6	27	F
0028	dup10	6	28	zz
0028	dup10	6	29	40
0028	dup10	6	30	z9
0028	dup10	6	31	zz
0028	dup10	6	32	37
0028	dup10	6	33	70
0028	dup10	6	34	L
0028	dup10	6	35	6i
0028	dup10	6	36	4z
0028	dup10	6	37	39
0028	dup10	6	38	M
0028	dup10	6	39	35
0028	dup10	6	40	D
0028	dup10	6	41	43
0028	dup10	6	42	i6
0028	dup10	6	43	99
0028	dup10	6	44	8i
0028	dup10	6	45	z9
0028	dup10	6	46	84
0028	dup10	6	47	8z
0028	dup10	6	48	87
0028	dup10	6	49	98
0028	dup10	6	50	30
0028	dup10	7	1	N
0028	dup10	7	2	z35
0028	dup10	7	3	z9
0028	dup10	7	4	5i
0028	dup10	7	5	18
0028	dup10	7	6	48
0028	dup10	7	7	73
0028	dup10	7	8	36
0028	dup10	7	9	56
0028	dup10	7	10	z6
0028	dup10	7	11	i8
0028	dup10	7	12	3673
0028	dup10	7	13	30
0028	dup10	7	14	z6
0028	dup10	7	15	53
0028	dup10	7	16	ii
0028	dup10	7	17	4i
0028	dup10	7	18	54
0028	dup10	7	19	73
0028	dup10	7	20	Ki6
0028	dup10	7	21	77
0028	dup10	7	22	7z7i
0028	dup10	7	23	99
0028	dup10	7	24	B
0028	dup10	7	25	z9
0028	dup10	7	26	55
0028	dup10	7	27	44
0028	dup10	7	28	i5
0028	dup10	7	29	70
0028	dup10	7	30	zz
0028	dup10	7	31	43
0028	dup10	7	32	79
0028	dup10	7	33	53
0028	dup10	7	34	98
0028	dup10	7	35	78
0028	dup10	7	36	36
0028	dup10	7	37	N
0028	dup10	7	38	70
0028	dup10	7	39	i0
0028	dup10	7	40	i8
0028	dup10	7	41	30
0028	dup10	7	42	i93
0028	dup10	7	43	ziz
0028	dup10	7	44	O
0028	dup10	7	45	88
0028	dup10	8	1	38
0028	dup10	8	2	51
0028	dup10	8	3	Xu3
0028	dup10	8	4	107
0028	dup10	8	5	4z
0028	dup10	8	6	36
0028	dup10	8	7	L
0028	dup10	8	8	z6
0028	dup10	8	9	30
0028	dup10	8	10	ii
0028	dup10	8	11	i6
0028	dup10	8	12	3i
0028	dup10	8	13	i3
0028	dup10	8	14	73
0028	dup10	8	15	Uzz
0028	dup10	8	16	i6
0028	dup10	8	17	z5
0028	dup10	8	18	83
0028	dup10	8	19	G
0028	dup10	8	20	60
0028	dup10	8	21	55
0028	dup10	8	22	i0
0028	dup10	8	23	i6
0028	dup10	8	24	97
0028	dup10	8	25	i37
0028	dup10	8	26	i6
0028	dup10	8	27	99
0028	dup10	8	28	N
0028	dup10	8	29	6i
0028	dup10	8	30	30
0028	dup10	8	31	3i
0028	dup10	8	32	73
0028	dup10	8	33	O
0028	dup10	8	34	5z
0028	dup10	8	35	37
0028	dup10	8	36	ii
0028	dup10	8	37	X
0028	dup10	8	38	6i
0028	dup10	8	39	44
0028	dup10	8	40	i49
0028	dup10	8	41	Xu3
0028	dup10	8	42	65
0028	dup10	8	43	7i
0028	dup10	8	44	z
0028	dup10	8	45	30
0028	dup10	8	46	39
0028	dup10	8	47	44
0028	dup10	8	48	3z
0028	dup10	8	49	ii
0028	dup10	9	1	44
0028	dup10	9	2	6
0028	dup10	9	3	z73
0028	dup10	9	4	i03
0028	dup10	9	5	Enz73
0028	dup10	9	6	z00
0028	dup10	9	7	Xu3
0028	dup10	9	8	z73
0028	dup10	9	9	94
0028	dup10	9	10	z5
0028	dup10	9	11	70
0028	dup10	9	12	54
0028	dup10	9	13	73
0028	dup10	9	14	zz
0028	dup10	9	15	77
0028	dup10	9	16	99
0028	dup10	9	17	T
0028	dup10	9	18	54
0028	dup10	9	19	79
0028	dup10	9	20	487
0028	dup10	9	21	zz
0028	dup10	9	22	55
0028	dup10	9	23	A
0028	dup10	9	24	S
0028	dup10	9	25	D
0028	dup10	9	26	8i
0028	dup10	9	27	73
0028	dup10	9	28	N
0028	dup10	9	29	K
0028	dup10	9	30	z53
0028	dup10	9	31	ziz
0028	dup10	9	32	F
0028	dup10	9	33	W
0028	dup10	9	34	99
0028	dup10	9	35	75
0028	dup10	9	36	A
0028	dup10	9	37	30
0028	dup10	9	38	ii
0028	dup10	9	39	zz
0028	dup10	9	40	54
0028	dup10	9	41	i0
0028	dup10	9	42	zz
0028	dup10	9	43	7z60
0028	dup10	9	44	3770
0028	dup10	9	45	iTT
0028	dup10	9	46	44
0028	dup10	10	1	ii
0028	dup10	10	2	z55
0028	dup10	10	3	30
0028	dup10	10	4	30
0028	dup10	10	5	66
0028	dup10	10	6	O
0028	dup10	10	7	55
0028	dup10	10	8	30
0028	dup10	10	9	38
0028	dup10	10	10	5i
0028	dup10	10	11	87
0028	dup10	10	12	55
0028	dup10	10	13	90
0028	dup10	10	14	7i
0028	dup10	10	15	5i
0028	dup10	10	16	73
0028	dup10	10	17	R
0028	dup10	10	18	6i
0028	dup10	10	19	4z
0028	dup10	10	20	36
0028	dup10	10	21	5z
0028	dup10	10	22	73
0028	dup10	10	23	70
0028	dup10	10	24	7i
0028	dup10	10	25	7755
0028	dup10	10	26	T
0028	dup10	10	27	i6
0028	dup10	10	28	74
0028	dup10	10	29	83
0028	dup10	10	30	i87
0028	dup10	10	31	i6
0028	dup10	10	32	At
0028	dup10	10	33	Xu5
0028	dup10	10	34	40
0028	dup10	10	35	88
0028	dup10	10	36	86
0028	dup10	10	37	i6
0028	dup10	10	38	i5
0028	dup10	10	39	60
0028	dup10	10	40	37
0028	dup10	10	41	36
0028	dup10	10	42	99
0028	dup10	10	43	7773
0028	dup10	10	44	66
0028	dup10	10	45	O
0028	dup10	10	46	77
0028	dup10	10	47	76
0028	dup10	10	48	87
0028	dup10	10	49	65
0028	dup10	11	1	iz55
0028	dup10	11	2	9i
0028	dup10	11	3	6z
0028	dup10	11	4	90
0028	dup10	11	5	58
0028	dup10	11	6	z9
0028	dup10	11	7	3i
0028	dup10	11	8	7z
0028	dup10	11	9	i0
0028	dup10	11	10	83
0028	dup10	11	11	3i
0028	dup10	11	12	ii
0028	dup10	11	13	L
0028	dup10	11	14	94
0028	dup10	11	15	58
0028	dup10	11	16	3i
0028	dup10	11	17	i5
0028	dup10	11	18	66
0028	dup10	11	19	N
0028	dup10	11	20	70
0028	dup10	11	21	88
0028	dup10	11	22	37
0028	dup10	11	23	55
0028	dup10	11	24	W
0028	dup10	11	25	48
0028	dup10	11	26	30
0028	dup10	11	27	55
0028	dup10	11	28	i0
0028	dup10	11	29	9i
0028	dup10	11	30	30
0028	dup10	11	31	78
0028	dup10	11	32	39
0028	dup10	11	33	3i
0028	dup10	11	34	z9
0028	dup10	11	35	37
0028	dup10	11	36	V
0028	dup10	11	37	99
0028	dup10	11	38	ii
0028	dup10	11	39	43
0028	dup10	11	40	Xu3
0028	dup10	11	41	8z
0028	dup10	11	42	39
0028	dup10	11	43	zz
0028	dup10	11	44	73
0028	dup10	11	45	i
0028	dup10	11	46	78
0028	dup10	11	47	G
0028	dup10	11	48	44
0028	dup10	11	49	ii
0028	dup10	12	1	43
0028	dup10	12	2	83
0028	dup10	12	3	ii
0028	dup10	12	4	A
0028	dup10	12	5	40
0028	dup10	12	6	88
0028	dup10	12	7	37
0028	dup10	12	8	i8
0028	dup10	12	9	30
0028	dup10	12	10	38
0028	dup10	12	11	5i
0028	dup10	12	12	73
0028	dup10	12	13	i8
0028	dup10	12	14	30
0028	dup10	12	15	ii
0028	dup10	12	16	D
0028	dup10	12	17	60
0028	dup10	12	18	i8
0028	dup10	12	19	z6
0028	dup10	12	20	37
0028	dup10	12	21	6i
0028	dup10	12	22	30
0028	dup10	12	23	z778
0028	dup10	12	24	83
0028	dup10	12	25	67
0028	dup10	12	26	70
0028	dup10	12	27	zz
0028	dup10	12	28	87
0028	dup10	12	29	i3
0028	dup10	12	30	7997
0028	dup10	12	31	z5
0028	dup10	12	32	35
0028	dup10	12	33	z5
0028	dup10	12	34	37
0028	dup10	12	35	79
0028	dup10	12	36	30
0028	dup10	12	37	T
0028	dup10	12	38	7i
0028	dup10	12	39	ii
0028	dup10	12	40	6i
0028	dup10	12	41	A
0028	dup10	12	42	90
0028	dup10	12	43	V
0028	dup10	12	44	60
0028	dup10	12	45	87
0028	dup10	12	46	4z
0028	dup10	12	47	i8
0028	dup10	13	1	4z
0028	dup10	13	2	39
0028	dup10	13	3	3i
0028	dup10	13	4	X
0028	dup10	13	5	o5
0028	dup10	13	6	45
0028	dup10	13	7	T
0028	dup10	13	8	64
0028	dup10	13	9	68
0028	dup10	13	10	35
0028	dup10	13	11	4z
0028	dup10	13	12	58
0028	dup10	13	13	97
0028	dup10	13	14	68
0028	dup10	13	15	79
0028	dup10	13	16	7zi6
0028	dup10	13	17	73
0028	dup10	13	18	z8
0028	dup10	13	19	8zi
0028	dup10	13	20	zz
0028	dup10	13	21	Xu5
0028	dup10	13	22	55
0028	dup10	13	23	78
0028	dup10	13	24	8z
0028	dup10	13	25	ii
0028	dup10	13	26	z5
0028	dup10	13	27	3i
0028	dup10	13	28	ii
0028	dup10	13	29	60
0028	dup10	13	30	90
0028	dup10	13	31	7i
0028	dup10	13	32	76
0028	dup10	13	33	79
0028	dup10	13	34	9z
0028	dup10	13	35	89
0028	dup10	13	36	T
0028	dup10	13	37	8i
0028	dup10	13	38	83
0028	dup10	13	39	68
0028	dup10	13	40	G
0028	dup10	13	41	44
0028	dup10	13	42	9i
0028	dup10	13	43	i8
0028	dup10	13	44	z
0028	dup10	13	45	8i
0028	dup10	14	1	99
0028	dup10	14	2	90
0028	dup10	14	3	4
0028	dup10	14	4	300
0028	dup10	14	5	0z
0028	dup10	14	6	0z
0028	dup10	14	7	z8
0028	dup10	14	8	55
0028	dup10	14	9	44
0028	dup10	14	10	7
0028	dup10	14	11	36
0028	dup10	14	12	ii
0028	dup10	14	13	6
0028	dup10	14	14	88
0028	dup10	14	15	6i
0028	dup10	14	16	zz
0028	dup10	14	17	L
0028	dup10	14	18	z73
0028	dup10	14	19	z00
0028	dup10	14	20	68
0028	dup10	14	21	733i
0028	dup10	14	22	73
0028	dup10	14	23	z5
0028	dup10	14	24	37
0028	dup10	14	25	6i
0028	dup10	14	26	zz
0028	dup10	14	27	z7
0028	dup10	14	28	36
0028	dup10	14	29	z958
0028	dup10	14	30	35
0028	dup10	14	31	83
0028	dup10	14	32	7z
0028	dup10	14	33	ii
0028	dup10	14	34	i6
0028	dup10	14	35	30
0028	dup10	14	36	z8
0028	dup10	14	37	76
0028	dup10	14	38	45
0028	dup10	14	39	i686
0028	dup10	14	40	88
0028	dup10	14	41	36
0028	dup10	14	42	60
0028	dup10	14	43	88
0028	dup10	14	44	6
0028	dup10	14	45	303z
