line	pos	sign
25	1	A
25	2	S
25	3	B
25	4	51
25	5	73
25	6	R
25	7	16
25	8	zz
25	9	97
25	10	36
25	11	F
25	12	D
25	13	O
25	14	41
25	15	38
25	16	51
25	17	79
25	18	43
25	19	79
25	20	21
25	21	35
25	22	Z
25	23	61
25	24	44
25	25	98
25	26	61
25	27	30
25	28	3z
25	29	16
25	30	zz
25	31	67
25	32	70
25	33	C
25	34	40
25	35	00
25	36	10
25	37	30
25	38	73
25	39	K
25	40	48
25	41	zz
25	42	40
25	43	70
25	44	zz
26	1	Q
26	2	16
26	3	zz
26	4	94
26	5	39
26	6	29
26	7	78
26	8	36
26	9	N
26	10	27
26	11	16
26	12	30
26	13	61
26	14	44
26	15	76
26	16	J
26	17	32
26	18	16
26	19	30
26	20	99
26	21	42
26	22	4z
26	23	16
26	24	21
26	25	25
26	26	91
26	27	79
26	28	43
26	29	16
26	30	25
26	31	61
26	32	44
26	33	79
26	34	W
26	35	77
26	36	42
26	37	60
26	38	40
26	39	98
26	40	55
26	41	30
26	42	27
26	43	36
27	1	Q
27	2	61
27	3	16
27	4	37
27	5	16
27	6	40
27	7	37
27	8	73
27	9	78
27	10	50
27	11	53
27	12	23
27	13	71
27	14	zz
27	15	27
27	16	11
27	17	43
27	18	16
27	19	F
27	20	88
27	21	38
27	22	51
27	23	16
27	24	71
27	25	35
27	26	44
27	27	zz
27	28	05
27	29	15
27	30	7z
27	31	11
27	32	30
27	33	55
27	34	10
27	35	61
27	36	25
27	37	zz
27	38	73
27	39	Y
27	40	44
27	41	11
27	42	44
27	43	99
27	44	55
28	1	ea
28	2	16
28	3	A
28	4	11
28	5	30
28	6	61
28	7	41
28	8	68
28	9	73
28	10	7z
28	11	70
28	12	14
28	13	4z
28	14	70
28	15	zz
28	16	S
28	17	W
28	18	92
28	19	Y
28	20	zz
28	21	16
28	22	51
28	23	71
28	24	43
28	25	16
28	26	15
28	27	Und
28	28	197
28	29	98
28	30	39
28	31	43
28	32	61
28	33	44
28	34	80
28	35	73
28	36	3i
28	37	O
28	38	70
28	39	70
28	40	16
28	41	99
28	42	13
29	1	30
29	2	A
29	3	11
29	4	78
29	5	30
29	6	54
29	7	61
29	8	R
29	9	3zb
29	10	F
29	11	37
29	12	70
29	13	30
29	14	25
29	15	16
29	16	zz
29	17	10
29	18	16
29	19	30
29	20	43
29	21	39
29	22	76
29	23	43
29	24	16
29	25	67
29	26	55
29	27	zz
29	28	38
29	29	5
29	30	79
29	31	76
29	32	37
29	33	11
29	34	36
29	35	60
29	36	F
29	37	N
29	38	zz
29	39	71
29	40	31
29	41	56
29	42	16
29	43	30
30	1	J
30	2	75
30	3	70
30	4	7z
30	5	60
30	6	30
30	7	73
30	8	68
30	9	95
30	10	N
30	11	98
30	12	11
30	13	27
30	14	16
30	15	30
30	16	Y
30	17	44
30	18	99
30	19	70
30	20	W
30	21	16
30	22	44
30	23	zz
30	24	55
30	25	7z
30	26	61
30	27	30
30	28	S
30	29	86
30	30	36
30	31	7z
30	32	zz
30	33	73
30	34	3z
30	35	16
30	36	30
30	37	77
30	38	Y
30	39	83
30	40	253
31	1	250
31	2	D
31	3	60
31	4	4
31	5	14
31	6	60
31	7	27
31	8	11
31	9	16
31	10	73
31	11	91
31	12	25
31	13	11
31	14	O
31	15	16
31	16	zz
31	17	71
31	18	B
31	19	16
31	20	99
31	21	Und
31	22	92
31	23	70
31	24	30
31	25	81
31	26	86
31	27	S
31	28	W
31	29	36
31	30	30
31	31	16
31	32	44
31	33	81
31	34	93
31	35	16
31	36	zz
31	37	137
32	1	14
32	2	61
32	3	16
32	4	30
32	5	zz
32	6	C
32	7	zz
32	8	60
32	9	73
32	10	79
32	11	71
32	12	25
32	13	4z
32	14	73
32	15	25
32	16	77
32	17	16
32	18	H
32	19	Und
32	20	O
32	21	24
32	22	38
32	23	51
32	24	16
32	25	S
32	26	D
32	27	4z
32	28	181
32	29	83
32	30	70
32	31	N
32	32	37
32	33	39
32	34	25
32	35	61
32	36	zz
32	37	67
32	38	73
32	39	25
32	40	B
32	41	29
32	42	84
33	1	39
33	2	90
33	3	30
33	4	16
33	5	60
33	6	13
33	7	J
33	8	61
33	9	11
33	10	zz
33	11	60
33	12	16
33	13	zz
33	14	41
33	15	30
33	16	73
33	17	44
33	18	55
33	19	76
33	20	49
33	21	30
33	22	4z
33	23	55
33	24	zz
33	25	39
33	26	Mc
33	27	85
33	28	N
33	29	53
33	30	66
33	31	4
33	32	18
33	33	##
33	34	G
33	35	F
33	36	63
33	37	11
33	38	41
33	39	5z
33	40	71
33	41	3i
33	42	16
33	43	4z
34	1	21
34	2	27
34	3	G
34	4	21
34	5	77
34	6	73
34	7	70
34	8	16
34	9	54
34	10	61
34	11	30
34	12	60
34	13	S
34	14	N
34	15	88
34	16	B
34	17	48
34	18	H
34	19	37
34	20	Y
34	21	99
34	22	16
34	23	36
34	24	53
34	25	z60
34	26	36
34	27	90
34	28	73
34	29	77
34	30	73
34	31	1
34	32	78
34	33	16
34	34	N
34	35	60
34	36	F
34	37	61
34	38	7z
34	39	16
34	40	60
34	41	3111
34	42	##
