line	pos	sign
5	1	66
5	2	Ↄ
5	3	24
5	4	88
5	5	zz
5	6	90
5	7	37
5	8	70
5	9	30
5	10	98
5	11	35
5	12	zi
5	13	99
5	14	74
5	15	93
5	16	6
5	17	55
5	18	15
5	19	60
5	20	4z
5	21	ii
5	22	ft
5	23	#
5	24	z6
5	25	30
5	26	Ↄ
5	27	zi
5	28	58
5	29	35
5	30	84
5	31	z
5	32	z6
5	33	ib
5	34	z6
5	35	ILLEGIBLE
5	36	18
5	37	73
5	38	78
5	39	4i
5	40	79
5	41	56
6	1	60
6	2	98
6	3	V
6	4	Hf
6	5	z7
6	6	7i
6	7	z5
6	8	79
6	9	30
6	10	38
6	11	5i
6	12	84
6	13	z5
6	14	7i
6	15	73
6	16	30
6	17	48
6	18	60
6	19	15
6	20	36
6	21	Y
6	22	60
6	23	70
6	24	73
6	25	84
6	26	44
6	27	z3
6	28	46
6	29	84
6	30	zz
6	31	37
6	32	70
6	33	ILLEGIBLE
7	1	63
7	2	67
7	3	88
7	4	30
7	5	N
7	6	z35
7	7	z8
7	8	3i
7	9	10
7	10	48
7	11	F
7	12	36
7	13	58
7	14	z6
7	15	16
7	16	3i
7	17	73
7	18	30
7	19	z6
7	20	56
7	21	ii
7	22	4i
7	23	4
7	24	73
7	25	A
7	26	76
7	27	77
7	28	7z
7	29	71
7	30	99
7	31	B
7	32	48
7	33	55
7	34	14
7	35	i5
7	36	70
7	37	zz
7	38	43
7	39	78
7	40	z
7	41	84
8	1	193
8	2	ziz
8	3	O
8	4	88
8	5	38
8	6	51
8	7	ILLEGIBLE
8	8	197
8	9	7zz
8	10	36
8	11	L
8	12	76
8	13	30
8	14	ii
8	15	zz
8	16	i5
8	17	31
8	18	i5
8	19	73
8	20	K
8	21	77
8	22	i6
8	23	25
8	24	8i
8	25	G
8	26	60
8	27	55
8	28	i0
8	29	i6
8	30	97
8	31	i37
8	32	i6
8	33	99
8	34	N
8	35	bi
8	36	30
8	37	zi
8	38	z
8	39	z
8	40	9
8	41	zzz
8	42	78
8	43	36
8	44	N
8	45	70
8	46	i0
8	47	i6
8	48	30
9	1	ILLEGIBLE
9	2	65
9	3	7i
9	4	7z
9	5	30
9	6	89
9	7	44
9	8	3z
9	9	ii
9	10	84
9	11	b
9	12	z73
9	13	193
9	14	e
9	15	n
9	16	z73
9	17	200
9	18	ILLEGIBLE
9	19	z73
9	20	94
9	21	z5
9	22	70
9	23	54
9	24	53
9	25	zz
9	26	77
9	27	99
9	28	ii
9	29	37
9	30	79
9	31	83
9	32	7z
9	33	55
9	34	A
9	35	5
9	36	6
9	37	3
9	38	z74
9	39	X
9	40	6i
9	41	z4
9	42	i48
10	1	99
10	2	73
10	3	jt
10	4	36
10	5	ii
10	6	zz
10	7	54
10	8	i6
10	9	zz
10	10	79
10	11	60
10	12	37
10	13	76
10	14	itt
10	15	44
10	16	8i
10	17	zz
10	18	379
10	19	30
10	20	60
10	21	O
10	22	55
10	23	30
10	24	38
10	25	5i
10	26	b7
10	27	55
10	28	90
10	29	7i
10	30	5i
10	31	73
10	32	R
10	33	bi
10	34	44
10	35	j
10	36	36
10	37	5z
10	38	75
10	39	40
10	40	7i
10	41	77
10	42	55
10	43	E
10	44	i6
10	45	44
10	46	z3
10	47	ii
10	48	ILLEGIBLE
11	1	ILLEGIBLE
11	2	40
11	3	88
11	4	90
11	5	i5
11	6	15
11	7	60
11	8	37
11	9	36
11	10	99
11	11	77
11	12	73
11	13	63
11	14	O
11	15	47
11	16	76
11	17	84
11	18	55
11	19	15
11	20	55
11	21	44
11	22	60
11	23	40
11	24	53
11	25	z9
11	26	6i
11	27	7z
11	28	i6
11	29	83
11	30	3i
11	31	ii
11	32	L
11	33	04
11	34	58
