line	pos	sign	conf	value	grade
f110-1	1	B		i|y	M
f110-1	2	o		i	H
f110-1	3	o		i	H
f110-1	4	h		e	H
f110-1	5	h		e	H
f110-1	6	E		i|y	M
f110-1	7	43		point	H
f110-1	8	e		r	H
f110-1	9	q		u	H
f110-1	10	A		l	H
f110-1	11	a		a	H
f110-1	12	n		l	H
f110-1	13	a		a	H
f110-1	14	o		i	H
f110-1	15	g		u	H
f110-1	16	t		e	H
f110-1	17	BOX		?	U
f110-1	18	f		c|u	M
f110-1	19	L		r	H
f110-1	20	f		c|u	M
f110-1	21	g		u	H
f110-1	22	5		?	U
f110-1	23	o		i	H
f110-1	24	w-		d	H
f110-1	25	t		e	H
f110-1	26	f		c|u	M
f110-1	27	n		l	H
f110-1	28	t		e	H
f110-1	29	c		p	H
f110-1	30	8		g	H
f110-1	31	m		t	H
f110-1	32	d		s	H
f110-1	33	q		u	H
f110-1	34	d		s	H
f110-1	35	J		s	H
f110-1	36	x		e	H
f110-1	37	U		?	U
f110-1	38	t		e	H
f110-1	39	f		c|u	M
f110-1	40	d		s	H
f110-1	41	w-		d	H
f110-1	42	m		t	H
f110-1	43	w-		d	H
f110-1	44	t		e	H
f110-1	45	h		e	H
f110-1	46	7		o	H
f110-1	47	x		e	H
f110-1	48	T=		m|mm	M
f110-1	49	7		o	H
f110-1	50	o		i	H
f110-1	51	d		s	H
f110-1	52	z		?	U
f110-1	53	d		s	H
f110-1	54	6		i|n|s	M
f110-1	55	E		i|y	M
f110-1	56	BOX		?	U
f110-1	57	g		u	H
f110-1	58	m		t	H
f110-1	59	a		a	H
f110-1	60	14		que	H
f110-1	61	t		e	H
f110-1	62	Ze		t	H
f110-2	1	q		u	H
f110-2	2	z		?	U
f110-2	3	J		s	H
f110-2	4	t		e	H
f110-2	5	e		r	H
f110-2	6	h		e	H
f110-2	7	7		o	H
f110-2	8	M		f	H
f110-2	9	t		e	H
f110-2	10	x		e	H
f110-2	11	a		a	H
f110-2	12	s		u	H
f110-2	13	z		?	U
f110-2	14	x		e	H
