line	pos	sign	conf	value	grade
f110-1	1	4+		m	H
f110-1	2	7		o	H
f110-1	3	6		i|n|s	M
f110-1	4	o		i	H
f110-1	5	o		i	H
f110-1	6	8		g	H
f110-1	7	w-		d	H
f110-1	8	e		r	H
f110-1	9	w		?	U
f110-1	10	h		e	H
f110-1	11	8		g	H
f110-1	12	E		i|y	M
f110-1	13	n		l	H
f110-1	14	x		e	H
f110-1	15	t		e	H
f110-1	16	L		r	H
f110-1	17	H		o	H
f110-1	18	o		i	H
f110-1	19	g		u	H
f110-1	20	7		o	H
f110-1	21	BOX		?	U
f110-1	22	d		s	H
f110-1	23	s		u	H
f110-1	24	U		?	U
f110-1	25	e		r	H
f110-1	26	T		?	U
f110-1	27	h		e	H
f110-1	28	e		r	H
f110-1	29	p		?	U
f110-1	30	8		g	H
f110-1	31	t		e	H
f110-1	32	6		i|n|s	M
f110-1	33	f		c|u	M
f110-1	34	o		i	H
f110-1	35	L		r	H
f110-1	36	n		l	H
f110-1	37	o		i	H
f110-1	38	A		l	H
f110-1	39	h		e	H
f110-1	40	m		t	H
f110-1	41	Ze		t	H
f110-1	42	L		r	H
f110-1	43	s		u	H
f110-1	44	w-		d	H
f110-1	45	t		e	H
f110-1	46	e		r	H
f110-1	47	8		g	H
f110-1	48	m		t	H
f110-1	49	t		e	H
f110-1	50	m		t	H
f110-1	51	o		i	H
f110-1	52	h		e	H
f110-1	53	e		r	H
f110-1	54	BOX		?	U
f110-1	55	z		?	U
f110-1	56	q		u	H
f110-1	57	BOX		?	U
f110-1	58	7		o	H
f110-1	59	s		u	H
f110-1	60	n		l	H
f110-1	61	1		?	U
f110-1	62	e		r	H
f110-2	1	z		?	U
f110-2	2	e		r	H
f110-2	3	L		r	H
f110-2	4	E		i|y	M
f110-2	5	Ze		t	H
f110-2	6	h		e	H
f110-2	7	6		i|n|s	M
f110-2	8	q		u	H
f110-2	9	w-		d	H
f110-2	10	t		e	H
f110-2	11	n		l	H
f110-2	12	BOX		?	U
f110-2	13	z		?	U
f110-2	14	R		p	H
f110-2	15	e		r	H
f110-2	16	ff		n|o	M
f110-2	17	c		p	H
f110-2	18	o		i	H
f110-2	19	f		c|u	M
f110-2	20	t		e	H
f110-2	21	t		e	H
f110-2	22	n		l	H
f110-2	23	h		e	H
f110-2	24	c		p	H
f110-2	25	c		p	H
f110-2	26	s		u	H
f110-2	27	q		u	H
f110-2	28	e		r	H
f110-2	29	e		r	H
f110-2	30	o		i	H
f110-2	31	d		s	H
f110-2	32	f		c|u	M
f110-2	33	n		l	H
f110-2	34	t		e	H
f110-2	35	4		?	U
f110-2	36	U		?	U
f110-2	37	.v.		n	H
f110-2	38	E		i|y	M
f110-2	39	.v.		n	H
f110-2	40	Ze		t	H
f110-2	41	w-		d	H
f110-2	42	BOX		?	U
f110-2	43	t		e	H
f110-2	44	z		?	U
f110-2	45	h		e	H
f110-2	46	f		c|u	M
f110-2	47	n		l	H
f110-2	48	7		o	H
f110-2	49	BOX		?	U
f110-2	50	q		u	H
f110-2	51	o		i	H
f110-2	52	ff		n|o	M
f110-2	53	z		?	U
f110-2	54	M		f	H
f110-2	55	o		i	H
f110-2	56	z		?	U
f110-2	57	ff		n|o	M
f110-3	1	4+		m	H
f110-3	2	z		?	U
f110-3	3	h		e	H
f110-3	4	T		?	U
f110-3	5	BOX		?	U
f110-3	6	t		e	H
f110-3	7	q		u	H
f110-3	8	w-		d	H
f110-3	9	h		e	H
f110-3	10	f		c|u	M
f110-3	11	o		i	H
f110-3	12	e		r	H
f110-3	13	n		l	H
f110-3	14	A		l	H
f110-3	15	T		?	U
f110-3	16	c		p	H
f110-3	17	e		r	H
f110-3	18	BOX		?	U
f110-3	19	d		s	H
f110-3	20	n		l	H
f110-3	21	o		i	H
f110-3	22	p		?	U
f110-3	23	L		r	H
f110-3	24	h		e	H
f110-3	25	o		i	H
f110-3	26	t		e	H
f110-3	27	t		e	H
f110-3	28	6		i|n|s	M
f110-3	29	m		t	H
f110-3	30	o		i	H
f110-3	31	BOX		?	U
f110-3	32	h		e	H
f110-3	33	f		c|u	M
f110-3	34	w		?	U
f110-3	35	BOX		?	U
f110-3	36	7		o	H
f110-3	37	s		u	H
f110-3	38	e		r	H
f110-3	39	c		p	H
f110-3	40	BOX		?	U
f110-3	41	h		e	H
f110-3	42	ff		n|o	M
f110-3	43	i		i|e	M
f110-3	44	w		?	U
f110-3	45	BOX		?	U
f110-3	46	o		i	H
f110-3	47	z		?	U
f110-3	48	o		i	H
f110-3	49	B		i|y	M
f110-3	50	m		t	H
f110-3	51	e		r	H
f110-3	52	h		e	H
f110-3	53	z		?	U
f110-3	54	o		i	H
f110-3	55	d		s	H
f110-3	56	e		r	H
f110-3	57	U		?	U
f110-3	58	ff		n|o	M
f110-3	59	7		o	H
f110-3	60	6		i|n|s	M
f110-3	61	z		?	U
f110-3	62	ff		n|o	M
f110-4	1	n		l	H
f110-4	2	t		e	H
f110-4	3	.v.		n	H
f110-4	4	z		?	U
f110-4	5	A		l	H
f110-4	6	m		t	H
f110-4	7	w-		d	H
f110-4	8	h		e	H
f110-4	9	z		?	U
f110-4	10	T		?	U
f110-4	11	o		i	H
f110-4	12	o		i	H
f110-4	13	w-		d	H
f110-4	14	t		e	H
f110-4	15	ff		n|o	M
f110-4	16	7		o	H
f110-4	17	6		i|n|s	M
f110-4	18	z		?	U
f110-4	19	z		?	U
f110-4	20	w-		d	H
f110-4	21	h		e	H
f110-4	22	7		o	H
f110-4	23	f		c|u	M
f110-4	24	t		e	H
f110-4	25	E		i|y	M
f110-4	26	U		?	U
f110-4	27	z		?	U
f110-4	28	e		r	H
f110-4	29	h		e	H
f110-4	30	f		c|u	M
f110-4	31	A		l	H
f110-4	32	T		?	U
f110-4	33	m		t	H
f110-4	34	e		r	H
f110-4	35	ff		n|o	M
f110-4	36	BOX		?	U
f110-4	37	n		l	H
f110-4	38	o		i	H
f110-4	39	4+		m	H
f110-4	40	e		r	H
f110-4	41	t		e	H
f110-4	42	o		i	H
f110-4	43	A		l	H
f110-4	44	B		i|y	M
f110-4	45	m		t	H
f110-5	1	f		c|u	M
f110-5	2	BOX		?	U
f110-5	3	w-		d	H
f110-5	4	e		r	H
f110-5	5	o		i	H
f110-5	6	n		l	H
