line	pos	sign
1	1	79
1	2	441
1	3	497
1	4	853
1	5	1121
1	6	444
1	7	605
1	8	130
1	9	1173
1	10	573
1	11	1027
2	1	140
2	2	1024
2	3	403
2	4	190
2	5	728
2	6	364
2	7	456
2	8	551
2	9	808
2	10	472
2	11	893
3	1	1014
3	2	168
3	3	221
3	4	984
3	5	99
3	6	1021
3	7	1039
3	8	456
3	9	1146
3	10	102
3	11	140
4	1	176
4	2	990
4	3	156
4	4	1104
4	5	585
4	6	748
4	7	125
4	8	1090
4	9	206
4	10	1137
4	11	899
5	1	448
5	2	225
5	3	1126
5	4	882
5	5	511
5	6	50
5	7	270
5	8	708
5	9	140
5	10	104
5	11	987
5	12	393
6	1	627
6	2	493
6	3	403
6	4	550
6	5	594
6	6	527
6	7	196
6	8	333
6	9	628
6	10	306
6	11	1146
6	12	364
7	1	453
7	2	901
7	3	1000
7	4	719
7	5	1136
7	6	1122
7	7	570
7	8	443
7	9	3
7	10	270
7	11	689
7	12	1134
8	1	535
8	2	449
8	3	841
8	4	1008
8	5	607
8	6	1197
8	7	1041
8	8	904
8	9	110
8	10	663
8	11	1122
8	12	929
9	1	904
9	2	824
9	3	1121
9	4	449
9	5	467
9	6	142
9	7	375
9	8	757
9	9	1104
9	10	25
9	11	206
10	1	353
10	2	462
10	3	23
10	4	875
10	5	983
10	6	990
10	7	1160
10	8	79
10	9	441
10	10	497
10	11	1096
10	12	381
11	1	564
11	2	125
11	3	1065
11	4	454
11	5	682
11	6	448
11	7	607
11	8	236
11	9	72
11	10	1169
11	11	1095
12	1	442
12	2	990
12	3	156
12	4	443
12	5	62
12	6	645
12	7	335
12	8	60
12	9	881
12	10	476
12	11	221
12	12	1128
13	1	457
13	2	344
13	3	131
13	4	305
13	5	1197
13	6	998
13	7	590
13	8	350
13	9	130
13	10	984
13	11	1194
14	1	443
14	2	164
14	3	568
14	4	976
14	5	363
14	6	25
14	7	929
14	8	102
14	9	534
14	10	514
14	11	760
15	1	585
15	2	1197
15	3	420
