line	pos	sign	conf	value	grade
1	1	79		?	U
1	2	441		?	U
1	3	497		?	U
1	4	853		?	U
1	5	1121		?	U
1	6	444		l'	M
1	7	605		état	C
1	8	130		?	U
1	9	1173		?	U
1	10	573		?	U
1	11	1027		?	U
2	1	140		de	M
2	2	1024		?	U
2	3	403		?	U
2	4	190		est	M
2	5	728		.	C
2	6	364		?	U
2	7	456		?	U
2	8	551		?	U
2	9	808		Sont	C
2	10	472		e	C
2	11	893		puis	C
3	1	1014		?	U
3	2	168		;	M
3	3	221		l'	C
3	4	984		?	U
3	5	99		n'	C
3	6	1021		?	U
3	7	1039		?	U
3	8	456		?	U
3	9	1146		?	U
3	10	102		peu	M
3	11	140		de	M
4	1	176		?	U
4	2	990		.	C
4	3	156		?	U
4	4	1104		les	C
4	5	585		?	U
4	6	748		?	U
4	7	125		?	U
4	8	1090		A	C
4	9	206		?	U
4	10	1137		?	U
4	11	899		?	U
5	1	448		la	C
5	2	225		De	C
5	3	1126		?	U
5	4	882		?	U
5	5	511		le	C
5	6	50		?	U
5	7	270		?	U
5	8	708		?	U
5	9	140		de	M
5	10	104		l'	C
5	11	987		?	U
5	12	393		r	C
6	1	627		?	U
6	2	493		?	U
6	3	403		?	U
6	4	550		?	U
6	5	594		reçu	C
6	6	527		;	M
6	7	196		il	C
6	8	333		?	U
6	9	628		?	U
6	10	306		?	U
6	11	1146		?	U
6	12	364		?	U
7	1	453		?	U
7	2	901		?	U
7	3	1000		qu'il	C
7	4	719		?	U
7	5	1136		?	U
7	6	1122		le	C
7	7	570		débarquer	C
7	8	443		?	U
7	9	3		?	U
7	10	270		?	U
7	11	689		de	M
7	12	1134		seules	C
8	1	535		?	U
8	2	449		?	U
8	3	841		de	C
8	4	1008		leur	C
8	5	607		mal	M
8	6	1197		.	C
8	7	1041		?	U
8	8	904		?	U
8	9	110		?	U
8	10	663		ai	C
8	11	1122		le	C
8	12	929		?	U
9	1	904		?	U
9	2	824		?	U
9	3	1121		?	U
9	4	449		?	U
9	5	467		?	U
9	6	142		les	C
9	7	375		?	U
9	8	757		?	U
9	9	1104		les	C
9	10	25		a	M
9	11	206		?	U
10	1	353		C.	M
10	2	462		?	U
10	3	23		?	U
10	4	875		ât	M
10	5	983		?	U
10	6	990		.	C
10	7	1160		?	U
10	8	79		?	U
10	9	441		?	U
10	10	497		?	U
10	11	1096		part	M
10	12	381		chargent	C
11	1	564		de	C
11	2	125		?	U
11	3	1065		?	U
11	4	454		et	M
11	5	682		de	C
11	6	448		la	C
11	7	607		mal	M
11	8	236		?	U
11	9	72		?	U
11	10	1169		?	U
11	11	1095		?	U
12	1	442		?	U
12	2	990		.	C
12	3	156		?	U
12	4	443		?	U
12	5	62		?	U
12	6	645		?	U
12	7	335		?	U
12	8	60		tous	C
12	9	881		?	U
12	10	476		?	U
12	11	221		l'	C
12	12	1128		ennemie	C
13	1	457		?	U
13	2	344		?	U
13	3	131		un	C
13	4	305		?	U
13	5	1197		.	C
13	6	998		des	C
13	7	590		?	U
13	8	350		?	U
13	9	130		?	U
13	10	984		?	U
13	11	1194		ages	M
14	1	443		?	U
14	2	164		?	U
14	3	568		ar	C
14	4	976		ri	C
14	5	363		vé	C
14	6	25		a	M
14	7	929		?	U
14	8	102		peu	M
14	9	534		vent	M
14	10	514		?	U
14	11	760		er	M
15	1	585		?	U
15	2	1197		.	C
15	3	420		?	U
