code	value	grade	n	source	note
60	e	M	11	period	passB gloss tally {'en': 1, 'e': 7, 'a': 1, 's': 1, 'n': 1} (7/11 = 64%)
56	a	M	10	period	passB gloss tally {'a': 7, 'r': 2, 'v': 1} (7/10 = 70%)
50	r	C	9	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 1/8 agreement in passB's own tally elsewhere ({'t': 1, 's': 4, 'r': 1, 'q': 1, 'o': 1})
28	s	C	8	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 1/7 agreement in passB's own tally elsewhere ({'p': 2, 's': 1, 'e': 1, 'a': 2, 't': 1})
6	a	C	8	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 4/7 agreement in passB's own tally elsewhere ({'d': 1, 'a': 4, 'l': 1, 'i': 1})
89	n	C	8	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 5/7 agreement in passB's own tally elsewhere ({'n': 5, 'e': 1, 't': 1})
10	e	C	7	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 2/6 agreement in passB's own tally elsewhere ({'s': 3, 'e': 2, 'r': 1})
)1	r	C	6	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 3/5 agreement in passB's own tally elsewhere ({'t': 1, 'r': 3, 'o': 1})
23	[?]	U	6		tied {'m': 2, 'r': 2, 's': 1, 'n': 1}, no majority in passB's own gloss -- left uncoded
3	o	C	6	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 5/5 agreement in passB's own tally elsewhere ({'o': 5})
38	e	C	6	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 4/5 agreement in passB's own tally elsewhere ({'e': 4, 'n': 1})
