line	pos	sign	conf	value	grade
L01	0	89	H	n	C
L01	1	46	H	o	M
L01	2	56	H	a	M
L01	3	13	H	b	C
L01	4	)6	M	y	M
L01	5	60	M	e	M
L01	6	23		[?]	U
L01	7	[blot]		[?]	U
L01	8	15	H	d	M
L01	9	3	H	o	C
L01	10	45	M	n	M
L01	11	24	H	[?]	U
L01	12	35	H	b	C
L01	13	38	H	e	C
L02	0	81	H	a	C
L02	1	6	H	a	C
L02	2	3)	M	d	M
L02	3	16	H	e	C
L02	4	89	H	n	C
L02	5	10	H	e	C
L02	6	50	H	r	C
L02	7	29	H	[?]	U
L02	8	34	H	[?]	U
L02	9	28	H	s	C
L02	10	25	H	[?]	U
L02	11	56	H	a	M
L02	12	)1	M	r	M
L02	13	95	H	[?]	U
L02	14	10	H	e	C
L02	15	94	H	[?]	U
L02	16	)0	M	u	M
L02	17	)5	M	e	M
L03	0	8)	M	p	M
L03	1	12	H	a	M
L03	2	59	H	d	M
L03	3	60	H	e	M
L03	4	[tilde]	M	a	M
L03	5	55	H	b	M
L03	6	60	H	e	M
L03	7	2)	M	r	M
L03	8	88	H	m	M
L03	9	30	H	u	M
L03	10	15	H	d	M
L03	11	)8	M	a	M
L03	12	31	H	x	C
L03	13	90	H	o	M
L03	14	[X]	M	e	M
L03	15	)2	M	r	M
L03	16	51	H	[?]	U
L03	17	60	H	e	M
L04	0	18	H	g	M
L04	1	3	H	o	C
L04	2	30	H	u	M
L04	3	98	H	[?]	U
L04	4	82	H	[?]	U
L04	5	49	H	n	C
L04	6	23	H	[?]	U
L04	7	68	H	o	C
L04	8	14	H	[?]	U
L04	9	46	H	o	M
L04	10	89	H	n	C
L04	11	21	H	l	C
L04	12	56	H	a	M
L04	13	50	H	r	C
L04	14	33	H	[?]	U
L04	15	54	H	y	C
L04	16	21)	M	n	M
L04	17	36)	M	e	M
L04	18	45	M	n	M
L05	0	50	H	r	C
L05	1	)3	M	[?]	U
L05	2	6	H	a	C
L05	3	6)	M	n	M
L05	4	99	H	z	M
L05	5	)6	M	y	M
L05	6	11	H	[?]	U
L05	7	50	H	r	C
L05	8	26	H	[?]	U
L05	9	2	H	u	M
L05	10	38	H	e	C
L05	11	56	H	a	M
L05	12	32	H	y	C
L05	13	94	H	[?]	U
L05	14	60	H	e	M
L05	15	)2	M	r	M
L05	16	12	H	a	M
L05	17	35	H	b	C
L05	18	2)	M	r	M
L05	19	56	H	a	M
L06	0	89	H	n	C
L06	1	22	H	m	C
L06	2	38	H	e	C
L06	3	31	H	x	C
L06	4	3	H	o	C
L06	5	)1	M	r	M
L06	6	10	H	e	C
L06	7	28	H	s	C
L06	8	4)	M	p	M
L06	9	16	H	e	C
L06	10	49	H	n	C
L06	11	68	H	o	C
L06	12	36	H	c	C
L06	13	8	H	o	C
L06	14	6)	M	n	M
L06	15	[triangle]	M	a	M
L06	16	89	H	n	C
L06	17	50	H	r	C
L06	18	32	H	y	C
L06	19	6	H	a	C
L07	0	43	H	l	C
L07	1	)8	M	a	M
L07	2	94	H	[?]	U
L07	3	)0	M	u	M
L07	4	30	H	u	M
L07	5	5	H	[?]	U
L07	6	[Z]	M	y	M
L07	7	13	H	b	C
L07	8	)6	M	y	M
L07	9	60	H	e	M
L07	10	23	H	[?]	U
L07	11	60	H	e	M
L07	12	59	H	d	M
L07	13	38	H	e	C
L07	14	43	H	l	C
L07	15	6)	M	n	M
L07	16	8	H	o	C
L07	17	)1	M	r	M
L08	0	29	H	[?]	U
L08	1	16	H	e	C
L08	2	54	H	y	C
L08	3	15	H	d	M
L08	4	60	H	e	M
L08	5	32	H	y	C
L08	6	51	H	[?]	U
L08	7	6	H	a	C
L08	8	65	H	[?]	U
L08	9	98	H	[?]	U
L08	10	12	H	a	M
L08	11	25	H	[?]	U
L08	12	30	H	u	M
L08	13	5	H	[?]	U
L08	14	28	H	s	C
L08	15	23	H	[?]	U
L08	16	28	H	s	C
L08	17	56	H	a	M
L08	18	)2	M	r	M
L09	0	20	M	a	M
L09	1	45	H	n	M
L09	2	3)	M	d	M
L09	3	60	H	e	M
