query	variant	status	total_items	volume_id	title	author	year	snippet	phrase_in_snippet	logged_url
"Torpadie" chifferskrift	base	200	300	8X4LAAAAIAAJ	Historisk tidskrift		1889	... chifferskrift ( R. TORPADIE ) . 8,376 . Om italienska arkiv och bibliotek ( EL . TEGNER ) . 10,281 . Rålambska handskriftsamlingen på k . biblioteket ( H. WIESELGREN ) . 7,81 . Stralsunds rådsbibliotek . 5,252 . Svenska krigsarkivet . 2&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	3S8rhOEmDIIC	The Codebreakers	David Kahn	1996-12-05	... Gyldén&#39;s in Sweden ; Dr. Carl - Otto Segerdahl , interview , May 1 , 1962 ; Dr. Arne Beurling , interviews , September 17 and November 9 , 1963 , November 21 , 1964 . 478 Torpadie solution : &quot; Några ord om chifferskrift ,	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	X7BVbLaqQesC	Jahresberichte der Geschichtswissenschaft		1891	... Torpadie , R. , Chifferskrift . III , 20518 . Torpson , N. , Folkundervisningen . III , 21270 . Torraca , F. , Discussioni . III , 429 . Torre , L. , Difesa di Casale Monferato . III , 40263 . Toschi , G. B. , Sculture di An- telami&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	28Y9AQAAMAAJ	Personhistorisk tidskrift		1919	... chifferskrift förelåg , bakom hvilken dolde sig uppteckningar på något af de språk en man i Erik Brahes ställning kunde tänkas hafva användt . För att lösa denna chifferskrift ... TORPADIE , Några ord om chiffer- ? Cale : No : d Septu ev . E.	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	yLO0eNT2bU4C	An historical and analytical bibliography of the literature of	Joseph Stanislaus Galland	1945		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	xoqSF8GzYrMC	Historisk tidskrift		1889	... chifferskrift . Af R. Torpadie . Utg . sid . 376- 383 af Historisk Tidskrift 1888 . Inneh . bl . a . upplösning af ett chifferbref från k . Gustaf II Adolf till A. Oxenstierna af d . 23 Juli 1632 . 1120. Svenska folkundervisningens&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	wwcMAAAAIAAJ	An Historical and Analytical Bibliography of the Literature of Cryptology	Northwestern University (Evanston, Ill.)	1945		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	3fAtAAAAIAAJ	Svensk historisk bibliografi		1907	102. Torpadie , R. , Några ord om chifferskrift . Hist . Tidskr . 1888 , s . 376-383 . Inneh . bl . a . upplösning af ett chifferbref från Gustaf II Adolf till Axel Oxenstierna af den 23 juli 1632 . D. Historia . 1 . Tidskrifter . 103&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	0CHWAAAAMAAJ	Ordbok öfver svenska språket	Svenska akademien	1898		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	RgA4AQAAMAAJ	Historisk bibliografi för Sverge		1881		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	A4AQAAAAYAAJ	Historisk bibliografi för Sverige		1889		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	OFI3HQhPPs0C	Jahresberichte der Geschichtswissenschaft	Historische Gesellschaft	1891	... Torpadie gut gelungen.18 ) Nächst Oxenstjerna nimmt der ein wenig jüngere Reichs- Truchsefs , Graf Per Brahe einen ... Torpadie , Några ord om chifferskrift : SvHistTidskr . S. 376-83 . 19 ) K. K. Tigerstedt , Ur Per Brahes&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	NyLEJCJxUkQC	Chifferbyråernas insatser o världskriget till lands	Yves Gyldén	1931	... Torpadie.1 Till dylik litteratur kunna näppeligen räknas ett fåtal akademiska avhandlingar från 1700 - talet , av ... Torpadie , » Några ord om chifferskrift » , i Hist . Tidsskrift VIII , 1888 , 2 &gt;&gt; sid . 376 0. ff . Forelius&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	cqwYP8j_aggC	Jahresberichte der Geschichtswissenschaft		1891	... Torpadie gut gelungen.18 ) - Nächst Oxenstjerna nimmt der ein wenig jüngere Reichs- Truchsefs , Graf Per Brahe einen ... Torpadie , Några ord om chifferskrift : SvHistTidskr . S. 376-83 . 19 ) K. K. Tigerstedt , Ur Per Brahes&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	1FJHAQAAMAAJ	Ordbok öefver svenska spraaket	Svenska akademien	1925		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	kty7AAAAIAAJ	An Annotated Bibliography of Cryptography	David Shulman	1976		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	AIYBAAAAYAAJ	Öfverste Mikael Anckarsvärds minnen från åren 1788-1790	Mikael Anckarsvärd	1892	... Torpadie , R. , Bref om slaget vid Lützen . 1105 . Chifferskrift . 102 . M. Stenbock . 1950 . Torpson , Ν . 4066 . Torstenson , L. 708 . Tottie , H. W. , D. Entwickelung d . Missionslebens in Schweden . 4180 . Jesper Svedberg . 3069&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	d5lmAAAAMAAJ	Historiallinen aikakauskirja		1965	... TorPADIE , R. , Några ord om chifferskrift , HT 1888 , s . 379 ; STÅLHANE , s . 263 ; FREIDEL , H. E. , Chifferboken , ( Skara 1947 ) ; s . 29 , RICHARD , L&#39;Histoire . , s . 629-631 . 51 Ks . esim . Hornien kirjeitä RA , Livonica II&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	WHQZAAAAMAAJ	Svensk historisk bibliografi, 1771-[1920]	Kristian Setterwall	1907		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	base	200	300	GOdAAAAAYAAJ	Svensk historisk bibliografi		1907		False	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US
"Torpadie" chifferskrift	full	200	4	8X4LAAAAIAAJ	Historisk tidskrift		1889	... chifferskrift ( R. TORPADIE ) . 8,376 . Om italienska arkiv och bibliotek ( EL . TEGNER ) . 10,281 . Rålambska handskriftsamlingen på k . biblioteket ( H. WIESELGREN ) . 7,81 . Stralsunds rådsbibliotek . 5,252 . Svenska krigsarkivet . 2&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US&filter=full
"Torpadie" chifferskrift	full	200	4	X7BVbLaqQesC	Jahresberichte der Geschichtswissenschaft		1891	... Torpadie , R. , Chifferskrift . III , 20518 . Torpson , N. , Folkundervisningen . III , 21270 . Torraca , F. , Discussioni . III , 429 . Torre , L. , Difesa di Casale Monferato . III , 40263 . Toschi , G. B. , Sculture di An- telami&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US&filter=full
"Torpadie" chifferskrift	full	200	4	3fAtAAAAIAAJ	Svensk historisk bibliografi		1907	102. Torpadie , R. , Några ord om chifferskrift . Hist . Tidskr . 1888 , s . 376-383 . Inneh . bl . a . upplösning af ett chifferbref från Gustaf II Adolf till Axel Oxenstierna af den 23 juli 1632 . D. Historia . 1 . Tidskrifter . 103&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US&filter=full
"Torpadie" chifferskrift	full	200	4	dFdDAQAAMAAJ	Ordbok öfver svenska språket: D-Distingera	Svenska akademien	1925	... TORPADIE i Hist . tidskr . 1888 , s . 380 ) . [ jfr t . deschiffrieren , af fr . déchiffrer , af dé- ( lat . dis , i ... chifferskrift . DALIN ( 1850 ) . 2 ) till DECHIFFRERA 2. Dechiffreringen af Per- sepolitanska inskrifter&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22Torpadie%22+chifferskrift&maxResults=20&key=REDACTED&country=US&filter=full
"godt positeur" "här oppe"	base	200	2	W38LAAAAIAAJ	Historisk tidskrift		1887	... godt positeur än här oppe ; så är förden- skuld vår nådigeste vilie , dett I correspondere medh her Steen Bielke , dett han med all macht drifver opå , dett trupperne , som han hafver utdelt , måge komma upp med thet aldre förste&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22godt+positeur%22+%22h%C3%A4r+oppe%22&maxResults=20&key=REDACTED&country=US
"godt positeur" "här oppe"	base	200	2	WQHKWzqiA2wC	Hemlig skrift	Henning Stålhane	1934	... godt positeur än här oppe ; så är förden- skuld vår nådigeste vilie , dett I correspondere medh hr Steen Bielke , detta han med all macht drifver opå , detta trupperne , som han hafver utdelt , måge komma upp med thet aldre förste&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22godt+positeur%22+%22h%C3%A4r+oppe%22&maxResults=20&key=REDACTED&country=US
"godt positeur" "här oppe"	full	200	1	W38LAAAAIAAJ	Historisk tidskrift		1887	... godt positeur än här oppe ; så är förden- skuld vår nådigeste vilie , dett I correspondere medh her Steen Bielke , dett han med all macht drifver opå , dett trupperne , som han hafver utdelt , måge komma upp med thet aldre förste&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22godt+positeur%22+%22h%C3%A4r+oppe%22&maxResults=20&key=REDACTED&country=US&filter=full
"hyglar bevuxen"	base	200	2	W38LAAAAIAAJ	Historisk tidskrift		1887	... hyglar bevuxen , så att I ej behöfve till att retran- chera eder allestädes rund omkring , uthan bruka samma hyglar eder till fordeel och retranchement . Corresponderer och flitigt med her Jahan Baner och befliter eder till att kundgöra&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22hyglar+bevuxen%22&maxResults=20&key=REDACTED&country=US
"hyglar bevuxen"	base	200	2	WQHKWzqiA2wC	Hemlig skrift	Henning Stålhane	1934	... hyglar bevuxen , så att I ej behöfve till att retran- chera eder allestädes rund omkring , uthan bruka samma hyglar eder till fordeel och retranchement . Corresponderer och flitigt med her Jahan Baner och befliter eder till att kundgöra&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22hyglar+bevuxen%22&maxResults=20&key=REDACTED&country=US
"hyglar bevuxen"	full	200	1	W38LAAAAIAAJ	Historisk tidskrift		1887	... hyglar bevuxen , så att I ej behöfve till att retran- chera eder allestädes rund omkring , uthan bruka samma hyglar eder till fordeel och retranchement . Corresponderer och flitigt med her Jahan Baner och befliter eder till att kundgöra&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22hyglar+bevuxen%22&maxResults=20&key=REDACTED&country=US&filter=full
"vid Mitov"	base	200	2	W38LAAAAIAAJ	Historisk tidskrift		1887	... vid Mitov , nembligen , att I ej gå uhr det ena retrancherede 2162 [ lägret ? ] för än Iveta , hvar I kunne antreffa en ort , der I åter i en hast , när I der anlende , eder retranchera kunne ; helst medan den landzorten , där I gg [ nu&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22vid+Mitov%22&maxResults=20&key=REDACTED&country=US
