line	signs_A	signs_B	agree	columns	share
p302_c1	3	3	0	3	0.000
p302_c2	4	6	0	6	0.000
p302_c3	6	5	1	6	0.167
p302_c4	4	6	0	6	0.000
p302_c5	5	4	0	5	0.000
p302_c6	5	5	2	5	0.400
p302_c7	5	4	0	5	0.000
p302_c8	4	2	0	4	0.000
p302_c9	1	1	0	1	0.000
p302_c10	5	7	1	7	0.143
p302_c11	4	3	0	4	0.000
p302_c12	5	3	0	5	0.000
p302_c13	7	4	0	7	0.000
p302_c14	5	5	3	5	0.600
p302_c15	5	8	2	8	0.250
p302_c16	2	3	0	3	0.000
p302_c17	3	5	0	5	0.000
p302_c18	5	5	0	5	0.000
p302_c19	6	8	0	8	0.000
p302_c20	8	6	0	8	0.000
p302_c21	5	0	0	5	0.000
p303_c1	6	6	1	6	0.167
p303_c2	1	1	0	1	0.000
p303_c3	5	5	0	5	0.000
p303_c4	2	4	0	4	0.000
p303_c5	4	3	0	4	0.000
