line	idx	sign	value	grade
p302_c01	0	[g04]	h	C
p302_c01	1	9	o	C
p302_c01	2	[g07]	y	C
p302_c01	4	[g10]	1	C
p302_c01	5	[g11]	5	C
p302_c01	7	3	n	C
p302_c01	8	9	o	C
p302_c01	9	5	v	C
p302_c01	10	7	i	C
p302_c01	11	[plus]	e	C
p302_c01	12	0	m	C
p302_c01	13	[g06]	b	C
p302_c01	14	[dot]	r	C
p302_c01	15	[plus]	e	C
p302_c02	0	[dot]	r	C
p302_c02	1	[cross]	u	C
p302_c02	2	[plus]	e	C
p302_c02	3	[g02]	g	C
p302_c02	4	[loopn]	a	C
p302_c02	6	[loopn]	a	C
p302_c02	7	[circledot]	l	C
p302_c02	10	[g01]	s	C
p302_c02	11	[plus]	e	C
p302_c02	12	4	ñ	C
p302_c02	13	9	o	C
p302_c02	14	[dot]	r	C
p302_c02	16	[bigloop]	d	C
p302_c02	17	9	o	C
p302_c02	18	3	n	C
p302_c02	20	[circledot]	l	C
p302_c02	21	[cross]	u	C
p302_c02	22	7	i	C
p302_c02	23	[g01]	s	C
p302_c02	25	[g02]	g	C
p302_c02	26	9	o	C
p302_c02	27	3	n	C
p302_c02	28	[loopm]	z	C
p302_c02	29	[loopn]	a	C
p302_c03	0	[circledot]	l	C
p302_c03	1	[plus]	e	C
p302_c03	2	[loopm]	z	C
p302_c03	4	[g06]	b	C
p302_c03	5	[dot]	r	C
p302_c03	6	[loopn]	a	C
p302_c03	7	[g06]	b	M
p302_c03	8	9	o	C
p302_c03	11	[g04]	h	C
p302_c03	12	[loopn]	a	C
p302_c03	13	[g02]	g	C
p302_c03	14	[loopn]	a	C
p302_c03	16	[circledot]	l	C
p302_c03	17	[circledot]	l	C
p302_c03	18	[plus]	e	C
p302_c03	19	[g02]	g	C
p302_c03	20	[loopn]	a	C
p302_c03	21	[dot]	r	C
p302_c03	23	[loopn]	a	C
p302_c03	25	0	m	C
p302_c03	26	[loopn]	a	C
p302_c03	27	3	n	C
p302_c03	28	9	o	C
p302_c03	29	[g01]	s	C
p302_c03	31	[bigloop]	d	C
p302_c03	32	[plus]	e	C
p302_c03	34	[g01]	s	C
p302_c03	35	[cross]	u	C
p302_c03	37	0	m	C
