line	col	A	B	flagged	crop
letter	36	[circle-dot]	Th		
letter	47	83	88		
letter	146	[phi-symbol]	Ph		
letter	164	-	10		
letter	165	-	40		
letter	171	-	44		
letter	172	-	89		
letter	173	-	7		
letter	174	-	c		
letter	175	-	76		
letter	176	-	81		
letter	177	-	88		
letter	178	-	u		
letter	179	-	70		
letter	180	-	p		
letter	182	-	92		
letter	183	-	22		
letter	184	-	13		
letter	185	-	75		
letter	186	-	6		
letter	187	-	47		
letter	188	-	53		
letter	189	-	34		
letter	190	-	80		
letter	191	-	72		
letter	192	-	22		
letter	193	-	39		
letter	194	-	9		
letter	196	-	61		
letter	197	-	7		
letter	198	-	75		
letter	202	-	19		
letter	214	[phi-symbol]	Th		
letter	234	[phi-symbol]	Ph		
letter	315	-	17		
letter	350	-	Ph		
letter	357	-	47		
letter	384	[phi-symbol]	Ph		
