plain_line	plain_raw	cipher_line	cipher_raw
45233	f     e       ere       t    inftruftions      fentbyybu      r	45234	The  37.  24.  80.  36.  54.  38.        142.         6j.  82.  32.  68.  21.  42.  72.  33.  6<).  36.  A.  D.  loj;.
45236	highnesrefe       rr       ingmeeto     L/~V>J	45237	"27.  28.  s^'  57-  62.  24.  37.  36.  24.  25.  54.  66.  36.  28.  32.  26.  31.  24.  24-  38.  33.  ^°'  o^'"""""
45239	a      f      o      r     m     e      r       inftr.      t       ouchhingthe^	45240	20.  25.  63.  94.  31.  24.  66.     142.     38.    63.  69.  22.  27.  27.  28.  32.  26.  38.  S7-  24.
45242	f      i      1      V      e     r      fleet     o      f    Spay,   co,    mingfrom	45243	37.  28.  30.  39.  24.  66.    128.    33.  S5-  105-  22.  33.  31.  28.  62.^26.  25.  36.  33.  6r.'
45244	America  Ihave       received    and   f     h      a       I      1	45245	113.       28.  27.  50.  39.  24.  36.  24.  22.  24.  28.  39.  54.  s2-  lo-  37-  27.  50.  30.  30.
45247	ca      refuliyobfe      rvethefame	45248	22.  50.  36.  24.  25.  39.  60.  60.  42.  33.21.  37.  24.  2^-  39-  24.  (^6.  85.  82.  6y.  78.  31.  24.
45249	inform,  at      Cadi      zthatthe    fleet  was	45250	"""Wee  had  127.  20.  38.  22.  20.  23.  28.  43.  38.  27.  20.  38.  68.  27.  24.  128.  40;  20.  37;"
45252	expec       t'edabouta'monethor	45254	24.  41.  34.  24.  52.  68.  54.  53.  20.  21.  33.  39.  38.  20.  89.  91.  90.  24.  38.  27.  6^.  66,
45255	fiveweekeshence  arenow	45257	25.  28.  39,  54.  40.  24.  54.  29.  24.  37,  27.  24.  32.  22.  24.  Wee  20.  36.  54.  32.  33.  40i
45258	ofCapeMaries  fpread	45260	33.  25.  22.  20.  34,  24.  61.  50.  66.  28.  54.  67.  intending  to  37.  93.  94.  24.  50.  23.
45262	w     i      t      h     t      h      e     fleet  what      wee      ca'n     and    t     o	45264	40.  58.  38.  85.  68.  27.  54.  128.  ']o.  ^y.  20.  38.  40.  24.  54.  ^2.  20.  32.  10,  38.  63.
45266	rangethisfea  thewind    and	45268	36.50.  32.  s^-  ^2.  38.  27.  28.  37.  126.  according  to  68.  57.  24.  40.  28.  90.  23.  10,
45270	the    inform,  w      e      c      a      nge      tpl      y      i      ngover	45272	38.27.54.    127.    40.  24.  52.  50.  90.  26.  24.  38.  34.  60.  42.  28.  32.  26.33.  39'  24-  z6.
45274	1      ik     ewif     e     toward     sCapeSpr      at	45275	30.  58.  29.  54. 40.  86.  37.  82.  38.  33.  40.  50.  66.  23.  37.  22.  20.  34.  24.  37.  34.  66.  20.  38.
45276	i      tbe      i      ngth      e      iremoft      1      i      ke      1      y	45277	28.  38.  21.  24.  58.  62.  ^6.  38.  27.  24,  28.  36.  54.  31.  33.  6^.  ^8.  30.  28.  S9-  24.  88.  42.
45278	and  u      fua     1      Ic     our     feTheyofCad      iz	45279	10.  39.  37.  69.  20. 30.  30.  22.  33.  6(^.  66.  37,  54.  38. 27.  54.  42.  63.  25.  22.  50.  21.  28.  43.
45280	a      reve      ryd      i      ftruft      fullofu      s	45281	78.  36.  54.  39.  24.  36.  42.  23.  28.  6y.  38.  66.  69.  37.  38.  25.  39.  30.  30.  33.  25.  6^.  ^5.
45282	and  therebeingfouregal      lion     e     s	45283	10.  38.  27. 54.36. 24.  21. 24.28.  62.  84.  25.  33. 6^.  36. 24. 26.  20.  30.  30. 28.  63. 62. 24.  37,
45284	defignedforthe  Mediter.  and  f     i     x     f     o      r	45285	23.  54.  37.  28.  26.  32.  24.  53.  55.  53.  66.  38.  27.  24.    125.    10.  37.  28.  41.  83.  63.  26.
45286	New  Spayne  i      ti      sd     out      ful      1     howt     he      y	45287	62. 24.  40.  105.  28.  68.  58.  37.  23,  62-  39. 38.  25. 69.  60.  60,  27.  6^.  40.  38.  27.  24.  72.
45288	may      be      imp      1     oy      cdWefha      1      lufe	45289	31.  50.  72.  21.  54.  28.  61.  34.  30.  63.  42.  24.  53.  40.  24.  37.  27.  20.  30.  30.  39.  67.  54.
45290	ourbeftindeavors       toput	45291	33.  6g.  66.  21.  54.  37.  68.  28.  32.  23.  54.  20.  39.  23-  66.  37.  38.  63.  34.  39.  68.  the
45292	irtft.     inexecutionasGodfhal      1	45293	142.  28.  32.  54.  41.  24..  22.  39.  38.  28.  63.  62.  20.  37.  26.  33.  52-  37'  57'  20.  30-  30-
45294	afforde  anopportunity	45296	20.  25.  25.  63.  36.  23.  24.  us  20.  32.  33.  64.  64.  62.  36.  38.  39.  62.  28.  38.  42.  defiring
45298	ofourdiligence	45299	your  highnes  to  reft  aflTured  63.  25.  33.  39.  36.  23.  28.  30.  58.  26.  24.  32.  21.  54.
