row	source_family	query	host	date	result
P14	Carlyle, Letters and Speeches of Oliver Cromwell (Lomas ed., 1904 and earlier eds.)	table-of-contents/snippet search: "LETTER CCX" / "LETTER CCXI" Carlyle Cromwell Blake Montague; "Blake and Montague, at Sea GENTLEMEN"; "9th of May" Tangier Downs	googleapis.com/books	2026-09-24	Carlyle's own letter list (1870, 1864 and later eds., all consistent) runs: "To Blake and Montague: Whitehall, 28 April 1656" (p.181) -- "CCX. To the same: Whitehall, 6 May 1656" (p.184, cites "Cromwell, vol. 4") -- "CCXI. To Gresham Committee: Whitehall, 9 May 1656" (a different, unrelated recipient) -- next Blake/Montague entry is "Whitehall, 28 Aug. 1656". No letter to Blake and Montague dated 9 June 1656 appears between CCX and 28 Aug in Carlyle's table of contents in any edition found (1857, 1864, 1870, 1880, 1884, 1892, 1897, 1904 Lomas). No decipherment or plaintext of P14 located in Carlyle; the letter appears to be absent from his collection entirely, not merely un-deciphered within it.
P14	W. Hepworth Dixon, Robert Blake, Admiral and General at Sea (1852; 1856 ed.)	phrase search: "attempt the burning of the Spanish fleet in Cadiz"; "give immediate notice unto us of their arrival"	googleapis.com/books	2026-09-24	Both phrases hit verbatim (1852 ed. p.?, 1856 ed. p.269 per the second phrase's snippet), in a passage that reads as continuous English prose covering the same content as Birch's letter (Cadiz, the Channel, trade, blocking Dunkirk and Ostend, the Downs). Dixon footnotes the immediately preceding paragraph to "Carlyle's Cromwell, iv. 64-67; Thurloe, v." -- i.e. Carlyle's letter CCX of 6 May (see row above), not this letter. Both quoted phrases fall in stretches that NOTES.md s.11 already established are printed in clear by Birch himself (Cadiz, Dunkirk, Ostend, and the surrounding sentences are NOT enciphered in the original; only scattered other words/numerals are). Dixon's quotation does not go beyond Birch's own clear wording and gives no reading of any of the letter's actual cipher tokens; not a decipherment.
P14	Gardiner, History of the Commonwealth and Protectorate	"Gardiner Commonwealth and Protectorate burning of the Spanish fleet"; general title+topic queries	googleapis.com/books	2026-09-24	0 hits combining Gardiner with this letter's content. (AUDIT.md already records a Gardiner hit for the neighbouring Montagu-to-Thurloe letter, P11-13, a paraphrase not a decipherment; that is a different item from P14 and not re-used here as a finding for P14.)
P14	Abbott, The Writings and Speeches of Oliver Cromwell (vol. 4, 1937/1945/1947 printings)	title+content queries ("June 9" 1656 Blake Montague; Cadiz Dunkirk)	googleapis.com/books	2026-09-24	Volumes are catalogued (1937, 1945, 1947, 1970 printings all found) but every one has viewability NO_PAGES -- Google Books holds no searchable/snippet text for this title. Not checked by this route; not located any other way this pass.
P14	New Oxford edition of Cromwell's writings (Morrill et al.)	title queries ("Letters, Writings and Speeches" Cromwell Morrill)	googleapis.com/books	2026-09-24	0 hits; the edition does not appear to be indexed in Google Books at all under any title tried.
P14	Firth, The Clarke Papers (Camden Society)	"Firth Clarke Papers Blake Montagu 1656 Cadiz cipher"	googleapis.com/books	2026-09-24	0 hits.
P14	Powell, The Letters of Robert Blake (Navy Records Society, 1937) / Powell, Robert Blake, General-at-Sea (1972)	title query located the volume; content query "Cadiz Dunkirk Ostend Mountagu Thurloe 30th"	googleapis.com/books	2026-09-24	Volume located (viewability not checked further); one snippet from the 1972 biography discusses the same Cadiz/Dunkirk/Ostend context and quotes Montagu writing to Thurloe "on the 30th" (a different, later letter than P14's 9 June). No decipherment of P14's own cipher tokens found in the snippet returned.
P14	CSPD Domestic, Commonwealth 1656-1657 (archive.org identifier sim_great-britain-public-record-papers-domestic-commonwealth_1656-1657, found this pass; not the 1654 identifier used by earlier workers)	be-api fts: q=Cadiz; q=Mountagu; q=Montagu; q=Montague	be-api.us.archive.org	2026-09-24	"Cadiz" gets several hits, all from later-dated entries (27 June, 7 July, and undated narrative entries about the Plate Fleet) -- none is the 9 June letter's own abstract. "Mountagu" and "Montagu" (this spelling) 0 hits. "Montague" 1 hit, all five snippet instances are from a name-index page listing "Montague, Colonel" among other peers/officers, not a calendar entry for this letter. A calendar's abstract would not itself carry a decipherment even if the entry were pinned down (as worker E already noted for the 1654 volume); not pursued further.
P14	Tomokiyo, sources/cryptiana/web/thurloe.htm (local mirror, no fetch)	grep for "4166", "R4885", "Montagu"/"Blake and Montagu"	local disk	2026-09-24	Confirmed citation: section "f.90-91 (DECODE R4885)" reads "Cromwell to Blake and Montagu (9 June 1656) (British History Online link). The cipher is the same as the one for Montagu reconstructed above." No quoted plaintext or decipherment given on the page for this specific letter; Tomokiyo cites only the manuscript/DECODE locator and the shared cipher system, as NOTES.md s.11/16 already record. Did not log in to DECODE, per the brief.
P4	Underdown, Royalist Conspiracy in England 1649-1660 (1960/1971)	title query located the volume; "Stamford" content query	googleapis.com/books	2026-09-24	Volume is catalogued (4 editions/printings found) but every one has viewability NO_PAGES -- no Google Books full-text search possible. This pass could not independently confirm/repeat the search; cross-referenced against AUDIT.md's existing record (P5+P6 audit) that a prior be-api full-text search of this same book already found its "Stamford" hits are all the Earl of Stamford, not our correspondent -- consistent with no decipherment of this letter located there, not independently re-verified this pass.
P4	CSPD Domestic, Commonwealth 1655 (archive.org identifier sim_great-britain-public-record-papers-domestic-commonwealth_1655, found this pass)	be-api fts: q=Stamford	be-api.us.archive.org	2026-09-24	1 hit: "report, April 30, that Blake drew his troop to Stamford fair, during the late danger, to prevent the gathering" -- Stamford fair (a place name, Lincolnshire), unrelated to correspondent William Stamford of Calais. No decipherment or mention of the correspondent found in this calendar.
P4	Five distinctive phrases from NOTES.md s.16's mechanical reading ("meere chance"; "without the least iniunction of secrecy"; "irreconciliable with them as long as I live"; "a plot hath been a hatching"; "a thousand armes"), plus "the person I got it from" and "the qualitie I am of"	exact and near-spelling phrase searches (modernised spelling variants also tried: "without the least injunction of secrecy", "irreconcilable with them as long as I live", "a thousand arms")	googleapis.com/books	2026-09-24	0 genuine hits for any of the seven phrases. One coincidental hit for "without the least injunction of secrecy" (English Historical Documents 1783-1832, Aspinall/Smith) -- a different stock phrase in an unrelated 19th-century political context, not this letter. No print anywhere carries this letter's plaintext content, confirming (not just repeating) NOTES.md s.14's and s.16's own finding that no decipherment of P4 exists in Birch, CSPD, the two solver repositories, or Tomokiyo.
P4	Penruddock-rising literature (general)	no dedicated title identified to query; content phrases above cover the plot/royalist-conspiracy angle	googleapis.com/books	2026-09-24	No specific monograph beyond Underdown (above) was named in the brief or found; not pursued as a separate source family within the $6 cap.
