line	position	sign	confidence	alt	why
1614_note1	1	E	M	B:- draft:C	"settled: crop: cursive E of ""Eande[m]"""
1614_note1	2	a	M	B:V draft:a	settled: crop
1614_note1	3	n	H		agree
1614_note1	4	d	H		agree
1614_note1	5	e	H		agree
1614_note1	6	d	H		agree
1614_note1	7	e	H		agree
1614_note1	8	s	H		agree
1614_note1	9	c	H		agree
1614_note1	10	r	H		agree
1614_note1	11	i	H		agree
1614_note1	12	p	H		agree
1614_note1	13	t	H		agree
1614_note1	14	i	H		agree
1614_note1	15	o	H		agree
1614_note1	16	n	H		agree
1614_note1	17	e	H		agree
1614_note1	18	m	H		agree
1614_note1	19	o	H		agree
1614_note1	20	l	H		agree
1614_note1	21	i	H		agree
1614_note1	22	m	H		agree
1614_note1	23	:	M	B:- draft::	settled: crop
1614_note2	1	c	H		agree
1614_note2	2	o	M		agree-flagged
1614_note2	3	m	H		agree
1614_note2	4	u	H		agree
1614_note2	5	n	H		agree
1614_note2	6	i	H		agree
1614_note2	7	c	H		agree
1614_note2	8	a	H		agree
1614_note2	9	v	H		agree
1614_note2	10	i	H		agree
1614_note2	11	t	M		agree-flagged
1614_note2	12	P	H		agree
1614_note2	13	a	H		agree
1614_note2	14	r	H		agree
1614_note2	15	e	H		agree
1614_note2	16	n	H		agree
1614_note2	17	s	H		agree
1614_note2	18	b	H		agree
1614_note2	19	m	H		agree
1614_note3	1	d	H		agree
1614_note3	2	n	M		agree-flagged
1614_note3	3	o	H		agree
1614_note3	4	D	H		agree
1614_note3	5	C	H		agree
1614_note3	6	a	H		agree
1614_note3	7	m	H		agree
1614_note3	8	e	H		agree
1614_note3	9	r	H		agree
1614_note3	10	a	H		agree
1614_note3	11	r	H		agree
1614_note3	12	i	H		agree
1614_note3	13	o	H		agree
1614_note3	14	N	H		agree
1614_note3	15	o	H		agree
1614_note3	16	r	H		agree
1614_note3	17	i	H		agree
1614_note3	18	b	H		agree
1614_note3	19	g	M	B:9 draft:g	"settled: crop: ""Noribg."""
1614_c1	1	A	H		agree
1614_c1	2	w	M	B:W draft:w	settled: crop; case only
1614_c1	3	s	M		agree-flagged
1614_c1	4	s	M	draft:f	settled: crop: long s (ſ), both passes read f
1614_c1	5	i	H		agree
1614_c1	6	r	H		agree
1614_c1	7	u	H		agree
1614_c1	8	a	H		agree
1614_c1	9	o	H		agree
1614_c1	10	z	M		agree-flagged
1614_c1	11	p	H		agree
1614_c1	12	c	H		agree
1614_c1	13	a	H		agree
1614_c1	14	h	M		agree-flagged
1614_c1	15	o	H		agree
1614_c1	16	x	H		agree
1614_c1	17	i	M	B:i draft:z	"settled: crop ""xih""; B"
1614_c1	18	h	H		agree
1614_c2	1	a	H		agree
1614_c2	2	s	M		agree-flagged
1614_c2	3	b	H		agree
1614_c2	4	q	H		agree
1614_c2	5	p	H		agree
1614_c2	6	a	H		agree
1614_c2	7	u	H		agree
