line	pos	sign	conf	src_pos
1614_c1	1	a	H	1
1614_c1	2	w	M	2
1614_c1	3	s	H	3
1614_c1	4	/		
1614_c1	5	s	M	4
1614_c1	6	i	H	5
1614_c1	7	r	H	6
1614_c1	8	/		
1614_c1	9	u	H	7
1614_c1	10	a	H	8
1614_c1	11	o	H	9
1614_c1	12	/		
1614_c1	13	z	H	10
1614_c1	14	p	H	11
1614_c1	15	c	H	12
1614_c1	16	a	H	13
1614_c1	17	h	H	14
1614_c1	18	o	H	15
1614_c1	19	/		
1614_c1	20	x	H	16
1614_c1	21	i	M	17
1614_c1	22	h	H	18
1614_c2	1	a	H	1
1614_c2	2	s	H	2
1614_c2	3	b	H	3
1614_c2	4	/		
1614_c2	5	q	H	4
1614_c2	6	p	H	5
1614_c2	7	a	H	6
1614_c2	8	u	H	7
1614_c2	9	/		
1614_c2	10	u	M	8
1614_c2	11	i	H	9
1614_c2	12	w	H	10
1614_c2	13	s	H	11
1614_c2	14	o	H	12
1614_c2	15	r	H	13
1614_c2	16	i	H	14
1614_c2	17	b	H	15
1614_c2	18	/		
1614_c2	19	c	H	16
1614_c2	20	t	H	17
1614_c2	21	k	M	18
1614_c2	22	o	H	19
1614_c3	1	c	H	1
1614_c3	2	p	H	2
1614_c3	3	b	H	3
1614_c3	4	x	H	4
1614_c3	5	p	H	5
1614_c3	6	u	H	6
1614_c3	7	/		
1614_c3	8	r	H	7
1614_c3	9	p	H	8
1614_c3	10	a	H	9
1614_c3	11	/		
1614_c3	12	x	H	10
1614_c3	13	p	H	11
1614_c3	14	b	H	12
1614_c3	15	/		
1614_c3	16	x	H	13
1614_c3	17	a	H	14
1614_c3	18	s	H	15
1614_c3	19	k	M	16
1614_c3	20	a	H	17
1614_c3	21	u	H	18
1614_c4	1	n	H	1
1614_c4	2	a	H	2
1614_c4	3	p	H	3
1614_c4	4	a	H	4
1614_c4	5	/		
1614_c4	6	z	H	5
1614_c4	7	k	H	6
1614_c4	8	n	H	7
1614_c4	9	w	H	8
1614_c4	10	l	H	9
1614_c4	11	/		
1614_c4	12	x	H	10
1614_c4	13	i	H	11
1614_c4	14	b	H	12
1614_c4	15	g	H	13
1614_c4	16	n	H	14
