sign	value	grade	source	note
c	k	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
k	c	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
o	l	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
l	o	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
n	m	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
m	n	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
r	p	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
p	r	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
a	q	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
q	a	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
d	s	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
s	d	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
b	t	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
t	b	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
e	u	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
u	e	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
f	w	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
w	f	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
g	x	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
x	g	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
h	y	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
y	h	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
i	z	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, top row over bottom row
z	i	H	1618 address leaf right block, key_leaf_1618_right.tsv	reciprocal pair, bottom row over top row
