line	pos	sign	value	grade
1614_c1	1	a	i	H
1614_c1	2	w	c	M
1614_c1	3	s	h	H
1614_c1	5	s	h	M
1614_c1	6	i	a	H
1614_c1	7	r	b	H
1614_c1	9	u	n	H
1614_c1	10	a	i	H
1614_c1	11	o	t	H
1614_c1	13	z	g	H
1614_c1	14	p	e	H
1614_c1	15	c	w	H
1614_c1	16	a	i	H
1614_c1	17	h	s	H
1614_c1	18	o	t	H
1614_c1	20	x	d	H
1614_c1	21	i	a	M
1614_c1	22	h	s	H
1614_c2	1	a	i	H
1614_c2	2	s	h	H
1614_c2	3	b	r	H
1614_c2	5	q	m	H
1614_c2	6	p	e	H
1614_c2	7	a	i	H
1614_c2	8	u	n	H
1614_c2	10	u	n	M
1614_c2	11	i	a	H
1614_c2	12	w	c	H
1614_c2	13	s	h	H
1614_c2	14	o	t	H
1614_c2	15	r	b	H
1614_c2	16	i	a	H
1614_c2	17	b	r	H
1614_c2	19	c	w	H
1614_c2	20	t	o	H
1614_c2	21	k	l	M
1614_c2	22	o	t	H
1614_c3	1	c	w	H
1614_c3	2	p	e	H
1614_c3	3	b	r	H
1614_c3	4	x	d	H
1614_c3	5	p	e	H
1614_c3	6	u	n	H
1614_c3	8	r	b	H
1614_c3	9	p	e	H
1614_c3	10	a	i	H
1614_c3	12	x	d	H
1614_c3	13	p	e	H
1614_c3	14	b	r	H
1614_c3	16	x	d	H
1614_c3	17	a	i	H
1614_c3	18	s	h	H
1614_c3	19	k	l	M
1614_c3	20	a	i	H
1614_c3	21	u	n	H
1614_c4	1	n	u	H
1614_c4	2	a	i	H
1614_c4	3	p	e	H
1614_c4	4	a	i	H
1614_c4	6	z	g	H
1614_c4	7	k	l	H
1614_c4	8	n	u	H
1614_c4	9	w	c	H
1614_c4	10	l	k	H
1614_c4	12	x	d	H
1614_c4	13	i	a	H
1614_c4	14	b	r	H
1614_c4	15	g	z	H
1614_c4	16	n	u	H
