# tools/print_check.py, 25 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
Rijcxhoffmeester	ia:traitsdudanemar02denmgoog	4 exact	cached sources/ia-fulltext/print-check/traitsdudanemar02denmgoog_djvu.txt.gz; en connen ontstaen soo is dat ick corfits ulefelt riicxraet riicxhoffmeester gouuerneur uan den insul moen erffgeseten op urop aen de ee | n den heer siine mat s extraordinaris ambassadeur riicxraet riicxhoffmeester amptman opt eylandt moen den heer corflts ulefelt op urop r | u geboomen heer corfits ulefeidt des riicx d	https://archive.org/details/traitsdudanemar02denmgoog
geobtineert op sijn versoeck	ia:traitsdudanemar02denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar02denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar02denmgoog
onopgelost cijfer van een andere hand	ia:traitsdudanemar02denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar02denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar02denmgoog
Vereenichde Nederlanden te discrediteren	ia:traitsdudanemar02denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar02denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar02denmgoog
prompte realiteyten is hier het credijt	ia:traitsdudanemar02denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar02denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar02denmgoog
Coningh van Denemarcken uyt Londen heeft geschreven	ia:traitsdudanemar02denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar02denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar02denmgoog
Rijcxhoffmeester	ia:traitsdudanemar00denmgoog	3 exact	cached sources/ia-fulltext/print-check/traitsdudanemar00denmgoog_djvu.txt.gz; en connen ontstaen soo is dat ick corfits ulefelt riicxraet riicxhoffmeester gouuerneur uan den insul moen erffgeseten op urop aen de ee | n den heer siine mat s extraordinaris ambassadeur riicxraet riicxhoffmeester amptman opt eyiandt moen den heer corfits ulefelt op urop r | elgeboomen heer corfits ulefeldt des riicx d	https://archive.org/details/traitsdudanemar00denmgoog
geobtineert op sijn versoeck	ia:traitsdudanemar00denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar00denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar00denmgoog
onopgelost cijfer van een andere hand	ia:traitsdudanemar00denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar00denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar00denmgoog
Vereenichde Nederlanden te discrediteren	ia:traitsdudanemar00denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar00denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar00denmgoog
prompte realiteyten is hier het credijt	ia:traitsdudanemar00denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar00denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar00denmgoog
Coningh van Denemarcken uyt Londen heeft geschreven	ia:traitsdudanemar00denmgoog	no hits	cached sources/ia-fulltext/print-check/traitsdudanemar00denmgoog_djvu.txt.gz; 	https://archive.org/details/traitsdudanemar00denmgoog
