line	signs_A	signs_B	agree	columns	share
L01	2	2	2	2	1.000
L02	9	9	7	9	0.778
L03	12	12	10	12	0.833
L04	14	14	12	14	0.857
L05	15	16	13	16	0.812
L06	16	16	16	16	1.000
L07	17	17	17	17	1.000
L08	16	16	16	16	1.000
L09	16	16	16	16	1.000
L10	11	10	7	11	0.636
L11	9	10	5	10	0.500
L12	15	15	14	15	0.933
L13	14	13	10	14	0.714
L14	13	13	12	13	0.923
L15	13	14	10	14	0.714
L16	11	11	11	11	1.000
L17	10	10	7	10	0.700
L18	15	15	13	15	0.867
L19	11	11	7	11	0.636
L20	10	11	8	11	0.727
L21	19	19	19	19	1.000
L22	16	13	9	16	0.562
L23	12	13	10	13	0.769
L24	13	13	10	13	0.769
L25	8	8	3	8	0.375
L26	12	12	10	12	0.833
L27	16	16	15	16	0.938
L28	12	12	8	12	0.667
L29	13	13	10	13	0.769
L30	15	15	13	15	0.867
L31	16	16	16	16	1.000
L32	11	10	8	11	0.727
L33	14	13	10	14	0.714
L34	12	12	11	12	0.917
L35	11	11	10	11	0.909
L36	11	11	7	11	0.636
L37	16	16	15	16	0.938
L38	14	14	13	14	0.929
L39	12	11	9	12	0.750
L40	12	12	11	12	0.917
L41	16	16	16	16	1.000
L42	13	13	11	13	0.846
L43	8	8	4	8	0.500
L44	10	11	2	11	0.182
L45	13	11	5	13	0.385
L46	14	14	14	14	1.000
L47	15	15	14	15	0.933
L48	16	16	14	16	0.875
L49	9	8	4	9	0.444
L50	11	10	5	11	0.455
L51	10	10	3	10	0.300
L52	13	13	11	13	0.846
L53	14	14	13	14	0.929
L54	16	16	16	16	1.000
L55	12	12	10	12	0.833
L56	7	7	3	7	0.429
L57	10	10	6	10	0.600
L58	15	15	14	15	0.933
L59	16	16	15	16	0.938
L60	15	15	14	15	0.933
L61	15	15	14	15	0.933
L62	12	12	10	12	0.833
L63	10	9	2	10	0.200
L64	9	10	5	10	0.500
L65	9	10	5	10	0.500
L66	10	10	5	10	0.500
L67	9	7	2	9	0.222
L68	2	1	0	2	0.000
L69	2	2	1	2	0.500
L70	1	1	0	1	0.000
L71	2	2	1	2	0.500
L72	1	1	1	1	1.000
L73	5	4	2	5	0.400
