group	page	letter	position	reading	count	doubtful	lines
12z14	14	z	12	Alphabet	1		r6
8z16	16	z	8	amount	1		v2
10n17	17	n	10	and	2		r3,r8
12l19	19	l	12	another	1		r7
9x20	20	x	9	any	1		v2
9n23	23	n	9	are	2		r2,r7
3n25	25	n	3	as	1		v4
3y28	28	y	3	at	4		r8,r8,v1,v5
7x38	38	x	7	be	1		r8
13x66	66	x	13	can	1		v2
21l79	79	l	21	Cypher	2		r3,r5
22l79	79	l	22	to Cypher	1		r5
15x116	116	x	15	day	1		r8
4y146	146	y	4	early	1		v5
13n151	151	n	13	enable	1		v5
4y158	158	y	4	Event	1		v4
20y184	184	y	20	fortunate	1		v4
17n203	203	n	17	Head	1		r7
6m205	205	m	6	Height	1		r2
16m211	211	m	16	how	1		r7
3l219	219	l	3	I inclose	1		r7
6y232	232	y	6	it	2		r7,v4
8b243	243	b	8	left	1		r3
16l261	261	l	16	me	1		v5
1y272	272	y	1	more	1		v5
13y272	272	y	13	tomorrow	1		r8
21y288	288	y	21	occupy	1		r2
17l289	289	l	17	of	2		r2,r3
11z290	290	z	11	on	1		r3
10m297	297	m	10	outside	1		r2
12x308	308	x	12	period	1		v5
8x332	332	x	8	provisions	1		v1
3z336	336	z	3	Quarters	1		r7
20y346	346	y	20	to rejoin	1		v5
20m349	349	m	20	require	1		v2
21z350	350	z	21	to rest	1		r3
22n365	365	n	22	Sea	1		r3
8l369	369	l	8	sent	1		r6
17y388	388	y	17	South	1		v5
23y388	388	y	23	Southward	1		r3
19m389	389	m	19	Spelling	1		r4
33x400	400	x	33	supplying	1		v1
7l405	405	l	7	that	1		r4
15l405	405	l	15	the	3		r2,r6,v5
23n405	405	n	23	this	1		r8
12x408	408	x	12	to	4		r3,r6,v2,v5
7m409	409	m	7	Town	1		r3
22x412	412	x	22	Troops	1		v5
5b429	429	b	5	use	1		r4
6l429	429	l	6	to use	1		r7
29y432	432	y	29	Westward	1		r3
19l433	433	l	19	which	1		r2
4y434	434	y	4	will	2		r8,v5
5m435	435	m	5	with	1		v1
23x436	436	x	23	words	2		r4,r5
8y438	438	y	8	you	2		v1,v2
15y438	438	y	15	your	1		r3
