label	letters	param_rows_giving_it
ARTHUR+ARM	9	2
ARTHUR+LAM	9	2
ARTHUR+LAR	9	2
ANGELA+KEL	9	1
ANGELA+NEL	9	1
ARTHUR+AB	8	2
ARTHUR+AR	8	2
ARTHUR+LA	8	2
DELLA+BEL	8	2
DELLA+BEN	8	2
DELLA+BER	8	2
ELLA+KENN	8	2
ELLA+NEWM	8	2
ANGELA+AB	8	1
ANGELA+AL	8	1
ANGELA+EL	8	1
ANGELA+KE	8	1
ANGELA+NE	8	1
JANE+BAN	7	8
ALLAN+EL	7	4
EVAN+ARM	7	4
ABEL+ARM	7	2
ARTHUR+A	7	2
ARTHUR+B	7	2
ARTHUR+D	7	2
ARTHUR+L	7	2
ARTHUR+M	7	2
ARTHUR+N	7	2
ARTHUR+R	7	2
DELLA+AB	7	2
DELLA+BE	7	2
DELLA+ED	7	2
DELLA+EL	7	2
DELLA+ME	7	2
ELLA+BEL	7	2
ELLA+BEN	7	2
ELLA+BER	7	2
ELLA+KEN	7	2
ELLA+LEE	7	2
ELLA+NEL	7	2
ELLA+NEW	7	2
EVAN+DAV	7	2
EVAN+LAM	7	2
EVAN+LAR	7	2
FELIX+JE	7	2
FRED+PAT	7	2
GLEN+DAV	7	2
JANE+BAL	7	2
JANE+HAM	7	2
JANE+HAN	7	2
KYLE+CAM	7	2
ALEX+GOM	7	1
ALEX+GON	7	1
ANGELA+A	7	1
ANGELA+B	7	1
ANGELA+D	7	1
ANGELA+E	7	1
ANGELA+K	7	1
ANGELA+L	7	1
ANGELA+M	7	1
ANGELA+N	7	1
